000004,0.779,Susah,Tunisia,36.17N,9.94E
1933-07-01,27.311,0.292,Susah,Tunisia,36.17N,9.94E
1933-08-01,27.23,0.327,Susah,Tunisia,36.17N,9.94E
1933-09-01,25.557,0.6920000000000001,Susah,Tunisia,36.17N,9.94E
1933-10-01,22.385,0.441,Susah,Tunisia,36.17N,9.94E
1933-11-01,15.306,0.4,Susah,Tunisia,36.17N,9.94E
1933-12-01,11.025,0.5489999999999999,Susah,Tunisia,36.17N,9.94E
1934-01-01,9.29,0.149,Susah,Tunisia,36.17N,9.94E
1934-02-01,10.521,0.424,Susah,Tunisia,36.17N,9.94E
1934-03-01,12.392999999999999,0.621,Susah,Tunisia,36.17N,9.94E
1934-04-01,16.785,0.501,Susah,Tunisia,36.17N,9.94E
1934-05-01,20.033,0.23199999999999998,Susah,Tunisia,36.17N,9.94E
1934-06-01,25.289,0.249,Susah,Tunisia,36.17N,9.94E
1934-07-01,28.518,0.47700000000000004,Susah,Tunisia,36.17N,9.94E
1934-08-01,27.786,0.397,Susah,Tunisia,36.17N,9.94E
1934-09-01,23.789,0.629,Susah,Tunisia,36.17N,9.94E
1934-10-01,19.206,0.583,Susah,Tunisia,36.17N,9.94E
1934-11-01,15.717,0.294,Susah,Tunisia,36.17N,9.94E
1934-12-01,12.614,0.6509999999999999,Susah,Tunisia,36.17N,9.94E
1935-01-01,7.867000000000001,0.355,Susah,Tunisia,36.17N,9.94E
1935-02-01,11.053999999999998,0.405,Susah,Tunisia,36.17N,9.94E
1935-03-01,12.149,0.47,Susah,Tunisia,36.17N,9.94E
1935-04-01,15.831,0.428,Susah,Tunisia,36.17N,9.94E
1935-05-01,19.161,0.337,Susah,Tunisia,36.17N,9.94E
1935-06-01,25.423,0.664,Susah,Tunisia,36.17N,9.94E
1935-07-01,28.139,0.434,Susah,Tunisia,36.17N,9.94E
1935-08-01,28.29,0.384,Susah,Tunisia,36.17N,9.94E
1935-09-01,24.747,0.465,Susah,Tunisia,36.17N,9.94E
1935-10-01,20.2,0.593,Susah,Tunisia,36.17N,9.94E
1935-11-01,16.112000000000002,0.7659999999999999,Susah,Tunisia,36.17N,9.94E
1935-12-01,11.953,0.461,Susah,Tunisia,36.17N,9.94E
1936-01-01,12.527,0.718,Susah,Tunisia,36.17N,9.94E
1936-02-01,13.46,0.522,Susah,Tunisia,36.17N,9.94E
1936-03-01,14.254000000000001,0.29100000000000004,Susah,Tunisia,36.17N,9.94E
1936-04-01,16.654,0.40399999999999997,Susah,Tunisia,36.17N,9.94E
1936-05-01,18.592,0.49700000000000005,Susah,Tunisia,36.17N,9.94E
1936-06-01,23.429000000000002,0.28600000000000003,Susah,Tunisia,36.17N,9.94E
1936-07-01,27.793000000000003,0.31,Susah,Tunisia,36.17N,9.94E
1936-08-01,26.444000000000003,0.376,Susah,Tunisia,36.17N,9.94E
1936-09-01,24.846,0.35100000000000003,Susah,Tunisia,36.17N,9.94E
1936-10-01,17.951,0.385,Susah,Tunisia,36.17N,9.94E
1936-11-01,14.472999999999999,0.336,Susah,Tunisia,36.17N,9.94E
1936-12-01,10.755999999999998,0.493,Susah,Tunisia,36.17N,9.94E
1937-01-01,11.377,0.43,Susah,Tunisia,36.17N,9.94E
1937-02-01,12.906,0.32,Susah,Tunisia,36.17N,9.94E
1937-03-01,14.637,0.8440000000000001,Susah,Tunisia,36.17N,9.94E
1937-04-01,15.807,0.297,Susah,Tunisia,36.17N,9.94E
1937-05-01,19.817,0.384,Susah,Tunisia,36.17N,9.94E
1937-06-01,26.396,0.612,Susah,Tunisia,36.17N,9.94E
1937-07-01,27.429000000000002,0.33,Susah,Tunisia,36.17N,9.94E
1937-08-01,27.948,0.5589999999999999,Susah,Tunisia,36.17N,9.94E
1937-09-01,24.799,0.32,Susah,Tunisia,36.17N,9.94E
1937-10-01,20.7,0.485,Susah,Tunisia,36.17N,9.94E
1937-11-01,17.180999999999997,0.691,Susah,Tunisia,36.17N,9.94E
1937-12-01,10.360999999999999,0.8290000000000001,Susah,Tunisia,36.17N,9.94E
1938-01-01,9.755,0.406,Susah,Tunisia,36.17N,9.94E
1938-02-01,9.247,0.426,Susah,Tunisia,36.17N,9.94E
