9999998,5.912000000000001,Cluj Napoca,Romania,47.42N,22.50E
1817-04-01,5.370000000000001,2.434,Cluj Napoca,Romania,47.42N,22.50E
1817-05-01,15.003,2.845,Cluj Napoca,Romania,47.42N,22.50E
1817-06-01,18.94,2.0540000000000003,Cluj Napoca,Romania,47.42N,22.50E
1817-07-01,19.522000000000002,1.942,Cluj Napoca,Romania,47.42N,22.50E
1817-08-01,19.722,2.43,Cluj Napoca,Romania,47.42N,22.50E
1817-09-01,14.655,2.7489999999999997,Cluj Napoca,Romania,47.42N,22.50E
1817-10-01,6.52,3.758,Cluj Napoca,Romania,47.42N,22.50E
1817-11-01,3.866,2.7430000000000003,Cluj Napoca,Romania,47.42N,22.50E
1817-12-01,-1.022,3.7119999999999997,Cluj Napoca,Romania,47.42N,22.50E
1818-01-01,-2.571,3.589,Cluj Napoca,Romania,47.42N,22.50E
1818-02-01,-0.28700000000000003,2.064,Cluj Napoca,Romania,47.42N,22.50E
1818-03-01,5.474,2.4930000000000003,Cluj Napoca,Romania,47.42N,22.50E
1818-04-01,11.158,6.641,Cluj Napoca,Romania,47.42N,22.50E
1818-05-01,15.097,3.918,Cluj Napoca,Romania,47.42N,22.50E
1818-06-01,17.854,5.412000000000001,Cluj Napoca,Romania,47.42N,22.50E
1818-07-01,19.932000000000002,3.955,Cluj Napoca,Romania,47.42N,22.50E
1818-08-01,18.275,1.465,Cluj Napoca,Romania,47.42N,22.50E
1818-09-01,14.863,2.888,Cluj Napoca,Romania,47.42N,22.50E
1818-10-01,9.041,2.935,Cluj Napoca,Romania,47.42N,22.50E
1818-11-01,3.764,6.226,Cluj Napoca,Romania,47.42N,22.50E
1818-12-01,-2.011,2.391,Cluj Napoca,Romania,47.42N,22.50E
1819-01-01,-3.27,4.293,Cluj Napoca,Romania,47.42N,22.50E
1819-02-01,-0.15700000000000006,3.7030000000000003,Cluj Napoca,Romania,47.42N,22.50E
1819-03-01,4.842,7.369,Cluj Napoca,Romania,47.42N,22.50E
1819-04-01,10.359000000000002,1.7890000000000001,Cluj Napoca,Romania,47.42N,22.50E
1819-05-01,13.719,1.909,Cluj Napoca,Romania,47.42N,22.50E
1819-06-01,18.565,1.68,Cluj Napoca,Romania,47.42N,22.50E
1819-07-01,19.747,0.937,Cluj Napoca,Romania,47.42N,22.50E
1819-08-01,19.109,1.615,Cluj Napoca,Romania,47.42N,22.50E
1819-09-01,15.582,1.048,Cluj Napoca,Romania,47.42N,22.50E
1819-10-01,10.045,1.8130000000000002,Cluj Napoca,Romania,47.42N,22.50E
1819-11-01,4.729,2.286,Cluj Napoca,Romania,47.42N,22.50E
1819-12-01,-3.467,2.176,Cluj Napoca,Romania,47.42N,22.50E
1820-01-01,-6.227,8.142999999999999,Cluj Napoca,Romania,47.42N,22.50E
1820-02-01,-1.628,3.3160000000000003,Cluj Napoca,Romania,47.42N,22.50E
1820-03-01,2.569,3.3739999999999997,Cluj Napoca,Romania,47.42N,22.50E
1820-04-01,11.171,1.4409999999999998,Cluj Napoca,Romania,47.42N,22.50E
