00000002,3.29,Nefteyugansk,Russia,61.88N,73.02E
1900-04-01,-5.704,0.861,Nefteyugansk,Russia,61.88N,73.02E
1900-05-01,6.516,1.236,Nefteyugansk,Russia,61.88N,73.02E
1900-06-01,13.077,0.685,Nefteyugansk,Russia,61.88N,73.02E
1900-07-01,18.315,0.561,Nefteyugansk,Russia,61.88N,73.02E
1900-08-01,14.511,0.708,Nefteyugansk,Russia,61.88N,73.02E
1900-09-01,6.439,0.561,Nefteyugansk,Russia,61.88N,73.02E
1900-10-01,0.1930000000000001,1.124,Nefteyugansk,Russia,61.88N,73.02E
1900-11-01,-12.896,0.857,Nefteyugansk,Russia,61.88N,73.02E
1900-12-01,-19.258,1.55,Nefteyugansk,Russia,61.88N,73.02E
1901-01-01,-27.258000000000006,2.17,Nefteyugansk,Russia,61.88N,73.02E
1901-02-01,-14.87,1.081,Nefteyugansk,Russia,61.88N,73.02E
1901-03-01,-10.102,0.45399999999999996,Nefteyugansk,Russia,61.88N,73.02E
1901-04-01,-3.812,1.494,Nefteyugansk,Russia,61.88N,73.02E
1901-05-01,4.283,0.9520000000000001,Nefteyugansk,Russia,61.88N,73.02E
1901-06-01,11.335,1.236,Nefteyugansk,Russia,61.88N,73.02E
1901-07-01,16.155,0.9,Nefteyugansk,Russia,61.88N,73.02E
1901-08-01,11.769,0.624,Nefteyugansk,Russia,61.88N,73.02E
1901-09-01,3.707,1.148,Nefteyugansk,Russia,61.88N,73.02E
1901-10-01,-3.987,0.376,Nefteyugansk,Russia,61.88N,73.02E
1901-11-01,-13.332,1.814,Nefteyugansk,Russia,61.88N,73.02E
1901-12-01,-24.953000000000003,0.95,Nefteyugansk,Russia,61.88N,73.02E
1902-01-01,-23.807,1.605,Nefteyugansk,Russia,61.88N,73.02E
1902-02-01,-18.785,0.8290000000000001,Nefteyugansk,Russia,61.88N,73.02E
1902-03-01,-19.47,1.7830000000000001,Nefteyugansk,Russia,61.88N,73.02E
1902-04-01,-7.314,0.794,Nefteyugansk,Russia,61.88N,73.02E
1902-05-01,1.3570000000000002,0.929,Nefteyugansk,Russia,61.88N,73.02E
1902-06-01,10.279000000000002,1.355,Nefteyugansk,Russia,61.88N,73.02E
1902-07-01,19.406,0.52,Nefteyugansk,Russia,61.88N,73.02E
1902-08-01,13.879000000000001,0.927,Nefteyugansk,Russia,61.88N,73.02E
1902-09-01,6.922000000000001,0.9179999999999999,Nefteyugansk,Russia,61.88N,73.02E
1902-10-01,-8.4,1.224,Nefteyugansk,Russia,61.88N,73.02E
1902-11-01,-23.373,2.885,Nefteyugansk,Russia,61.88N,73.02E
1902-12-01,-27.073,1.266,Nefteyugansk,Russia,61.88N,73.02E
1903-01-01,-24.385,2.016,Nefteyugansk,Russia,61.88N,73.02E
1903-02-01,-13.789000000000001,1.423,Nefteyugansk,Russia,61.88N,73.02E
1903-03-01,-12.989,1.337,Nefteyugansk,Russia,61.88N,73.02E
1903-04-01,-4.202,0.89,Nefteyugansk,Russia,61.88N,73.02E
1903-05-01,2.5580000000000003,0.43700000000000006,Nefteyugansk,Russia,61.88N,73.02E
