000000000002,0.405,Chimalhuacán,Mexico,20.09N,98.96W
1958-08-01,17.951999999999995,0.28600000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1958-09-01,17.553,0.16699999999999998,Chimalhuacán,Mexico,20.09N,98.96W
1958-10-01,16.555999999999997,0.375,Chimalhuacán,Mexico,20.09N,98.96W
1958-11-01,14.959000000000001,0.33899999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1958-12-01,12.379000000000001,0.547,Chimalhuacán,Mexico,20.09N,98.96W
1959-01-01,12.101,0.45899999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1959-02-01,14.738,0.278,Chimalhuacán,Mexico,20.09N,98.96W
1959-03-01,16.046,0.765,Chimalhuacán,Mexico,20.09N,98.96W
1959-04-01,16.167,0.612,Chimalhuacán,Mexico,20.09N,98.96W
1959-05-01,17.959999999999994,0.327,Chimalhuacán,Mexico,20.09N,98.96W
1959-06-01,17.964000000000006,0.313,Chimalhuacán,Mexico,20.09N,98.96W
1959-07-01,17.277,0.455,Chimalhuacán,Mexico,20.09N,98.96W
1959-08-01,17.558,0.28300000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1959-09-01,17.284000000000002,0.37799999999999995,Chimalhuacán,Mexico,20.09N,98.96W
1959-10-01,16.495,0.19899999999999998,Chimalhuacán,Mexico,20.09N,98.96W
1959-11-01,13.512,0.34299999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1959-12-01,12.448,0.255,Chimalhuacán,Mexico,20.09N,98.96W
1960-01-01,13.213,0.312,Chimalhuacán,Mexico,20.09N,98.96W
1960-02-01,13.017000000000001,0.315,Chimalhuacán,Mexico,20.09N,98.96W
1960-03-01,15.644,0.179,Chimalhuacán,Mexico,20.09N,98.96W
1960-04-01,17.285999999999998,0.28600000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1960-05-01,19.261,0.239,Chimalhuacán,Mexico,20.09N,98.96W
1960-06-01,19.37,0.35600000000000004,Chimalhuacán,Mexico,20.09N,98.96W
1960-07-01,17.875999999999998,0.353,Chimalhuacán,Mexico,20.09N,98.96W
1960-08-01,18.263,0.287,Chimalhuacán,Mexico,20.09N,98.96W
1960-09-01,16.639,0.396,Chimalhuacán,Mexico,20.09N,98.96W
1960-10-01,17.112000000000002,0.285,Chimalhuacán,Mexico,20.09N,98.96W
1960-11-01,15.112,0.483,Chimalhuacán,Mexico,20.09N,98.96W
