,,Raigarh,India,21.70N,83.94E
1886-03-01,26.945,0.45799999999999996,Raigarh,India,21.70N,83.94E
1886-04-01,31.158,0.195,Raigarh,India,21.70N,83.94E
1886-05-01,32.351,0.618,Raigarh,India,21.70N,83.94E
1886-06-01,30.660999999999998,0.27699999999999997,Raigarh,India,21.70N,83.94E
1886-07-01,27.452,0.478,Raigarh,India,21.70N,83.94E
1886-08-01,27.250999999999998,0.812,Raigarh,India,21.70N,83.94E
1886-09-01,27.563000000000002,0.311,Raigarh,India,21.70N,83.94E
1886-10-01,26.410999999999998,0.8859999999999999,Raigarh,India,21.70N,83.94E
1886-11-01,22.641,0.519,Raigarh,India,21.70N,83.94E
1886-12-01,19.576,0.92,Raigarh,India,21.70N,83.94E
1887-01-01,19.522000000000002,0.9129999999999999,Raigarh,India,21.70N,83.94E
1887-02-01,21.414,1.0979999999999999,Raigarh,India,21.70N,83.94E
1887-03-01,27.432,0.634,Raigarh,India,21.70N,83.94E
1887-04-01,30.743,0.488,Raigarh,India,21.70N,83.94E
1887-05-01,33.637,0.853,Raigarh,India,21.70N,83.94E
1887-06-01,30.408,0.38799999999999996,Raigarh,India,21.70N,83.94E
1887-07-01,26.885,0.56,Raigarh,India,21.70N,83.94E
1887-08-01,26.603,0.434,Raigarh,India,21.70N,83.94E
1887-09-01,27.062,0.705,Raigarh,India,21.70N,83.94E
1887-10-01,25.066,0.508,Raigarh,India,21.70N,83.94E
1887-11-01,21.82,0.8029999999999999,Raigarh,India,21.70N,83.94E
1887-12-01,18.671,0.622,Raigarh,India,21.70N,83.94E
1888-01-01,18.512,1.1,Raigarh,India,21.70N,83.94E
1888-02-01,22.648000000000003,1.137,Raigarh,India,21.70N,83.94E
1888-03-01,27.983,0.8590000000000001,Raigarh,India,21.70N,83.94E
1888-04-01,32.219,1.334,Raigarh,India,21.70N,83.94E
1888-05-01,33.458,1.209,Raigarh,India,21.70N,83.94E
1888-06-01,32.464,1.238,Raigarh,India,21.70N,83.94E
1888-07-01,27.257,0.581,Raigarh,India,21.70N,83.94E
1888-08-01,26.551,0.456,Raigarh,India,21.70N,83.94E
1888-09-01,27.389,0.433,Raigarh,India,21.70N,83.94E
1888-10-01,25.759,0.485,Raigarh,India,21.70N,83.94E
1888-11-01,22.278,0.716,Raigarh,India,21.70N,83.94E
1888-12-01,18.035,0.8240000000000001,Raigarh,India,21.70N,83.94E
1889-01-01,20.88,1.011,Raigarh,India,21.70N,83.94E
1889-02-01,22.590999999999998,1.043,Raigarh,India,21.70N,83.94E
1889-03-01,28.397,0.8340000000000001,Raigarh,India,21.70N,83.94E
1889-04-01,32.054,0.621,Raigarh,India,21.70N,83.94E
1889-05-01,34.120000000000005,0.48,Raigarh,India,21.70N,83.94E
1889-06-01,30.834000000000003,0.48,Raigarh,India,21.70N,83.94E
1889-07-01,27.999000000000002,0.612,Raigarh,India,21.70N,83.94E
1889-08-01,26.979,0.376,Raigarh,India,21.70N,83.94E
1889-09-01,27.486,0.627,Raigarh,India,21.70N,83.94E
1889-10-01,25.519,0.391,Raigarh,India,21.70N,83.94E
1889-11-01,21.815,0.708,Raigarh,India,21.70N,83.94E
1889-12-01,18.915,1.0959999999999999,Raigarh,India,21.70N,83.94E
1890-01-01,19.469,0.602,Raigarh,India,21.70N,83.94E
1890-02-01,22.955,1.125,Raigarh,India,21.70N,83.94E
1890-03-01,27.904,0.902,Raigarh,India,21.70N,83.94E
1890-04-01,31.671999999999997,0.872,Raigarh,India,21.70N,83.94E
1890-05-01,33.748000000000005,1.1440000000000001,Raigarh,India,21.70N,83.94E
1890-06-01,30.099,0.502,Raigarh,India,21.70N,83.94E
1890-07-01,26.497,0.306,Raigarh,India,21.70N,83.94E
1890-08-01,26.585,0.324,Raigarh,India,21.70N,83.94E
1890-09-01,27.109,0.507,Raigarh,India,21.70N,83.94E
1890-10-01,25.195,0.39299999999999996,Raigarh,India,21.70N,83.94E
1890-11-01,21.388,0.8079999999999999,Raigarh,India,21.70N,83.94E
1890-12-01,20.295,0.95,Raigarh,India,21.70N,83.94E
1891-01-01,19.469,0.912,Raigarh,India,21.70N,83.94E
1891-02-01,21.493000000000002,0.636,Raigarh,India,21.70N,83.94E
1891-03-01,25.361,0.5589999999999999,Raigarh,India,21.70N,83.94E
1891-04-01,31.368,0.44299999999999995,Raigarh,India,21.70N,83.94E
1891-05-01,32.611000000000004,0.442,Raigarh,India,21.70N,83.94E
1891-06-01,33.077,0.534,Raigarh,India,21.70N,83.94E
1891-07-01,27.706999999999997,0.5529999999999999,Raigarh,India,21.70N,83.94E
1891-08-01,26.615,0.188,Raigarh,India,21.70N,83.94E
1891-09-01,26.739,0.648,Raigarh,India,21.70N,83.94E
1891-10-01,25.391,0.442,Raigarh,India,21.70N,83.94E
1891-11-01,22.122,0.586,Raigarh,India,21.70N,83.94E
1891-12-01,19.045,0.877,Raigarh,India,21.70N,83.94E
1892-01-01,20.338,0.593,Raigarh,India,21.70N,83.94E
1892-02-01,23.263,0.387,Raigarh,India,21.70N,83.94E
1892-03-01,28.202,0.912,Raigarh,India,21.70N,83.94E
1892-04-01,33.24,0.7290000000000001,Raigarh,India,21.70N,83.94E
1892-05-01,34.650999999999996,0.878,Raigarh,India,21.70N,83.94E
1892-06-01,30.483,0.379,Raigarh,India,21.70N,83.94E
1892-07-01,27.377,0.491,Raigarh,India,21.70N,83.94E
1892-08-01,27.041999999999998,0.313,Raigarh,India,21.70N,83.94E
1892-09-01,27.02,0.28,Raigarh,India,21.70N,83.94E
1892-10-01,25.826999999999998,0.348,Raigarh,India,21.70N,83.94E
1892-11-01,20.768,0.845,Raigarh,India,21.70N,83.94E
1892-12-01,18.237000000000002,0.7509999999999999,Raigarh,India,21.70N,83.94E
1893-01-01,18.363,0.775,Raigarh,India,21.70N,83.94E
1893-02-01,19.492,1.4280000000000002,Raigarh,India,21.70N,83.94E
1893-03-01,23.727,1.165,Raigarh,India,21.70N,83.94E
1893-04-01,30.546999999999997,0.214,Raigarh,India,21.70N,83.94E
1893-05-01,31.364,0.866,Raigarh,India,21.70N,83.94E
1893-06-01,29.051,0.777,Raigarh,India,21.70N,83.94E
1893-07-01,27.391,0.46799999999999997,Raigarh,India,21.70N,83.94E
1893-08-01,26.945999999999998,0.33899999999999997,Raigarh,India,21.70N,83.94E
1893-09-01,26.653000000000002,0.36,Raigarh,India,21.70N,83.94E
1893-10-01,25.480999999999998,0.35100000000000003,Raigarh,India,21.70N,83.94E
1893-11-01,22.521,0.64,Raigarh,India,21.70N,83.94E
1893-12-01,18.791,0.598,Raigarh,India,21.70N,83.94E
