,22.24,0.564,Chandpur,Bangladesh,23.31N,90.00E
1860-08-01,26.86,1.287,Chandrapur,India,20.09N,78.48E
1860-09-01,27.538,1.2590000000000001,Chandrapur,India,20.09N,78.48E
1860-10-01,25.95,1.358,Chandrapur,India,20.09N,78.48E
1860-11-01,22.555,1.506,Chandrapur,India,20.09N,78.48E
1860-12-01,19.422,1.6,Chandrapur,India,20.09N,78.48E
1861-01-01,20.313,1.806,Chandrapur,India,20.09N,78.48E
1861-02-01,23.456999999999997,1.464,Chandrapur,India,20.09N,78.48E
1861-03-01,27.915,1.598,Chandrapur,India,20.09N,78.48E
1861-04-01,32.133,1.6909999999999998,Chandrapur,India,20.09N,78.48E
1861-05-01,34.161,1.5519999999999998,Chandrapur,India,20.09N,78.48E
1861-06-01,31.503,2.035,Chandrapur,India,20.09N,78.48E
1861-07-01,27.529,1.516,Chandrapur,India,20.09N,78.48E
1861-08-01,26.501,1.284,Chandrapur,India,20.09N,78.48E
1861-09-01,27.031999999999996,1.157,Chandrapur,India,20.09N,78.48E
1861-10-01,25.701,1.321,Chandrapur,India,20.09N,78.48E
1861-11-01,22.944000000000006,1.7630000000000001,Chandrapur,India,20.09N,78.48E
1861-12-01,20.409000000000002,1.881,Chandrapur,India,20.09N,78.48E
1862-01-01,20.42,1.74,Chandrapur,India,20.09N,78.48E
1862-02-01,22.892,1.605,Chandrapur,India,20.09N,78.48E
1862-03-01,27.619,1.615,Chandrapur,India,20.09N,78.48E
1862-04-01,,,Chandrapur,India,20.09N,78.48E
1862-05-01,,,Chandrapur,India,20.09N,78.48E
1862-06-01,,,Chandrapur,India,20.09N,78.48E
1862-07-01,,,Chandrapur,India,20.09N,78.48E
1862-08-01,,,Chandrapur,India,20.09N,78.48E
1862-09-01,,,Chandrapur,India,20.09N,78.48E
1862-10-01,,,Chandrapur,India,20.09N,78.48E
1862-11-01,,,Chandrapur,India,20.09N,78.48E
1862-12-01,,,Chandrapur,India,20.09N,78.48E
1863-01-01,,,Chandrapur,India,20.09N,78.48E
1863-02-01,,,Chandrapur,India,20.09N,78.48E
1863-03-01,,,Chandrapur,India,20.09N,78.48E
1863-04-01,,,Chandrapur,India,20.09N,78.48E
1863-05-01,,,Chandrapur,India,20.09N,78.48E
1863-06-01,,,Chandrapur,India,20.09N,78.48E
1863-07-01,,,Chandrapur,India,20.09N,78.48E
1863-08-01,,,Chandrapur,India,20.09N,78.48E
1863-09-01,,,Chandrapur,India,20.09N,78.48E
1863-10-01,,,Chandrapur,India,20.09N,78.48E
1863-11-01,,,Chandrapur,India,20.09N,78.48E
1863-12-01,,,Chandrapur,India,20.09N,78.48E
1864-01-01,,,Chandrapur,India,20.09N,78.48E
1864-02-01,,,Chandrapur,India,20.09N,78.48E
1864-03-01,,,Chandrapur,India,20.09N,78.48E
1864-04-01,,,Chandrapur,India,20.09N,78.48E
1864-05-01,,,Chandrapur,India,20.09N,78.48E
1864-06-01,,,Chandrapur,India,20.09N,78.48E
1864-07-01,,,Chandrapur,India,20.09N,78.48E
1864-08-01,,,Chandrapur,India,20.09N,78.48E
1864-09-01,,,Chandrapur,India,20.09N,78.48E
1864-10-01,,,Chandrapur,India,20.09N,78.48E
1864-11-01,,,Chandrapur,India,20.09N,78.48E
1864-12-01,,,Chandrapur,India,20.09N,78.48E
1865-01-01,22.335,1.56,Chandrapur,India,20.09N,78.48E
1865-02-01,24.241,2.411,Chandrapur,India,20.09N,78.48E
1865-03-01,27.601999999999997,1.6640000000000001,Chandrapur,India,20.09N,78.48E
1865-04-01,32.175000000000004,1.751,Chandrapur,India,20.09N,78.48E
1865-05-01,34.431999999999995,1.879,Chandrapur,India,20.09N,78.48E
1865-06-01,32.272,1.6840000000000002,Chandrapur,India,20.09N,78.48E
1865-07-01,27.914,1.268,Chandrapur,India,20.09N,78.48E
1865-08-01,26.872,1.248,Chandrapur,India,20.09N,78.48E
1865-09-01,27.918000000000006,1.166,Chandrapur,India,20.09N,78.48E
1865-10-01,26.367,1.3430000000000002,Chandrapur,India,20.09N,78.48E
1865-11-01,23.555999999999997,1.5519999999999998,Chandrapur,India,20.09N,78.48E
1865-12-01,20.826999999999998,1.685,Chandrapur,India,20.09N,78.48E
1866-01-01,22.205,1.646,Chandrapur,India,20.09N,78.48E
1866-02-01,23.991999999999997,1.63,Chandrapur,India,20.09N,78.48E
1866-03-01,28.1,1.598,Chandrapur,India,20.09N,78.48E
1866-04-01,32.865,1.71,Chandrapur,India,20.09N,78.48E
1866-05-01,34.996,1.681,Chandrapur,India,20.09N,78.48E
1866-06-01,31.9,1.7080000000000002,Chandrapur,India,20.09N,78.48E
1866-07-01,28.096,1.442,Chandrapur,India,20.09N,78.48E
1866-08-01,26.69,1.315,Chandrapur,India,20.09N,78.48E
1866-09-01,27.636000000000006,1.4,Chandrapur,India,20.09N,78.48E
1866-10-01,25.977,1.3319999999999999,Chandrapur,India,20.09N,78.48E
1866-11-01,23.026999999999997,1.496,Chandrapur,India,20.09N,78.48E
1866-12-01,21.584,1.6880000000000002,Chandrapur,India,20.09N,78.48E
1867-01-01,22.056,1.6380000000000001,Chandrapur,India,20.09N,78.48E
1867-02-01,24.090999999999998,1.426,Chandrapur,India,20.09N,78.48E
1867-03-01,28.133000000000003,1.665,Chandrapur,India,20.09N,78.48E
1867-04-01,32.672000000000004,1.663,Chandrapur,India,20.09N,78.48E
1867-05-01,34.290000000000006,1.5390000000000001,Chandrapur,India,20.09N,78.48E
1867-06-01,32.006,1.6909999999999998,Chandrapur,India,20.09N,78.48E
1867-07-01,27.835,1.268,Chandrapur,India,20.09N,78.48E
1867-08-01,26.796,1.319,Chandrapur,India,20.09N,78.48E
1867-09-01,27.463,1.199,Chandrapur,India,20.09N,78.48E
1867-10-01,26.321,1.2819999999999998,Chandrapur,India,20.09N,78.48E
1867-11-01,23.732000000000006,1.851,Chandrapur,India,20.09N,78.48E
1867-12-01,21.488000000000003,1.69,Chandrapur,India,20.09N,78.48E
1868-01-01,21.3,1.689,Chandrapur,India,20.09N,78.48E
1868-02-01,23.63,1.801,Chandrapur,India,20.09N,78.48E
1868-03-01,27.916,1.7519999999999998,Chandrapur,India,20.09N,78.48E
1868-04-01,32.689,1.834,Chandrapur,India,20.09N,78.48E
1868-05-01,34.884,1.649,Chandrapur,India,20.09N,78.48E
1868-06-01,31.834,1.626,Chandrapur,India,20.09N,78.48E
1868-07-01,27.743,1.2409999999999999,Chandrapur,India,20.09N,78.48E
1868-08-01,26.995,1.24,Chandrapur,India,20.09N,78.48E
1868-09-01,27.568,1.2409999999999999,Chandrapur,India,20.09N,78.48E
1868-10-01,26.611,1.3230000000000002,Chandrapur,India,20.09N,78.48E
1868-11-01,22.763,1.641,Chandrapur,India,20.09N,78.48E
1868-12-01,20.74,1.558,Chandrapur,India,20.09N,78.48E
1869-01-01,21.537,1.7619999999999998,Chandrapur,India,20.09N,78.48E
1869-02-01,24.753,1.6369999999999998,Chandrapur,India,20.09N,78.48E
1869-03-01,28.015,1.642,Chandrapur,India,20.09N,78.48E
1869-04-01,32.96,1.81,Chandrapur,India,20.09N,78.48E
1869-05-01,34.578,1.7630000000000001,Chandrapur,India,20.09N,78.48E
1869-06-01,31.946,1.7209999999999999,Chandrapur,India,20.09N,78.48E
1869-07-01,27.915,1.2919999999999998,Chandrapur,India,20.09N,78.48E
1869-08-01,26.654,1.515,Chandrapur,India,20.09N,78.48E
1869-09-01,27.595,1.197,Chandrapur,India,20.09N,78.48E
1869-10-01,26.174,1.385,Chandrapur,India,20.09N,78.48E
1869-11-01,22.799000000000003,1.421,Chandrapur,India,20.09N,78.48E
1869-12-01,20.345,1.709,Chandrapur,India,20.09N,78.48E
1870-01-01,21.62,1.374,Chandrapur,India,20.09N,78.48E
1870-02-01,23.695999999999998,1.557,Chandrapur,India,20.09N,78.48E
1870-03-01,27.991,1.34,Chandrapur,India,20.09N,78.48E
1870-04-01,32.648,1.631,Chandrapur,India,20.09N,78.48E
1870-05-01,34.998000000000005,1.367,Chandrapur,India,20.09N,78.48E
1870-06-01,31.624000000000002,1.594,Chandrapur,India,20.09N,78.48E
1870-07-01,27.351999999999997,1.141,Chandrapur,India,20.09N,78.48E
1870-08-01,26.048000000000002,1.006,Chandrapur,India,20.09N,78.48E
1870-09-01,27.085,0.998,Chandrapur,India,20.09N,78.48E
1870-10-01,25.954,1.33,Chandrapur,India,20.09N,78.48E
1870-11-01,22.828000000000007,1.6569999999999998,Chandrapur,India,20.09N,78.48E
1870-12-01,20.133,1.331,Chandrapur,India,20.09N,78.48E
1871-01-01,21.15,1.588,Chandrapur,India,20.09N,78.48E
1871-02-01,23.919,1.865,Chandrapur,India,20.09N,78.48E
1871-03-01,28.278000000000002,1.791,Chandrapur,India,20.09N,78.48E
1871-04-01,32.793,1.376,Chandrapur,India,20.09N,78.48E
1871-05-01,34.141000000000005,1.423,Chandrapur,India,20.09N,78.48E
1871-06-01,31.873,1.577,Chandrapur,India,20.09N,78.48E
1871-07-01,27.429,1.051,Chandrapur,India,20.09N,78.48E
1871-08-01,26.744,0.9009999999999999,Chandrapur,India,20.09N,78.48E
1871-09-01,27.519,1.013,Chandrapur,India,20.09N,78.48E
1871-10-01,26.304000000000002,1.088,Chandrapur,India,20.09N,78.48E
1871-11-01,22.587000000000003,1.3090000000000002,Chandrapur,India,20.09N,78.48E
1871-12-01,20.663,1.327,Chandrapur,India,20.09N,78.48E
1872-01-01,21.418000000000003,1.818,Chandrapur,India,20.09N,78.48E
1872-02-01,23.779,1.459,Chandrapur,India,20.09N,78.48E
1872-03-01,28.714000000000002,1.3940000000000001,Chandrapur,India,20.09N,78.48E
1872-04-01,32.589,1.6669999999999998,Chandrapur,India,20.09N,78.48E
1872-05-01,34.396,1.2690000000000001,Chandrapur,India,20.09N,78.48E
1872-06-01,31.588,1.4280000000000002,Chandrapur,India,20.09N,78.48E
1872-07-01,27.433000000000003,1.114,Chandrapur,India,20.09N,78.48E
1872-08-01,26.369,1.4409999999999998,Chandrapur,India,20.09N,78.48E
1872-09-01,27.206000000000003,0.9229999999999999,Chandrapur,India,20.09N,78.48E
1872-10-01,26.263,1.051,Chandrapur,India,20.09N,78.48E
1872-11-01,22.709000000000003,1.236,Chandrapur,India,20.09N,78.48E
1872-12-01,20.564,1.797,Chandrapur,India,20.09N,78.48E
1873-01-01,21.284000000000002,1.44,Chandrapur,India,20.09N,78.48E
1873-02-01,24.322,1.3459999999999999,Chandrapur,India,20.09N,78.48E
1873-03-01,28.015,1.462,Chandrapur,India,20.09N,78.48E
1873-04-01,32.454,1.55,Chandrapur,India,20.09N,78.48E
1873-05-01,34.702000000000005,1.354,Chandrapur,India,20.09N,78.48E
1873-06-01,31.581,1.435,Chandrapur,India,20.09N,78.48E
1873-07-01,27.595,1.315,Chandrapur,India,20.09N,78.48E
1873-08-01,26.699,0.958,Chandrapur,India,20.09N,78.48E
1873-09-01,27.289,1.225,Chandrapur,India,20.09N,78.48E
1873-10-01,26.344,1.199,Chandrapur,India,20.09N,78.48E
1873-11-01,22.65,1.172,Chandrapur,India,20.09N,78.48E
1873-12-01,20.968000000000004,1.3219999999999998,Chandrapur,India,20.09N,78.48E
1874-01-01,21.276,1.432,Chandrapur,India,20.09N,78.48E
1874-02-01,24.112,1.271,Chandrapur,India,20.09N,78.48E
1874-03-01,27.543000000000003,1.514,Chandrapur,India,20.09N,78.48E
1874-04-01,32.736999999999995,1.317,Chandrapur,India,20.09N,78.48E
1874-05-01,34.256,1.422,Chandrapur,India,20.09N,78.48E
1874-06-01,31.498,1.5730000000000002,Chandrapur,India,20.09N,78.48E
1874-07-01,27.504,1.034,Chandrapur,India,20.09N,78.48E
1874-08-01,26.683000000000003,0.965,Chandrapur,India,20.09N,78.48E
1874-09-01,27.064,1.1340000000000001,Chandrapur,India,20.09N,78.48E
1874-10-01,26.734,1.265,Chandrapur,India,20.09N,78.48E
1874-11-01,23.426,1.295,Chandrapur,India,20.09N,78.48E
1874-12-01,20.576,1.564,Chandrapur,India,20.09N,78.48E
1875-01-01,21.766,0.902,Chandrapur,India,20.09N,78.48E
1875-02-01,23.912,0.9540000000000001,Chandrapur,India,20.09N,78.48E
1875-03-01,29.922,0.8370000000000001,Chandrapur,India,20.09N,78.48E
1875-04-01,33.094,0.414,Chandrapur,India,20.09N,78.48E
1875-05-01,34.93,0.33799999999999997,Chandrapur,India,20.09N,78.48E
1875-06-01,30.956999999999997,1.28,Chandrapur,India,20.09N,78.48E
1875-07-01,26.991,0.8370000000000001,Chandrapur,India,20.09N,78.48E
1875-08-01,26.697,0.32,Chandrapur,India,20.09N,78.48E
1875-09-01,26.916999999999998,0.5710000000000001,Chandrapur,India,20.09N,78.48E
1875-10-01,25.283,0.462,Chandrapur,India,20.09N,78.48E
1875-11-01,22.226000000000006,0.838,Chandrapur,India,20.09N,78.48E
1875-12-01,21.326,0.32,Chandrapur,India,20.09N,78.48E
1876-01-01,21.974,1.025,Chandrapur,India,20.09N,78.48E
1876-02-01,24.202,0.87,Chandrapur,India,20.09N,78.48E
1876-03-01,28.978,1.463,Chandrapur,India,20.09N,78.48E
1876-04-01,32.924,1.031,Chandrapur,India,20.09N,78.48E
1876-05-01,35.515,1.182,Chandrapur,India,20.09N,78.48E
1876-06-01,32.681,0.645,Chandrapur,India,20.09N,78.48E
1876-07-01,27.552,0.738,Chandrapur,India,20.09N,78.48E
1876-08-01,27.031,0.573,Chandrapur,India,20.09N,78.48E
1876-09-01,26.715999999999998,0.888,Chandrapur,India,20.09N,78.48E
1876-10-01,25.779,0.8959999999999999,Chandrapur,India,20.09N,78.48E
1876-11-01,22.723000000000006,1.084,Chandrapur,India,20.09N,78.48E
1876-12-01,20.552,0.9540000000000001,Chandrapur,India,20.09N,78.48E
1877-01-01,21.429000000000002,1.4909999999999999,Chandrapur,India,20.09N,78.48E
1877-02-01,23.449,1.4,Chandrapur,India,20.09N,78.48E
1877-03-01,28.1,0.43700000000000006,Chandrapur,India,20.09N,78.48E
1877-04-01,30.444000000000006,0.609,Chandrapur,India,20.09N,78.48E
1877-05-01,33.336999999999996,0.706,Chandrapur,India,20.09N,78.48E
1877-06-01,32.2,1.8,Chandrapur,India,20.09N,78.48E
1877-07-01,28.947,0.6829999999999999,Chandrapur,India,20.09N,78.48E
1877-08-01,28.006,0.738,Chandrapur,India,20.09N,78.48E
1877-09-01,28.397,0.915,Chandrapur,India,20.09N,78.48E
1877-10-01,26.564,0.821,Chandrapur,India,20.09N,78.48E
1877-11-01,24.237,1.3119999999999998,Chandrapur,India,20.09N,78.48E
1877-12-01,23.226999999999997,1.9809999999999999,Chandrapur,India,20.09N,78.48E
1878-01-01,22.507,1.2770000000000001,Chandrapur,India,20.09N,78.48E
1878-02-01,26.162,0.865,Chandrapur,India,20.09N,78.48E
1878-03-01,29.443,0.5489999999999999,Chandrapur,India,20.09N,78.48E
1878-04-01,32.326,0.695,Chandrapur,India,20.09N,78.48E
1878-05-01,34.15000000000001,0.414,Chandrapur,India,20.09N,78.48E
1878-06-01,34.189,1.507,Chandrapur,India,20.09N,78.48E
1878-07-01,28.24,0.767,Chandrapur,India,20.09N,78.48E
1878-08-01,27.188000000000002,0.78,Chandrapur,India,20.09N,78.48E
1878-09-01,27.848000000000006,0.5770000000000001,Chandrapur,India,20.09N,78.48E
1878-10-01,27.145,0.613,Chandrapur,India,20.09N,78.48E
1878-11-01,24.163,1.095,Chandrapur,India,20.09N,78.48E
1878-12-01,20.325,1.013,Chandrapur,India,20.09N,78.48E
1879-01-01,21.61,0.667,Chandrapur,India,20.09N,78.48E
1879-02-01,24.955,0.802,Chandrapur,India,20.09N,78.48E
1879-03-01,28.549,0.7120000000000001,Chandrapur,India,20.09N,78.48E
1879-04-01,33.213,1.158,Chandrapur,India,20.09N,78.48E
1879-05-01,34.203,0.6629999999999999,Chandrapur,India,20.09N,78.48E
1879-06-01,30.166,1.5019999999999998,Chandrapur,India,20.09N,78.48E
1879-07-01,28.02,1.268,Chandrapur,India,20.09N,78.48E
1879-08-01,26.238000000000003,0.3,Chandrapur,India,20.09N,78.48E
1879-09-01,26.834000000000003,0.711,Chandrapur,India,20.09N,78.48E
1879-10-01,25.346,1.155,Chandrapur,India,20.09N,78.48E
1879-11-01,21.18,0.503,Chandrapur,India,20.09N,78.48E
1879-12-01,18.805,1.4240000000000002,Chandrapur,India,20.09N,78.48E
1880-01-01,20.984,1.119,Chandrapur,India,20.09N,78.48E
1880-02-01,23.837,0.36700000000000005,Chandrapur,India,20.09N,78.48E
1880-03-01,30.189,0.6829999999999999,Chandrapur,India,20.09N,78.48E
1880-04-01,33.556000000000004,0.326,Chandrapur,India,20.09N,78.48E
1880-05-01,35.03,0.69,Chandrapur,India,20.09N,78.48E
1880-06-01,30.983,0.9279999999999999,Chandrapur,India,20.09N,78.48E
1880-07-01,27.424,0.6829999999999999,Chandrapur,India,20.09N,78.48E
1880-08-01,27.679000000000002,0.615,Chandrapur,India,20.09N,78.48E
1880-09-01,26.803,0.45399999999999996,Chandrapur,India,20.09N,78.48E
1880-10-01,26.551,0.987,Chandrapur,India,20.09N,78.48E
1880-11-01,22.598000000000006,2.08,Chandrapur,India,20.09N,78.48E
1880-12-01,20.621,0.8320000000000001,Chandrapur,India,20.09N,78.48E
1881-01-01,21.195,0.615,Chandrapur,India,20.09N,78.48E
1881-02-01,24.908,0.6779999999999999,Chandrapur,India,20.09N,78.48E
1881-03-01,27.799,0.524,Chandrapur,India,20.09N,78.48E
1881-04-01,32.693000000000005,0.396,Chandrapur,India,20.09N,78.48E
1881-05-01,35.065000000000005,0.59,Chandrapur,India,20.09N,78.48E
1881-06-01,30.165,1.34,Chandrapur,India,20.09N,78.48E
1881-07-01,27.144,0.299,Chandrapur,India,20.09N,78.48E
1881-08-01,26.917,0.45299999999999996,Chandrapur,India,20.09N,78.48E
1881-09-01,27.379,0.46799999999999997,Chandrapur,India,20.09N,78.48E
1881-10-01,25.982,0.27,Chandrapur,India,20.09N,78.48E
1881-11-01,22.243,0.7040000000000001,Chandrapur,India,20.09N,78.48E
1881-12-01,20.293,0.958,Chandrapur,India,20.09N,78.48E
1882-01-01,22.027,1.034,Chandrapur,India,20.09N,78.48E
1882-02-01,23.995,0.691,Chandrapur,India,20.09N,78.48E
1882-03-01,29.674,0.493,Chandrapur,India,20.09N,78.48E
1882-04-01,32.314,0.467,Chandrapur,India,20.09N,78.48E
1882-05-01,34.356,0.789,Chandrapur,India,20.09N,78.48E
1882-06-01,29.771,0.49200000000000005,Chandrapur,India,20.09N,78.48E
1882-07-01,26.563,0.33,Chandrapur,India,20.09N,78.48E
1882-08-01,27.171999999999997,0.7979999999999999,Chandrapur,India,20.09N,78.48E
1882-09-01,27.374,0.28600000000000003,Chandrapur,India,20.09N,78.48E
1882-10-01,26.121,0.46299999999999997,Chandrapur,India,20.09N,78.48E
1882-11-01,22.348000000000006,1.09,Chandrapur,India,20.09N,78.48E
1882-12-01,20.96,0.413,Chandrapur,India,20.09N,78.48E
1883-01-01,21.672,0.7,Chandrapur,India,20.09N,78.48E
1883-02-01,24.416,0.635,Chandrapur,India,20.09N,78.48E
1883-03-01,28.487,0.63,Chandrapur,India,20.09N,78.48E
1883-04-01,33.064,0.42,Chandrapur,India,20.09N,78.48E
1883-05-01,34.52500000000001,1.37,Chandrapur,India,20.09N,78.48E
1883-06-01,30.188000000000002,0.5870000000000001,Chandrapur,India,20.09N,78.48E
1883-07-01,27.246,0.617,Chandrapur,India,20.09N,78.48E
1883-08-01,27.32,0.359,Chandrapur,India,20.09N,78.48E
1883-09-01,26.69,0.414,Chandrapur,India,20.09N,78.48E
1883-10-01,25.677,0.45799999999999996,Chandrapur,India,20.09N,78.48E
1883-11-01,21.802000000000003,0.695,Chandrapur,India,20.09N,78.48E
1883-12-01,18.02,1.1320000000000001,Chandrapur,India,20.09N,78.48E
1884-01-01,19.792,0.716,Chandrapur,India,20.09N,78.48E
1884-02-01,23.164,0.7709999999999999,Chandrapur,India,20.09N,78.48E
1884-03-01,28.927,0.526,Chandrapur,India,20.09N,78.48E
1884-04-01,31.803,0.746,Chandrapur,India,20.09N,78.48E
1884-05-01,34.756,0.542,Chandrapur,India,20.09N,78.48E
1884-06-01,31.948,0.6759999999999999,Chandrapur,India,20.09N,78.48E
1884-07-01,26.82,0.58,Chandrapur,India,20.09N,78.48E
1884-08-01,26.896,0.518,Chandrapur,India,20.09N,78.48E
1884-09-01,26.448,0.526,Chandrapur,India,20.09N,78.48E
1884-10-01,25.078000000000003,0.49200000000000005,Chandrapur,India,20.09N,78.48E
1884-11-01,21.46,0.738,Chandrapur,India,20.09N,78.48E
1884-12-01,19.383,0.98,Chandrapur,India,20.09N,78.48E
1885-01-01,22.426,0.8240000000000001,Chandrapur,India,20.09N,78.48E
1885-02-01,22.736,0.555,Chandrapur,India,20.09N,78.48E
1885-03-01,28.275,0.49200000000000005,Chandrapur,India,20.09N,78.48E
1885-04-01,31.700000000000006,0.519,Chandrapur,India,20.09N,78.48E
1885-05-01,33.119,0.825,Chandrapur,India,20.09N,78.48E
1885-06-01,30.776,1.113,Chandrapur,India,20.09N,78.48E
1885-07-01,27.776,0.509,Chandrapur,India,20.09N,78.48E
1885-08-01,26.989,0.55,Chandrapur,India,20.09N,78.48E
1885-09-01,27.921999999999997,0.447,Chandrapur,India,20.09N,78.48E
1885-10-01,26.644000000000002,0.588,Chandrapur,India,20.09N,78.48E
1885-11-01,22.91,0.726,Chandrapur,India,20.09N,78.48E
1885-12-01,20.208,1.21,Chandrapur,India,20.09N,78.48E
1886-01-01,20.765,0.856,Chandrapur,India,20.09N,78.48E
1886-02-01,23.921,0.92,Chandrapur,India,20.09N,78.48E
1886-03-01,28.356,0.3,Chandrapur,India,20.09N,78.48E
1886-04-01,32.173,0.408,Chandrapur,India,20.09N,78.48E
1886-05-01,34.57,0.757,Chandrapur,India,20.09N,78.48E
1886-06-01,30.671,0.494,Chandrapur,India,20.09N,78.48E
1886-07-01,27.335,0.545,Chandrapur,India,20.09N,78.48E
1886-08-01,27.267,0.5379999999999999,Chandrapur,India,20.09N,78.48E
1886-09-01,28.296999999999997,0.6459999999999999,Chandrapur,India,20.09N,78.48E
1886-10-01,26.763,0.758,Chandrapur,India,20.09N,78.48E
1886-11-01,23.579,0.496,Chandrapur,India,20.09N,78.48E
1886-12-01,20.6,0.955,Chandrapur,India,20.09N,78.48E
1887-01-01,21.841,0.87,Chandrapur,India,20.09N,78.48E
1887-02-01,23.334,1.127,Chandrapur,India,20.09N,78.48E
1887-03-01,28.956,0.47,Chandrapur,India,20.09N,78.48E
1887-04-01,32.4,0.43700000000000006,Chandrapur,India,20.09N,78.48E
1887-05-01,34.899,0.5539999999999999,Chandrapur,India,20.09N,78.48E
1887-06-01,30.491999999999997,0.579,Chandrapur,India,20.09N,78.48E
1887-07-01,26.366,0.701,Chandrapur,India,20.09N,78.48E
1887-08-01,26.286,0.483,Chandrapur,India,20.09N,78.48E
1887-09-01,26.896,0.5379999999999999,Chandrapur,India,20.09N,78.48E
1887-10-01,25.432,0.44799999999999995,Chandrapur,India,20.09N,78.48E
1887-11-01,22.697000000000006,0.7659999999999999,Chandrapur,India,20.09N,78.48E
1887-12-01,20.025,0.862,Chandrapur,India,20.09N,78.48E
1888-01-01,20.517,1.109,Chandrapur,India,20.09N,78.48E
1888-02-01,24.541,0.934,Chandrapur,India,20.09N,78.48E
1888-03-01,29.196,0.888,Chandrapur,India,20.09N,78.48E
1888-04-01,33.330999999999996,0.7979999999999999,Chandrapur,India,20.09N,78.48E
1888-05-01,34.298,0.473,Chandrapur,India,20.09N,78.48E
1888-06-01,31.94,1.064,Chandrapur,India,20.09N,78.48E
1888-07-01,27.234,0.419,Chandrapur,India,20.09N,78.48E
1888-08-01,26.823,0.6859999999999999,Chandrapur,India,20.09N,78.48E
1888-09-01,27.979000000000006,0.376,Chandrapur,India,20.09N,78.48E
1888-10-01,26.557,0.679,Chandrapur,India,20.09N,78.48E
1888-11-01,23.950000000000006,0.8290000000000001,Chandrapur,India,20.09N,78.48E
1888-12-01,19.965,0.821,Chandrapur,India,20.09N,78.48E
1889-01-01,23.076,0.643,Chandrapur,India,20.09N,78.48E
1889-02-01,24.799,0.613,Chandrapur,India,20.09N,78.48E
1889-03-01,29.647,0.616,Chandrapur,India,20.09N,78.48E
1889-04-01,33.260999999999996,0.511,Chandrapur,India,20.09N,78.48E
1889-05-01,35.55900000000001,0.41,Chandrapur,India,20.09N,78.48E
1889-06-01,31.592,0.24600000000000002,Chandrapur,India,20.09N,78.48E
1889-07-01,27.978,0.5760000000000001,Chandrapur,India,20.09N,78.48E
1889-08-01,26.901,0.5539999999999999,Chandrapur,India,20.09N,78.48E
1889-09-01,28.075000000000006,0.635,Chandrapur,India,20.09N,78.48E
1889-10-01,25.521,0.257,Chandrapur,India,20.09N,78.48E
1889-11-01,21.99,0.8490000000000001,Chandrapur,India,20.09N,78.48E
1889-12-01,20.309,1.249,Chandrapur,India,20.09N,78.48E
1890-01-01,21.151,0.664,Chandrapur,India,20.09N,78.48E
1890-02-01,24.826,1.584,Chandrapur,India,20.09N,78.48E
1890-03-01,29.397,0.9620000000000001,Chandrapur,India,20.09N,78.48E
1890-04-01,32.834,0.8759999999999999,Chandrapur,India,20.09N,78.48E
1890-05-01,35.759,1.1540000000000001,Chandrapur,India,20.09N,78.48E
1890-06-01,30.342,0.601,Chandrapur,India,20.09N,78.48E
1890-07-01,26.593000000000004,0.26899999999999996,Chandrapur,India,20.09N,78.48E
1890-08-01,26.519000000000002,0.37799999999999995,Chandrapur,India,20.09N,78.48E
1890-09-01,27.221999999999998,0.519,Chandrapur,India,20.09N,78.48E
1890-10-01,26.069000000000003,0.47700000000000004,Chandrapur,India,20.09N,78.48E
1890-11-01,23.14,0.774,Chandrapur,India,20.09N,78.48E
1890-12-01,22.412,0.769,Chandrapur,India,20.09N,78.48E
1891-01-01,21.357,1.089,Chandrapur,India,20.09N,78.48E
1891-02-01,23.427,0.728,Chandrapur,India,20.09N,78.48E
1891-03-01,27.671,0.233,Chandrapur,India,20.09N,78.48E
1891-04-01,32.622,0.23800000000000002,Chandrapur,India,20.09N,78.48E
1891-05-01,34.728,0.485,Chandrapur,India,20.09N,78.48E
1891-06-01,34.619,1.075,Chandrapur,India,20.09N,78.48E
1891-07-01,27.956,0.32899999999999996,Chandrapur,India,20.09N,78.48E
1891-08-01,26.777,0.35100000000000003,Chandrapur,India,20.09N,78.48E
1891-09-01,26.664,0.8270000000000001,Chandrapur,India,20.09N,78.48E
1891-10-01,25.668000000000003,0.426,Chandrapur,India,20.09N,78.48E
1891-11-01,22.719,0.632,Chandrapur,India,20.09N,78.48E
1891-12-01,20.088,0.7979999999999999,Chandrapur,India,20.09N,78.48E
1892-01-01,22.509,0.584,Chandrapur,India,20.09N,78.48E
1892-02-01,25.041999999999998,0.419,Chandrapur,India,20.09N,78.48E
1892-03-01,29.446,0.841,Chandrapur,India,20.09N,78.48E
1892-04-01,34.853,0.635,Chandrapur,India,20.09N,78.48E
1892-05-01,35.476000000000006,0.644,Chandrapur,India,20.09N,78.48E
1892-06-01,31.398000000000003,0.387,Chandrapur,India,20.09N,78.48E
1892-07-01,27.921999999999997,0.493,Chandrapur,India,20.09N,78.48E
1892-08-01,26.867,0.268,Chandrapur,India,20.09N,78.48E
1892-09-01,26.461,0.39399999999999996,Chandrapur,India,20.09N,78.48E
1892-10-01,26.339000000000002,0.409,Chandrapur,India,20.09N,78.48E
1892-11-01,21.898000000000003,0.745,Chandrapur,India,20.09N,78.48E
1892-12-01,20.407,0.727,Chandrapur,India,20.09N,78.48E
1893-01-01,20.363,0.655,Chandrapur,India,20.09N,78.48E
