999997,0.956,Majalaya,Indonesia,7.23S,107.84E
1886-09-01,24.69,0.498,Majalaya,Indonesia,7.23S,107.84E
1886-10-01,24.875999999999998,0.606,Majalaya,Indonesia,7.23S,107.84E
1886-11-01,24.744,0.605,Majalaya,Indonesia,7.23S,107.84E
1886-12-01,24.546999999999997,1.5019999999999998,Majalaya,Indonesia,7.23S,107.84E
1887-01-01,23.746,0.8,Majalaya,Indonesia,7.23S,107.84E
1887-02-01,23.578000000000003,1.29,Majalaya,Indonesia,7.23S,107.84E
1887-03-01,24.183000000000003,0.6,Majalaya,Indonesia,7.23S,107.84E
1887-04-01,24.14,0.5660000000000001,Majalaya,Indonesia,7.23S,107.84E
1887-05-01,24.201,0.853,Majalaya,Indonesia,7.23S,107.84E
1887-06-01,23.662,0.6559999999999999,Majalaya,Indonesia,7.23S,107.84E
1887-07-01,23.338,0.9079999999999999,Majalaya,Indonesia,7.23S,107.84E
1887-08-01,23.968000000000004,0.653,Majalaya,Indonesia,7.23S,107.84E
1887-09-01,24.098000000000003,0.9079999999999999,Majalaya,Indonesia,7.23S,107.84E
1887-10-01,24.633000000000003,0.6629999999999999,Majalaya,Indonesia,7.23S,107.84E
1887-11-01,24.131,0.8140000000000001,Majalaya,Indonesia,7.23S,107.84E
1887-12-01,23.919,0.544,Majalaya,Indonesia,7.23S,107.84E
1888-01-01,23.03,0.998,Majalaya,Indonesia,7.23S,107.84E
1888-02-01,23.694000000000003,0.934,Majalaya,Indonesia,7.23S,107.84E
1888-03-01,24.432,0.7120000000000001,Majalaya,Indonesia,7.23S,107.84E
1888-04-01,24.392,0.752,Majalaya,Indonesia,7.23S,107.84E
1888-05-01,24.536,0.414,Majalaya,Indonesia,7.23S,107.84E
1888-06-01,24.63,0.736,Majalaya,Indonesia,7.23S,107.84E
1888-07-01,23.691999999999997,0.903,Majalaya,Indonesia,7.23S,107.84E
1888-08-01,24.096999999999998,0.8690000000000001,Majalaya,Indonesia,7.23S,107.84E
1888-09-01,24.576,0.982,Majalaya,Indonesia,7.23S,107.84E
1888-10-01,25.444000000000003,0.735,Majalaya,Indonesia,7.23S,107.84E
1888-11-01,25.358,0.75,Majalaya,Indonesia,7.23S,107.84E
1888-12-01,24.498,0.7340000000000001,Majalaya,Indonesia,7.23S,107.84E
1889-01-01,24.81,0.65,Majalaya,Indonesia,7.23S,107.84E
1889-02-01,24.753,0.563,Majalaya,Indonesia,7.23S,107.84E
1889-03-01,24.638,0.6559999999999999,Majalaya,Indonesia,7.23S,107.84E
1889-04-01,25.313,0.532,Majalaya,Indonesia,7.23S,107.84E
1889-05-01,25.335,0.545,Majalaya,Indonesia,7.23S,107.84E
1889-06-01,24.543000000000003,0.9440000000000001,Majalaya,Indonesia,7.23S,107.84E
1889-07-01,24.167,0.938,Majalaya,Indonesia,7.23S,107.84E
1889-08-01,24.290000000000006,0.828,Majalaya,Indonesia,7.23S,107.84E
1889-09-01,24.857,0.787,Majalaya,Indonesia,7.23S,107.84E
1889-10-01,24.816000000000006,0.851,Majalaya,Indonesia,7.23S,107.84E
1889-11-01,24.548,0.7240000000000001,Majalaya,Indonesia,7.23S,107.84E
1889-12-01,24.39,0.968,Majalaya,Indonesia,7.23S,107.84E
1890-01-01,24.708000000000002,0.635,Majalaya,Indonesia,7.23S,107.84E
1890-02-01,24.241,1.091,Majalaya,Indonesia,7.23S,107.84E
1890-03-01,24.215999999999998,0.9840000000000001,Majalaya,Indonesia,7.23S,107.84E
1890-04-01,24.444000000000006,0.7490000000000001,Majalaya,Indonesia,7.23S,107.84E
