371,0.41700000000000004,Niiza,Japan,36.17N,139.23E
1791-09-01,13.633,2.932,Nijmegen,Netherlands,52.24N,5.26E
1791-10-01,8.831,1.6869999999999998,Nijmegen,Netherlands,52.24N,5.26E
1791-11-01,3.886,2.985,Nijmegen,Netherlands,52.24N,5.26E
1791-12-01,1.646,2.57,Nijmegen,Netherlands,52.24N,5.26E
1792-01-01,1.315,6.18,Nijmegen,Netherlands,52.24N,5.26E
1792-02-01,1.497,3.983,Nijmegen,Netherlands,52.24N,5.26E
1792-03-01,4.822,2.593,Nijmegen,Netherlands,52.24N,5.26E
1792-04-01,10.300999999999998,2.641,Nijmegen,Netherlands,52.24N,5.26E
1792-05-01,11.385000000000002,1.6440000000000001,Nijmegen,Netherlands,52.24N,5.26E
1792-06-01,14.880999999999998,1.249,Nijmegen,Netherlands,52.24N,5.26E
1792-07-01,17.526999999999994,2.747,Nijmegen,Netherlands,52.24N,5.26E
1792-08-01,17.667,2.3209999999999997,Nijmegen,Netherlands,52.24N,5.26E
1792-09-01,12.614,4.013999999999999,Nijmegen,Netherlands,52.24N,5.26E
1792-10-01,9.038,2.895,Nijmegen,Netherlands,52.24N,5.26E
1792-11-01,5.089,3.464,Nijmegen,Netherlands,52.24N,5.26E
1792-12-01,3.112,3.615,Nijmegen,Netherlands,52.24N,5.26E
1793-01-01,0.48200000000000004,5.372999999999999,Nijmegen,Netherlands,52.24N,5.26E
1793-02-01,4.172,6.224,Nijmegen,Netherlands,52.24N,5.26E
1793-03-01,4.441,4.645,Nijmegen,Netherlands,52.24N,5.26E
1793-04-01,6.605,3.188,Nijmegen,Netherlands,52.24N,5.26E
1793-05-01,11.219,2.219,Nijmegen,Netherlands,52.24N,5.26E
1793-06-01,14.098999999999998,4.52,Nijmegen,Netherlands,52.24N,5.26E
1793-07-01,18.951,7.803,Nijmegen,Netherlands,52.24N,5.26E
1793-08-01,17.113,7.02,Nijmegen,Netherlands,52.24N,5.26E
1793-09-01,12.640999999999998,2.7560000000000002,Nijmegen,Netherlands,52.24N,5.26E
1793-10-01,11.159,4.718,Nijmegen,Netherlands,52.24N,5.26E
1793-11-01,5.287999999999999,6.882999999999999,Nijmegen,Netherlands,52.24N,5.26E
1793-12-01,3.9189999999999996,3.623,Nijmegen,Netherlands,52.24N,5.26E
1794-01-01,0.4610000000000001,6.699,Nijmegen,Netherlands,52.24N,5.26E
1794-02-01,5.175,9.625,Nijmegen,Netherlands,52.24N,5.26E
1794-03-01,7.542999999999999,2.2680000000000002,Nijmegen,Netherlands,52.24N,5.26E
1794-04-01,11.339,2.332,Nijmegen,Netherlands,52.24N,5.26E
1794-05-01,11.954,4.163,Nijmegen,Netherlands,52.24N,5.26E
1794-06-01,16.203,6.444,Nijmegen,Netherlands,52.24N,5.26E
1794-07-01,19.662,8.199,Nijmegen,Netherlands,52.24N,5.26E
1794-08-01,16.28,3.4989999999999997,Nijmegen,Netherlands,52.24N,5.26E
1794-09-01,12.992,3.093,Nijmegen,Netherlands,52.24N,5.26E
1794-10-01,9.163,3.449,Nijmegen,Netherlands,52.24N,5.26E
1794-11-01,5.74,3.405,Nijmegen,Netherlands,52.24N,5.26E
1794-12-01,-0.15399999999999991,3.1,Nijmegen,Netherlands,52.24N,5.26E
1795-01-01,-5.162000000000001,6.898,Nijmegen,Netherlands,52.24N,5.26E
1795-02-01,0.4819999999999998,9.465,Nijmegen,Netherlands,52.24N,5.26E
1795-03-01,3.1750000000000003,3.095,Nijmegen,Netherlands,52.24N,5.26E
1795-04-01,9.55,2.997,Nijmegen,Netherlands,52.24N,5.26E
1795-05-01,11.084,5.992999999999999,Nijmegen,Netherlands,52.24N,5.26E
1795-06-01,15.713,3.05,Nijmegen,Netherlands,52.24N,5.26E
1795-07-01,15.217999999999998,4.492,Nijmegen,Netherlands,52.24N,5.26E
1795-08-01,17.146,3.0810000000000004,Nijmegen,Netherlands,52.24N,5.26E
1795-09-01,16.053,4.873,Nijmegen,Netherlands,52.24N,5.26E
1795-10-01,12.505999999999998,4.275,Nijmegen,Netherlands,52.24N,5.26E
1795-11-01,4.824,3.012,Nijmegen,Netherlands,52.24N,5.26E
1795-12-01,5.524,3.6,Nijmegen,Netherlands,52.24N,5.26E
1796-01-01,6.442,4.067,Nijmegen,Netherlands,52.24N,5.26E
1796-02-01,3.87,1.3869999999999998,Nijmegen,Netherlands,52.24N,5.26E
1796-03-01,2.8489999999999998,3.648,Nijmegen,Netherlands,52.24N,5.26E
1796-04-01,9.072,1.5519999999999998,Nijmegen,Netherlands,52.24N,5.26E
1796-05-01,11.857,1.2930000000000001,Nijmegen,Netherlands,52.24N,5.26E
1796-06-01,15.093,4.777,Nijmegen,Netherlands,52.24N,5.26E
1796-07-01,16.471999999999998,3.452,Nijmegen,Netherlands,52.24N,5.26E
1796-08-01,17.296000000000006,5.376,Nijmegen,Netherlands,52.24N,5.26E
1796-09-01,15.344000000000001,5.421,Nijmegen,Netherlands,52.24N,5.26E
1796-10-01,8.581999999999999,1.456,Nijmegen,Netherlands,52.24N,5.26E
1796-11-01,4.1869999999999985,3.863,Nijmegen,Netherlands,52.24N,5.26E
1796-12-01,-0.8909999999999999,6.12,Nijmegen,Netherlands,52.24N,5.26E
1797-01-01,1.784,9.042,Nijmegen,Netherlands,52.24N,5.26E
1797-02-01,3.029,3.0460000000000003,Nijmegen,Netherlands,52.24N,5.26E
1797-03-01,4.0840000000000005,2.452,Nijmegen,Netherlands,52.24N,5.26E
1797-04-01,9.054,4.271,Nijmegen,Netherlands,52.24N,5.26E
1797-05-01,13.414,3.2319999999999998,Nijmegen,Netherlands,52.24N,5.26E
1797-06-01,14.216,2.526,Nijmegen,Netherlands,52.24N,5.26E
1797-07-01,19.014,2.758,Nijmegen,Netherlands,52.24N,5.26E
1797-08-01,17.299,3.373,Nijmegen,Netherlands,52.24N,5.26E
1797-09-01,13.977,5.202000000000001,Nijmegen,Netherlands,52.24N,5.26E
1797-10-01,8.888,2.963,Nijmegen,Netherlands,52.24N,5.26E
1797-11-01,5.386,3.737,Nijmegen,Netherlands,52.24N,5.26E
1797-12-01,4.097,4.244,Nijmegen,Netherlands,52.24N,5.26E
1798-01-01,2.0180000000000002,1.9369999999999998,Nijmegen,Netherlands,52.24N,5.26E
1798-02-01,3.827,2.639,Nijmegen,Netherlands,52.24N,5.26E
1798-03-01,4.449,2.2230000000000003,Nijmegen,Netherlands,52.24N,5.26E
1798-04-01,9.941,1.28,Nijmegen,Netherlands,52.24N,5.26E
1798-05-01,13.4,5.586,Nijmegen,Netherlands,52.24N,5.26E
1798-06-01,16.959,2.972,Nijmegen,Netherlands,52.24N,5.26E
1798-07-01,17.363999999999994,3.3169999999999997,Nijmegen,Netherlands,52.24N,5.26E
1798-08-01,17.582,6.846,Nijmegen,Netherlands,52.24N,5.26E
1798-09-01,14.555,4.133,Nijmegen,Netherlands,52.24N,5.26E
1798-10-01,10.078,3.375,Nijmegen,Netherlands,52.24N,5.26E
1798-11-01,4.496,3.6439999999999997,Nijmegen,Netherlands,52.24N,5.26E
1798-12-01,-1.7220000000000004,3.2260000000000004,Nijmegen,Netherlands,52.24N,5.26E
1799-01-01,-2.293,3.029,Nijmegen,Netherlands,52.24N,5.26E
1799-02-01,-0.016000000000000014,3.1660000000000004,Nijmegen,Netherlands,52.24N,5.26E
1799-03-01,2.3209999999999997,3.753,Nijmegen,Netherlands,52.24N,5.26E
1799-04-01,5.436,5.147,Nijmegen,Netherlands,52.24N,5.26E
1799-05-01,10.548,1.899,Nijmegen,Netherlands,52.24N,5.26E
1799-06-01,14.024000000000001,4.3839999999999995,Nijmegen,Netherlands,52.24N,5.26E
1799-07-01,15.887999999999998,3.495,Nijmegen,Netherlands,52.24N,5.26E
1799-08-01,15.883,1.6019999999999999,Nijmegen,Netherlands,52.24N,5.26E
1799-09-01,13.415,3.594,Nijmegen,Netherlands,52.24N,5.26E
1799-10-01,8.684999999999999,2.637,Nijmegen,Netherlands,52.24N,5.26E
1799-11-01,5.5619999999999985,2.588,Nijmegen,Netherlands,52.24N,5.26E
1799-12-01,-2.2750000000000004,1.9409999999999998,Nijmegen,Netherlands,52.24N,5.26E
1800-01-01,0.2849999999999999,2.806,Nijmegen,Netherlands,52.24N,5.26E
1800-02-01,-0.06400000000000006,5.101,Nijmegen,Netherlands,52.24N,5.26E
1800-03-01,1.6,4.67,Nijmegen,Netherlands,52.24N,5.26E
1800-04-01,10.912,2.08,Nijmegen,Netherlands,52.24N,5.26E
1800-05-01,14.61,1.5830000000000002,Nijmegen,Netherlands,52.24N,5.26E
1800-06-01,13.145,1.597,Nijmegen,Netherlands,52.24N,5.26E
1800-07-01,16.45,1.808,Nijmegen,Netherlands,52.24N,5.26E
1800-08-01,17.635,3.4960000000000004,Nijmegen,Netherlands,52.24N,5.26E
1800-09-01,14.792,3.2030000000000003,Nijmegen,Netherlands,52.24N,5.26E
1800-10-01,9.261000000000001,3.037,Nijmegen,Netherlands,52.24N,5.26E
1800-11-01,6.142,3.2489999999999997,Nijmegen,Netherlands,52.24N,5.26E
1800-12-01,1.7990000000000002,2.93,Nijmegen,Netherlands,52.24N,5.26E
1801-01-01,2.6210000000000004,1.8969999999999998,Nijmegen,Netherlands,52.24N,5.26E
1801-02-01,1.682,1.101,Nijmegen,Netherlands,52.24N,5.26E
1801-03-01,6.013999999999999,1.547,Nijmegen,Netherlands,52.24N,5.26E
1801-04-01,8.311,1.936,Nijmegen,Netherlands,52.24N,5.26E
1801-05-01,13.652,2.529,Nijmegen,Netherlands,52.24N,5.26E
1801-06-01,14.041,2.456,Nijmegen,Netherlands,52.24N,5.26E
1801-07-01,16.141,4.06,Nijmegen,Netherlands,52.24N,5.26E
1801-08-01,17.066000000000006,2.296,Nijmegen,Netherlands,52.24N,5.26E
1801-09-01,15.037,1.996,Nijmegen,Netherlands,52.24N,5.26E
1801-10-01,10.637,1.859,Nijmegen,Netherlands,52.24N,5.26E
1801-11-01,5.097,1.6119999999999999,Nijmegen,Netherlands,52.24N,5.26E
1801-12-01,2.048,5.269,Nijmegen,Netherlands,52.24N,5.26E
1802-01-01,-1.281,1.919,Nijmegen,Netherlands,52.24N,5.26E
1802-02-01,2.286,2.049,Nijmegen,Netherlands,52.24N,5.26E
1802-03-01,4.79,2.7889999999999997,Nijmegen,Netherlands,52.24N,5.26E
1802-04-01,8.832,2.609,Nijmegen,Netherlands,52.24N,5.26E
1802-05-01,11.398,2.589,Nijmegen,Netherlands,52.24N,5.26E
1802-06-01,15.015999999999998,2.269,Nijmegen,Netherlands,52.24N,5.26E
1802-07-01,14.82,2.142,Nijmegen,Netherlands,52.24N,5.26E
1802-08-01,18.159,2.419,Nijmegen,Netherlands,52.24N,5.26E
1802-09-01,14.138,3.8280000000000003,Nijmegen,Netherlands,52.24N,5.26E
1802-10-01,10.632,4.683,Nijmegen,Netherlands,52.24N,5.26E
1802-11-01,4.835,3.08,Nijmegen,Netherlands,52.24N,5.26E
1802-12-01,2.752,2.487,Nijmegen,Netherlands,52.24N,5.26E
1803-01-01,-3.0469999999999997,5.189,Nijmegen,Netherlands,52.24N,5.26E
1803-02-01,-0.6020000000000003,4.373,Nijmegen,Netherlands,52.24N,5.26E
1803-03-01,3.86,3.431,Nijmegen,Netherlands,52.24N,5.26E
1803-04-01,9.87,2.95,Nijmegen,Netherlands,52.24N,5.26E
1803-05-01,10.261,2.063,Nijmegen,Netherlands,52.24N,5.26E
1803-06-01,14.089,1.911,Nijmegen,Netherlands,52.24N,5.26E
1803-07-01,18.416,2.155,Nijmegen,Netherlands,52.24N,5.26E
1803-08-01,17.122,3.178,Nijmegen,Netherlands,52.24N,5.26E
1803-09-01,11.781,1.442,Nijmegen,Netherlands,52.24N,5.26E
1803-10-01,8.584,3.4160000000000004,Nijmegen,Netherlands,52.24N,5.26E
1803-11-01,4.590999999999998,3.133,Nijmegen,Netherlands,52.24N,5.26E
1803-12-01,2.18,3.847,Nijmegen,Netherlands,52.24N,5.26E
1804-01-01,3.897,5.973,Nijmegen,Netherlands,52.24N,5.26E
1804-02-01,1.1209999999999998,2.8739999999999997,Nijmegen,Netherlands,52.24N,5.26E
1804-03-01,2.617,4.7410000000000005,Nijmegen,Netherlands,52.24N,5.26E
1804-04-01,6.527,2.595,Nijmegen,Netherlands,52.24N,5.26E
1804-05-01,13.725,1.671,Nijmegen,Netherlands,52.24N,5.26E
1804-06-01,15.571,1.442,Nijmegen,Netherlands,52.24N,5.26E
1804-07-01,16.517,3.685,Nijmegen,Netherlands,52.24N,5.26E
1804-08-01,16.109,2.478,Nijmegen,Netherlands,52.24N,5.26E
1804-09-01,15.285,5.1579999999999995,Nijmegen,Netherlands,52.24N,5.26E
1804-10-01,9.69,2.947,Nijmegen,Netherlands,52.24N,5.26E
1804-11-01,3.6060000000000003,5.649,Nijmegen,Netherlands,52.24N,5.26E
1804-12-01,-1.5530000000000002,5.105,Nijmegen,Netherlands,52.24N,5.26E
1805-01-01,-1.921,2.698,Nijmegen,Netherlands,52.24N,5.26E
1805-02-01,0.9159999999999996,3.069,Nijmegen,Netherlands,52.24N,5.26E
1805-03-01,3.949,2.191,Nijmegen,Netherlands,52.24N,5.26E
1805-04-01,6.814,4.083,Nijmegen,Netherlands,52.24N,5.26E
1805-05-01,10.123,1.463,Nijmegen,Netherlands,52.24N,5.26E
1805-06-01,13.047999999999998,3.134,Nijmegen,Netherlands,52.24N,5.26E
1805-07-01,15.291,3.037,Nijmegen,Netherlands,52.24N,5.26E
1805-08-01,15.749,2.715,Nijmegen,Netherlands,52.24N,5.26E
1805-09-01,14.647,3.659,Nijmegen,Netherlands,52.24N,5.26E
1805-10-01,6.300999999999998,2.7110000000000003,Nijmegen,Netherlands,52.24N,5.26E
1805-11-01,2.385,3.46,Nijmegen,Netherlands,52.24N,5.26E
1805-12-01,2.342,1.633,Nijmegen,Netherlands,52.24N,5.26E
1806-01-01,3.228,2.3369999999999997,Nijmegen,Netherlands,52.24N,5.26E
1806-02-01,3.628,4.1819999999999995,Nijmegen,Netherlands,52.24N,5.26E
1806-03-01,4.048,2.8489999999999998,Nijmegen,Netherlands,52.24N,5.26E
1806-04-01,5.631,4.23,Nijmegen,Netherlands,52.24N,5.26E
1806-05-01,14.214,2.312,Nijmegen,Netherlands,52.24N,5.26E
1806-06-01,14.407,2.1319999999999997,Nijmegen,Netherlands,52.24N,5.26E
1806-07-01,16.070999999999998,1.766,Nijmegen,Netherlands,52.24N,5.26E
1806-08-01,16.544,2.406,Nijmegen,Netherlands,52.24N,5.26E
1806-09-01,14.565,3.035,Nijmegen,Netherlands,52.24N,5.26E
1806-10-01,9.007,1.262,Nijmegen,Netherlands,52.24N,5.26E
1806-11-01,7.011,1.767,Nijmegen,Netherlands,52.24N,5.26E
1806-12-01,6.408,3.052,Nijmegen,Netherlands,52.24N,5.26E
1807-01-01,1.755,2.822,Nijmegen,Netherlands,52.24N,5.26E
1807-02-01,3.139,5.443,Nijmegen,Netherlands,52.24N,5.26E
1807-03-01,1.7030000000000003,5.317,Nijmegen,Netherlands,52.24N,5.26E
1807-04-01,7.002000000000002,2.506,Nijmegen,Netherlands,52.24N,5.26E
1807-05-01,13.157,1.795,Nijmegen,Netherlands,52.24N,5.26E
1807-06-01,14.683,1.5919999999999999,Nijmegen,Netherlands,52.24N,5.26E
1807-07-01,18.565,3.835,Nijmegen,Netherlands,52.24N,5.26E
1807-08-01,19.454,3.1839999999999997,Nijmegen,Netherlands,52.24N,5.26E
1807-09-01,11.661,1.276,Nijmegen,Netherlands,52.24N,5.26E
1807-10-01,10.415,1.595,Nijmegen,Netherlands,52.24N,5.26E
1807-11-01,4.394,2.98,Nijmegen,Netherlands,52.24N,5.26E
1807-12-01,2.236,1.805,Nijmegen,Netherlands,52.24N,5.26E
1808-01-01,1.125,3.1889999999999996,Nijmegen,Netherlands,52.24N,5.26E
1808-02-01,1.2619999999999998,2.452,Nijmegen,Netherlands,52.24N,5.26E
1808-03-01,1.2270000000000003,6.186,Nijmegen,Netherlands,52.24N,5.26E
1808-04-01,5.380000000000001,1.676,Nijmegen,Netherlands,52.24N,5.26E
1808-05-01,14.77,4.6739999999999995,Nijmegen,Netherlands,52.24N,5.26E
1808-06-01,14.861,1.4980000000000002,Nijmegen,Netherlands,52.24N,5.26E
1808-07-01,19.165,1.7309999999999999,Nijmegen,Netherlands,52.24N,5.26E
1808-08-01,18.139000000000006,2.253,Nijmegen,Netherlands,52.24N,5.26E
1808-09-01,13.872,4.3469999999999995,Nijmegen,Netherlands,52.24N,5.26E
1808-10-01,7.754,1.976,Nijmegen,Netherlands,52.24N,5.26E
1808-11-01,4.402,2.843,Nijmegen,Netherlands,52.24N,5.26E
1808-12-01,-0.987,1.999,Nijmegen,Netherlands,52.24N,5.26E
1809-01-01,-1.148,5.072,Nijmegen,Netherlands,52.24N,5.26E
1809-02-01,4.8889999999999985,3.657,Nijmegen,Netherlands,52.24N,5.26E
1809-03-01,4.553,3.8110000000000004,Nijmegen,Netherlands,52.24N,5.26E
1809-04-01,4.9590000000000005,5.656000000000001,Nijmegen,Netherlands,52.24N,5.26E
1809-05-01,14.015999999999998,3.176,Nijmegen,Netherlands,52.24N,5.26E
1809-06-01,14.435,1.8519999999999999,Nijmegen,Netherlands,52.24N,5.26E
1809-07-01,16.174,1.78,Nijmegen,Netherlands,52.24N,5.26E
1809-08-01,16.532,1.375,Nijmegen,Netherlands,52.24N,5.26E
1809-09-01,13.504000000000001,2.93,Nijmegen,Netherlands,52.24N,5.26E
1809-10-01,8.318999999999999,6.1739999999999995,Nijmegen,Netherlands,52.24N,5.26E
1809-11-01,3.88,3.839,Nijmegen,Netherlands,52.24N,5.26E
1809-12-01,3.596,4.981,Nijmegen,Netherlands,52.24N,5.26E
1810-01-01,-1.1880000000000002,6.892,Nijmegen,Netherlands,52.24N,5.26E
1810-02-01,0.7169999999999999,5.499,Nijmegen,Netherlands,52.24N,5.26E
1810-03-01,4.4110000000000005,2.7310000000000003,Nijmegen,Netherlands,52.24N,5.26E
1810-04-01,7.617000000000001,4.565,Nijmegen,Netherlands,52.24N,5.26E
1810-05-01,10.261,3.4160000000000004,Nijmegen,Netherlands,52.24N,5.26E
1810-06-01,14.162,4.156000000000001,Nijmegen,Netherlands,52.24N,5.26E
1810-07-01,16.183,4.071000000000001,Nijmegen,Netherlands,52.24N,5.26E
1810-08-01,16.298000000000002,2.9539999999999997,Nijmegen,Netherlands,52.24N,5.26E
1810-09-01,15.472000000000001,1.7990000000000002,Nijmegen,Netherlands,52.24N,5.26E
1810-10-01,8.872,5.627999999999999,Nijmegen,Netherlands,52.24N,5.26E
1810-11-01,5.428999999999999,3.365,Nijmegen,Netherlands,52.24N,5.26E
1810-12-01,3.46,4.169,Nijmegen,Netherlands,52.24N,5.26E
1811-01-01,-2.15,3.7430000000000003,Nijmegen,Netherlands,52.24N,5.26E
1811-02-01,3.219,5.462000000000001,Nijmegen,Netherlands,52.24N,5.26E
1811-03-01,6.662000000000001,3.0589999999999997,Nijmegen,Netherlands,52.24N,5.26E
1811-04-01,9.308,1.276,Nijmegen,Netherlands,52.24N,5.26E
1811-05-01,15.482999999999999,3.758,Nijmegen,Netherlands,52.24N,5.26E
1811-06-01,17.298,3.9339999999999997,Nijmegen,Netherlands,52.24N,5.26E
1811-07-01,17.953,3.2060000000000004,Nijmegen,Netherlands,52.24N,5.26E
1811-08-01,16.429000000000002,5.119,Nijmegen,Netherlands,52.24N,5.26E
1811-09-01,13.977,3.364,Nijmegen,Netherlands,52.24N,5.26E
1811-10-01,12.262,5.825,Nijmegen,Netherlands,52.24N,5.26E
1811-11-01,7.0760000000000005,6.224,Nijmegen,Netherlands,52.24N,5.26E
1811-12-01,3.35,3.2939999999999996,Nijmegen,Netherlands,52.24N,5.26E
1812-01-01,0.544,3.471,Nijmegen,Netherlands,52.24N,5.26E
1812-02-01,3.867,1.085,Nijmegen,Netherlands,52.24N,5.26E
1812-03-01,3.2060000000000004,3.484,Nijmegen,Netherlands,52.24N,5.26E
1812-04-01,5.071000000000001,3.24,Nijmegen,Netherlands,52.24N,5.26E
1812-05-01,12.963,3.0610000000000004,Nijmegen,Netherlands,52.24N,5.26E
1812-06-01,14.851,1.435,Nijmegen,Netherlands,52.24N,5.26E
1812-07-01,15.354000000000001,2.123,Nijmegen,Netherlands,52.24N,5.26E
1812-08-01,15.787,5.822,Nijmegen,Netherlands,52.24N,5.26E
1812-09-01,13.43,1.112,Nijmegen,Netherlands,52.24N,5.26E
1812-10-01,10.314,4.247,Nijmegen,Netherlands,52.24N,5.26E
1812-11-01,2.983,3.9530000000000003,Nijmegen,Netherlands,52.24N,5.26E
1812-12-01,-2.3440000000000003,4.596,Nijmegen,Netherlands,52.24N,5.26E
1813-01-01,-0.2290000000000001,5.426,Nijmegen,Netherlands,52.24N,5.26E
1813-02-01,4.571000000000001,2.029,Nijmegen,Netherlands,52.24N,5.26E
1813-03-01,4.8980000000000015,9.2,Nijmegen,Netherlands,52.24N,5.26E
1813-04-01,8.654,1.2919999999999998,Nijmegen,Netherlands,52.24N,5.26E
1813-05-01,13.263,7.117000000000001,Nijmegen,Netherlands,52.24N,5.26E
1813-06-01,14.906,3.556,Nijmegen,Netherlands,52.24N,5.26E
1813-07-01,16.750999999999998,2.294,Nijmegen,Netherlands,52.24N,5.26E
1813-08-01,15.765,1.33,Nijmegen,Netherlands,52.24N,5.26E
1813-09-01,13.295,2.3209999999999997,Nijmegen,Netherlands,52.24N,5.26E
1813-10-01,8.167,1.5630000000000002,Nijmegen,Netherlands,52.24N,5.26E
1813-11-01,4.428999999999999,2.4290000000000003,Nijmegen,Netherlands,52.24N,5.26E
1813-12-01,1.5459999999999998,2.352,Nijmegen,Netherlands,52.24N,5.26E
1814-01-01,-3.1630000000000003,4.031000000000001,Nijmegen,Netherlands,52.24N,5.26E
1814-02-01,-2.3260000000000005,1.905,Nijmegen,Netherlands,52.24N,5.26E
1814-03-01,1.46,3.025,Nijmegen,Netherlands,52.24N,5.26E
1814-04-01,9.734,1.412,Nijmegen,Netherlands,52.24N,5.26E
1814-05-01,10.368,1.8880000000000001,Nijmegen,Netherlands,52.24N,5.26E
1814-06-01,13.616,1.953,Nijmegen,Netherlands,52.24N,5.26E
1814-07-01,17.843,3.6439999999999997,Nijmegen,Netherlands,52.24N,5.26E
1814-08-01,16.087,1.702,Nijmegen,Netherlands,52.24N,5.26E
1814-09-01,13.136,2.013,Nijmegen,Netherlands,52.24N,5.26E
1814-10-01,7.949,4.962,Nijmegen,Netherlands,52.24N,5.26E
1814-11-01,5.183,7.436,Nijmegen,Netherlands,52.24N,5.26E
1814-12-01,3.179,8.531,Nijmegen,Netherlands,52.24N,5.26E
1815-01-01,-2.123,2.27,Nijmegen,Netherlands,52.24N,5.26E
1815-02-01,4.137,7.025,Nijmegen,Netherlands,52.24N,5.26E
1815-03-01,6.9060000000000015,5.2139999999999995,Nijmegen,Netherlands,52.24N,5.26E
1815-04-01,8.683,2.456,Nijmegen,Netherlands,52.24N,5.26E
1815-05-01,13.22,3.6460000000000004,Nijmegen,Netherlands,52.24N,5.26E
1815-06-01,15.393999999999998,3.2760000000000002,Nijmegen,Netherlands,52.24N,5.26E
1815-07-01,15.323999999999998,3.2039999999999997,Nijmegen,Netherlands,52.24N,5.26E
1815-08-01,15.966,2.602,Nijmegen,Netherlands,52.24N,5.26E
1815-09-01,13.443,1.38,Nijmegen,Netherlands,52.24N,5.26E
1815-10-01,9.719,4.329,Nijmegen,Netherlands,52.24N,5.26E
1815-11-01,3.699,2.9010000000000002,Nijmegen,Netherlands,52.24N,5.26E
1815-12-01,0.5789999999999997,2.907,Nijmegen,Netherlands,52.24N,5.26E
1816-01-01,1.479,4.835,Nijmegen,Netherlands,52.24N,5.26E
1816-02-01,0.4659999999999998,2.551,Nijmegen,Netherlands,52.24N,5.26E
1816-03-01,3.495,2.968,Nijmegen,Netherlands,52.24N,5.26E
1816-04-01,7.7970000000000015,5.251,Nijmegen,Netherlands,52.24N,5.26E
1816-05-01,10.552999999999999,2.447,Nijmegen,Netherlands,52.24N,5.26E
1816-06-01,13.273,2.2840000000000003,Nijmegen,Netherlands,52.24N,5.26E
1816-07-01,15.319,2.528,Nijmegen,Netherlands,52.24N,5.26E
1816-08-01,14.469,0.8190000000000001,Nijmegen,Netherlands,52.24N,5.26E
1816-09-01,12.657,1.3219999999999998,Nijmegen,Netherlands,52.24N,5.26E
1816-10-01,9.149,7.582000000000001,Nijmegen,Netherlands,52.24N,5.26E
1816-11-01,2.777,8.286,Nijmegen,Netherlands,52.24N,5.26E
1816-12-01,1.9180000000000001,2.208,Nijmegen,Netherlands,52.24N,5.26E
1817-01-01,3.658,5.67,Nijmegen,Netherlands,52.24N,5.26E
1817-02-01,5.112,3.3819999999999997,Nijmegen,Netherlands,52.24N,5.26E
1817-03-01,4.405,3.3710000000000004,Nijmegen,Netherlands,52.24N,5.26E
1817-04-01,5.5089999999999995,2.5869999999999997,Nijmegen,Netherlands,52.24N,5.26E
1817-05-01,11.17,2.9760000000000004,Nijmegen,Netherlands,52.24N,5.26E
1817-06-01,16.548,1.922,Nijmegen,Netherlands,52.24N,5.26E
1817-07-01,15.802,1.402,Nijmegen,Netherlands,52.24N,5.26E
1817-08-01,15.29,2.472,Nijmegen,Netherlands,52.24N,5.26E
1817-09-01,15.145,3.1689999999999996,Nijmegen,Netherlands,52.24N,5.26E
1817-10-01,6.097999999999999,3.802,Nijmegen,Netherlands,52.24N,5.26E
1817-11-01,7.443,2.681,Nijmegen,Netherlands,52.24N,5.26E
1817-12-01,1.09,3.063,Nijmegen,Netherlands,52.24N,5.26E
1818-01-01,3.089,4.215,Nijmegen,Netherlands,52.24N,5.26E
1818-02-01,1.923,1.855,Nijmegen,Netherlands,52.24N,5.26E
1818-03-01,4.745,2.523,Nijmegen,Netherlands,52.24N,5.26E
1818-04-01,8.331,7.15,Nijmegen,Netherlands,52.24N,5.26E
1818-05-01,12.212000000000002,4.239,Nijmegen,Netherlands,52.24N,5.26E
1818-06-01,17.396,5.483,Nijmegen,Netherlands,52.24N,5.26E
1818-07-01,18.639,3.944,Nijmegen,Netherlands,52.24N,5.26E
1818-08-01,16.243000000000002,1.7630000000000001,Nijmegen,Netherlands,52.24N,5.26E
1818-09-01,14.192,2.917,Nijmegen,Netherlands,52.24N,5.26E
1818-10-01,9.449,3.036,Nijmegen,Netherlands,52.24N,5.26E
1818-11-01,6.815,6.1160000000000005,Nijmegen,Netherlands,52.24N,5.26E
1818-12-01,0.6560000000000001,2.25,Nijmegen,Netherlands,52.24N,5.26E
1819-01-01,3.18,3.372,Nijmegen,Netherlands,52.24N,5.26E
1819-02-01,3.39,4.1610000000000005,Nijmegen,Netherlands,52.24N,5.26E
1819-03-01,4.746,7.846,Nijmegen,Netherlands,52.24N,5.26E
1819-04-01,9.215,1.598,Nijmegen,Netherlands,52.24N,5.26E
1819-05-01,13.664,2.42,Nijmegen,Netherlands,52.24N,5.26E
1819-06-01,16.058999999999994,1.7619999999999998,Nijmegen,Netherlands,52.24N,5.26E
1819-07-01,18.483,1.288,Nijmegen,Netherlands,52.24N,5.26E
1819-08-01,18.613,1.7619999999999998,Nijmegen,Netherlands,52.24N,5.26E
1819-09-01,14.822000000000001,1.0979999999999999,Nijmegen,Netherlands,52.24N,5.26E
1819-10-01,8.553999999999998,1.944,Nijmegen,Netherlands,52.24N,5.26E
1819-11-01,3.448,2.483,Nijmegen,Netherlands,52.24N,5.26E
1819-12-01,0.3759999999999999,3.0439999999999996,Nijmegen,Netherlands,52.24N,5.26E
1820-01-01,-2.642,8.286,Nijmegen,Netherlands,52.24N,5.26E
1820-02-01,1.7569999999999997,3.536,Nijmegen,Netherlands,52.24N,5.26E
