4,4.599,Baranagar,India,23.31N,88.25E
1835-05-01,28.601,1.55,Baranagar,India,23.31N,88.25E
1835-06-01,28.419,1.4969999999999999,Baranagar,India,23.31N,88.25E
1835-07-01,27.338,1.24,Baranagar,India,23.31N,88.25E
1835-08-01,27.101,1.2329999999999999,Baranagar,India,23.31N,88.25E
1835-09-01,26.556,0.9009999999999999,Baranagar,India,23.31N,88.25E
1835-10-01,25.284000000000002,1.203,Baranagar,India,23.31N,88.25E
1835-11-01,21.006,1.6030000000000002,Baranagar,India,23.31N,88.25E
1835-12-01,17.486,1.19,Baranagar,India,23.31N,88.25E
1836-01-01,17.619,1.2429999999999999,Baranagar,India,23.31N,88.25E
1836-02-01,20.84,1.5659999999999998,Baranagar,India,23.31N,88.25E
1836-03-01,25.901999999999997,1.335,Baranagar,India,23.31N,88.25E
1836-04-01,29.261,1.6440000000000001,Baranagar,India,23.31N,88.25E
1836-05-01,29.993,1.827,Baranagar,India,23.31N,88.25E
1836-06-01,29.952,1.337,Baranagar,India,23.31N,88.25E
1836-07-01,28.398000000000003,1.255,Baranagar,India,23.31N,88.25E
1836-08-01,28.539,2.804,Baranagar,India,23.31N,88.25E
1836-09-01,28.086,2.359,Baranagar,India,23.31N,88.25E
1836-10-01,26.434,4.28,Baranagar,India,23.31N,88.25E
1836-11-01,22.451,2.426,Baranagar,India,23.31N,88.25E
1836-12-01,19.849,2.69,Baranagar,India,23.31N,88.25E
1837-01-01,18.592,2.035,Baranagar,India,23.31N,88.25E
1837-02-01,21.775,1.7409999999999999,Baranagar,India,23.31N,88.25E
1837-03-01,25.395000000000003,2.119,Baranagar,India,23.31N,88.25E
1837-04-01,28.008000000000003,1.839,Baranagar,India,23.31N,88.25E
1837-05-01,29.179,1.7630000000000001,Baranagar,India,23.31N,88.25E
1837-06-01,28.989,1.797,Baranagar,India,23.31N,88.25E
1837-07-01,28.391,0.99,Baranagar,India,23.31N,88.25E
1837-08-01,28.026,0.805,Baranagar,India,23.31N,88.25E
1837-09-01,28.383000000000003,1.683,Baranagar,India,23.31N,88.25E
1837-10-01,26.252,2.533,Baranagar,India,23.31N,88.25E
1837-11-01,22.787,2.596,Baranagar,India,23.31N,88.25E
1837-12-01,19.989,4.2860000000000005,Baranagar,India,23.31N,88.25E
1838-01-01,15.982999999999999,2.498,Baranagar,India,23.31N,88.25E
1838-02-01,20.36,1.71,Baranagar,India,23.31N,88.25E
1838-03-01,25.429,1.8840000000000001,Baranagar,India,23.31N,88.25E
1838-04-01,30.22,2.628,Baranagar,India,23.31N,88.25E
1838-05-01,29.465,1.5390000000000001,Baranagar,India,23.31N,88.25E
1838-06-01,29.884,1.827,Baranagar,India,23.31N,88.25E
1838-07-01,28.886,3.0610000000000004,Baranagar,India,23.31N,88.25E
1838-08-01,28.396,2.6180000000000003,Baranagar,India,23.31N,88.25E
1838-09-01,28.165,1.0,Baranagar,India,23.31N,88.25E
1838-10-01,26.402,3.137,Baranagar,India,23.31N,88.25E
1838-11-01,23.063000000000002,2.8089999999999997,Baranagar,India,23.31N,88.25E
1838-12-01,18.917,2.041,Baranagar,India,23.31N,88.25E
1839-01-01,18.730999999999998,1.88,Baranagar,India,23.31N,88.25E
1839-02-01,22.295,1.8359999999999999,Baranagar,India,23.31N,88.25E
1839-03-01,24.662000000000006,2.072,Baranagar,India,23.31N,88.25E
1839-04-01,29.341,1.8319999999999999,Baranagar,India,23.31N,88.25E
1839-05-01,29.863000000000003,1.485,Baranagar,India,23.31N,88.25E
1839-06-01,29.25,1.4680000000000002,Baranagar,India,23.31N,88.25E
1839-07-01,29.029,2.204,Baranagar,India,23.31N,88.25E
1839-08-01,28.637,1.5390000000000001,Baranagar,India,23.31N,88.25E
1839-09-01,27.561,1.296,Baranagar,India,23.31N,88.25E
1839-10-01,26.471,1.87,Baranagar,India,23.31N,88.25E
1839-11-01,21.646,1.88,Baranagar,India,23.31N,88.25E
1839-12-01,17.998,2.127,Baranagar,India,23.31N,88.25E
1840-01-01,19.509,2.285,Baranagar,India,23.31N,88.25E
1840-02-01,22.598000000000003,3.3560000000000003,Baranagar,India,23.31N,88.25E
1840-03-01,26.909,3.4189999999999996,Baranagar,India,23.31N,88.25E
1840-04-01,29.508000000000003,1.594,Baranagar,India,23.31N,88.25E
1840-05-01,29.543000000000003,2.804,Baranagar,India,23.31N,88.25E
1840-06-01,28.808000000000003,2.87,Baranagar,India,23.31N,88.25E
1840-07-01,29.421,0.779,Baranagar,India,23.31N,88.25E
1840-08-01,27.921,1.409,Baranagar,India,23.31N,88.25E
1840-09-01,27.702,0.845,Baranagar,India,23.31N,88.25E
1840-10-01,26.007,1.709,Baranagar,India,23.31N,88.25E
1840-11-01,22.949,4.245,Baranagar,India,23.31N,88.25E
1840-12-01,19.261000000000006,0.873,Baranagar,India,23.31N,88.25E
1841-01-01,19.423,4.135,Baranagar,India,23.31N,88.25E
1841-02-01,21.473000000000003,1.446,Baranagar,India,23.31N,88.25E
1841-03-01,25.954,3.6510000000000002,Baranagar,India,23.31N,88.25E
1841-04-01,28.959,2.1959999999999997,Baranagar,India,23.31N,88.25E
1841-05-01,29.905,1.057,Baranagar,India,23.31N,88.25E
1841-06-01,30.076,1.686,Baranagar,India,23.31N,88.25E
1841-07-01,28.985,1.386,Baranagar,India,23.31N,88.25E
1841-08-01,28.59,0.9640000000000001,Baranagar,India,23.31N,88.25E
1841-09-01,28.361,1.082,Baranagar,India,23.31N,88.25E
1841-10-01,26.126,1.308,Baranagar,India,23.31N,88.25E
1841-11-01,23.497,2.07,Baranagar,India,23.31N,88.25E
1841-12-01,19.359,2.083,Baranagar,India,23.31N,88.25E
1842-01-01,18.392000000000003,1.635,Baranagar,India,23.31N,88.25E
1842-02-01,21.644000000000002,1.6869999999999998,Baranagar,India,23.31N,88.25E
1842-03-01,25.929,3.389,Baranagar,India,23.31N,88.25E
1842-04-01,29.269000000000002,1.641,Baranagar,India,23.31N,88.25E
1842-05-01,30.629,1.374,Baranagar,India,23.31N,88.25E
1842-06-01,29.187,1.331,Baranagar,India,23.31N,88.25E
1842-07-01,28.930999999999997,1.798,Baranagar,India,23.31N,88.25E
1842-08-01,27.978,1.334,Baranagar,India,23.31N,88.25E
1842-09-01,27.340999999999998,1.193,Baranagar,India,23.31N,88.25E
1842-10-01,25.492,1.594,Baranagar,India,23.31N,88.25E
1842-11-01,22.451999999999998,1.272,Baranagar,India,23.31N,88.25E
1842-12-01,19.665000000000006,0.988,Baranagar,India,23.31N,88.25E
1843-01-01,18.905,1.412,Baranagar,India,23.31N,88.25E
1843-02-01,22.366,1.787,Baranagar,India,23.31N,88.25E
1843-03-01,25.963,1.511,Baranagar,India,23.31N,88.25E
1843-04-01,28.603,1.972,Baranagar,India,23.31N,88.25E
1843-05-01,29.529,1.203,Baranagar,India,23.31N,88.25E
1843-06-01,29.482,0.69,Baranagar,India,23.31N,88.25E
1843-07-01,29.345,1.262,Baranagar,India,23.31N,88.25E
1843-08-01,28.513,0.981,Baranagar,India,23.31N,88.25E
1843-09-01,28.019000000000002,0.8320000000000001,Baranagar,India,23.31N,88.25E
1843-10-01,26.17,0.861,Baranagar,India,23.31N,88.25E
1843-11-01,22.144000000000002,0.779,Baranagar,India,23.31N,88.25E
1843-12-01,18.339,3.6,Baranagar,India,23.31N,88.25E
1844-01-01,17.936,0.998,Baranagar,India,23.31N,88.25E
1844-02-01,20.53,0.9470000000000001,Baranagar,India,23.31N,88.25E
1844-03-01,26.386999999999997,1.44,Baranagar,India,23.31N,88.25E
1844-04-01,29.075,1.071,Baranagar,India,23.31N,88.25E
1844-05-01,28.998,1.3359999999999999,Baranagar,India,23.31N,88.25E
1844-06-01,29.014,0.982,Baranagar,India,23.31N,88.25E
1844-07-01,28.18,1.061,Baranagar,India,23.31N,88.25E
1844-08-01,27.808000000000003,2.6319999999999997,Baranagar,India,23.31N,88.25E
1844-09-01,27.58,0.961,Baranagar,India,23.31N,88.25E
1844-10-01,25.438000000000002,1.1840000000000002,Baranagar,India,23.31N,88.25E
1844-11-01,22.828000000000003,1.696,Baranagar,India,23.31N,88.25E
1844-12-01,18.768,1.492,Baranagar,India,23.31N,88.25E
1845-01-01,18.261000000000006,1.4369999999999998,Baranagar,India,23.31N,88.25E
1845-02-01,20.816999999999997,1.921,Baranagar,India,23.31N,88.25E
1845-03-01,26.611,1.41,Baranagar,India,23.31N,88.25E
1845-04-01,28.307,2.9389999999999996,Baranagar,India,23.31N,88.25E
1845-05-01,30.174,0.755,Baranagar,India,23.31N,88.25E
1845-06-01,29.32,0.956,Baranagar,India,23.31N,88.25E
1845-07-01,28.831999999999997,0.619,Baranagar,India,23.31N,88.25E
1845-08-01,28.242,0.8240000000000001,Baranagar,India,23.31N,88.25E
1845-09-01,28.27,1.178,Baranagar,India,23.31N,88.25E
1845-10-01,25.706,0.838,Baranagar,India,23.31N,88.25E
1845-11-01,22.401,0.8490000000000001,Baranagar,India,23.31N,88.25E
1845-12-01,18.265,1.825,Baranagar,India,23.31N,88.25E
1846-01-01,19.382,1.665,Baranagar,India,23.31N,88.25E
1846-02-01,21.085,1.247,Baranagar,India,23.31N,88.25E
1846-03-01,26.82,2.252,Baranagar,India,23.31N,88.25E
1846-04-01,29.423000000000002,2.008,Baranagar,India,23.31N,88.25E
1846-05-01,30.006,1.0590000000000002,Baranagar,India,23.31N,88.25E
1846-06-01,28.833000000000002,3.034,Baranagar,India,23.31N,88.25E
1846-07-01,29.045,2.075,Baranagar,India,23.31N,88.25E
1846-08-01,28.584,1.383,Baranagar,India,23.31N,88.25E
1846-09-01,27.491,2.156,Baranagar,India,23.31N,88.25E
1846-10-01,25.267,1.4680000000000002,Baranagar,India,23.31N,88.25E
1846-11-01,22.854,1.723,Baranagar,India,23.31N,88.25E
1846-12-01,18.249,2.421,Baranagar,India,23.31N,88.25E
1847-01-01,18.459000000000003,3.542,Baranagar,India,23.31N,88.25E
1847-02-01,20.412,3.341,Baranagar,India,23.31N,88.25E
1847-03-01,26.236,1.405,Baranagar,India,23.31N,88.25E
1847-04-01,29.254,0.986,Baranagar,India,23.31N,88.25E
1847-05-01,29.62,0.885,Baranagar,India,23.31N,88.25E
1847-06-01,29.145,1.1640000000000001,Baranagar,India,23.31N,88.25E
1847-07-01,28.755,1.284,Baranagar,India,23.31N,88.25E
1847-08-01,28.58,0.653,Baranagar,India,23.31N,88.25E
1847-09-01,27.775,0.818,Baranagar,India,23.31N,88.25E
1847-10-01,25.46,1.206,Baranagar,India,23.31N,88.25E
1847-11-01,21.919,2.207,Baranagar,India,23.31N,88.25E
1847-12-01,17.529,0.845,Baranagar,India,23.31N,88.25E
1848-01-01,17.253,1.403,Baranagar,India,23.31N,88.25E
1848-02-01,21.377,1.955,Baranagar,India,23.31N,88.25E
1848-03-01,26.049000000000003,0.919,Baranagar,India,23.31N,88.25E
1848-04-01,28.272,2.265,Baranagar,India,23.31N,88.25E
1848-05-01,29.831,1.135,Baranagar,India,23.31N,88.25E
1848-06-01,29.06,1.672,Baranagar,India,23.31N,88.25E
1848-07-01,29.11,1.209,Baranagar,India,23.31N,88.25E
1848-08-01,28.288,1.166,Baranagar,India,23.31N,88.25E
1848-09-01,27.775,0.96,Baranagar,India,23.31N,88.25E
1848-10-01,25.367,2.3080000000000003,Baranagar,India,23.31N,88.25E
1848-11-01,21.855,1.3769999999999998,Baranagar,India,23.31N,88.25E
1848-12-01,19.114,1.232,Baranagar,India,23.31N,88.25E
1849-01-01,17.096,2.083,Baranagar,India,23.31N,88.25E
1849-02-01,20.219,3.158,Baranagar,India,23.31N,88.25E
1849-03-01,25.901000000000003,2.8169999999999997,Baranagar,India,23.31N,88.25E
1849-04-01,29.661,2.5610000000000004,Baranagar,India,23.31N,88.25E
1849-05-01,29.84,0.877,Baranagar,India,23.31N,88.25E
1849-06-01,29.119,1.369,Baranagar,India,23.31N,88.25E
1849-07-01,28.932,0.659,Baranagar,India,23.31N,88.25E
1849-08-01,28.184,1.307,Baranagar,India,23.31N,88.25E
1849-09-01,28.265,1.683,Baranagar,India,23.31N,88.25E
1849-10-01,25.877,2.165,Baranagar,India,23.31N,88.25E
1849-11-01,22.634,1.476,Baranagar,India,23.31N,88.25E
1849-12-01,17.125999999999998,1.9980000000000002,Baranagar,India,23.31N,88.25E
