03,0.321,Brunswick,Germany,52.24N,10.51E
1946-09-01,14.617,0.276,Brunswick,Germany,52.24N,10.51E
1946-10-01,7.291,0.124,Brunswick,Germany,52.24N,10.51E
1946-11-01,4.658,0.309,Brunswick,Germany,52.24N,10.51E
1946-12-01,-1.9,0.24100000000000002,Brunswick,Germany,52.24N,10.51E
1947-01-01,-4.6000000000000005,0.22699999999999998,Brunswick,Germany,52.24N,10.51E
1947-02-01,-7.723999999999998,0.722,Brunswick,Germany,52.24N,10.51E
1947-03-01,1.858,0.47100000000000003,Brunswick,Germany,52.24N,10.51E
1947-04-01,9.145,0.192,Brunswick,Germany,52.24N,10.51E
1947-05-01,14.468,0.38,Brunswick,Germany,52.24N,10.51E
1947-06-01,17.804000000000006,0.444,Brunswick,Germany,52.24N,10.51E
1947-07-01,18.621,0.518,Brunswick,Germany,52.24N,10.51E
1947-08-01,18.561,0.546,Brunswick,Germany,52.24N,10.51E
1947-09-01,17.293,0.384,Brunswick,Germany,52.24N,10.51E
1947-10-01,8.103000000000002,0.44,Brunswick,Germany,52.24N,10.51E
1947-11-01,5.513999999999999,0.327,Brunswick,Germany,52.24N,10.51E
1947-12-01,2.025,0.39799999999999996,Brunswick,Germany,52.24N,10.51E
1948-01-01,3.008,0.354,Brunswick,Germany,52.24N,10.51E
1948-02-01,0.777,0.22,Brunswick,Germany,52.24N,10.51E
1948-03-01,5.7200000000000015,0.354,Brunswick,Germany,52.24N,10.51E
1948-04-01,10.265999999999998,0.163,Brunswick,Germany,52.24N,10.51E
1948-05-01,13.446,0.258,Brunswick,Germany,52.24N,10.51E
1948-06-01,15.936,0.21,Brunswick,Germany,52.24N,10.51E
1948-07-01,16.68,0.22699999999999998,Brunswick,Germany,52.24N,10.51E
1948-08-01,16.95,0.20800000000000002,Brunswick,Germany,52.24N,10.51E
1948-09-01,14.682,0.20199999999999999,Brunswick,Germany,52.24N,10.51E
1948-10-01,8.972000000000003,0.295,Brunswick,Germany,52.24N,10.51E
