9999999999998,0.318,Ulyanovsk,Russia,53.84N,47.73E
1861-05-01,32.806,1.4280000000000002,Umm Durman,Sudan,15.27N,32.50E
1861-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1861-07-01,30.459000000000003,1.706,Umm Durman,Sudan,15.27N,32.50E
1861-08-01,29.87,1.591,Umm Durman,Sudan,15.27N,32.50E
1861-09-01,,,Umm Durman,Sudan,15.27N,32.50E
1861-10-01,,,Umm Durman,Sudan,15.27N,32.50E
1861-11-01,27.215,1.775,Umm Durman,Sudan,15.27N,32.50E
1861-12-01,22.680999999999997,1.9369999999999998,Umm Durman,Sudan,15.27N,32.50E
1862-01-01,21.006,1.9669999999999999,Umm Durman,Sudan,15.27N,32.50E
1862-02-01,22.840999999999998,2.112,Umm Durman,Sudan,15.27N,32.50E
1862-03-01,26.857,1.8880000000000001,Umm Durman,Sudan,15.27N,32.50E
1862-04-01,30.31,1.5959999999999999,Umm Durman,Sudan,15.27N,32.50E
1862-05-01,,,Umm Durman,Sudan,15.27N,32.50E
1862-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1862-07-01,,,Umm Durman,Sudan,15.27N,32.50E
1862-08-01,,,Umm Durman,Sudan,15.27N,32.50E
1862-09-01,,,Umm Durman,Sudan,15.27N,32.50E
1862-10-01,,,Umm Durman,Sudan,15.27N,32.50E
1862-11-01,,,Umm Durman,Sudan,15.27N,32.50E
1862-12-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-01-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-02-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-03-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-04-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-05-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-07-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-08-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-09-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-10-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-11-01,,,Umm Durman,Sudan,15.27N,32.50E
1863-12-01,,,Umm Durman,Sudan,15.27N,32.50E
1864-01-01,22.073,2.136,Umm Durman,Sudan,15.27N,32.50E
1864-02-01,23.995,2.372,Umm Durman,Sudan,15.27N,32.50E
1864-03-01,26.998,1.926,Umm Durman,Sudan,15.27N,32.50E
1864-04-01,30.626,1.699,Umm Durman,Sudan,15.27N,32.50E
1864-05-01,33.753,1.355,Umm Durman,Sudan,15.27N,32.50E
1864-06-01,33.316,1.3219999999999998,Umm Durman,Sudan,15.27N,32.50E
1864-07-01,31.255000000000006,1.641,Umm Durman,Sudan,15.27N,32.50E
1864-08-01,29.763,1.744,Umm Durman,Sudan,15.27N,32.50E
1864-09-01,30.578000000000003,1.69,Umm Durman,Sudan,15.27N,32.50E
1864-10-01,31.514000000000006,1.499,Umm Durman,Sudan,15.27N,32.50E
1864-11-01,27.999,1.9409999999999998,Umm Durman,Sudan,15.27N,32.50E
1864-12-01,22.503,1.972,Umm Durman,Sudan,15.27N,32.50E
1865-01-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-02-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-03-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-04-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-05-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-07-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-08-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-09-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-10-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-11-01,,,Umm Durman,Sudan,15.27N,32.50E
1865-12-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-01-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-02-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-03-01,,,Umm Durman,Sudan,15.27N,32.50E
