1,0.515,Jind,India,29.74N,75.69E
1991-06-01,34.013000000000005,0.73,Jind,India,29.74N,75.69E
1991-07-01,33.89,0.486,Jind,India,29.74N,75.69E
1991-08-01,30.92,0.418,Jind,India,29.74N,75.69E
1991-09-01,29.999,0.311,Jind,India,29.74N,75.69E
1991-10-01,24.898000000000003,0.335,Jind,India,29.74N,75.69E
1991-11-01,19.192999999999998,0.223,Jind,India,29.74N,75.69E
1991-12-01,14.809000000000001,0.579,Jind,India,29.74N,75.69E
1992-01-01,14.040999999999999,0.24,Jind,India,29.74N,75.69E
1992-02-01,15.409,0.235,Jind,India,29.74N,75.69E
1992-03-01,21.411,0.218,Jind,India,29.74N,75.69E
1992-04-01,27.497,0.396,Jind,India,29.74N,75.69E
1992-05-01,32.044999999999995,0.375,Jind,India,29.74N,75.69E
1992-06-01,34.917,0.222,Jind,India,29.74N,75.69E
1992-07-01,31.434,0.635,Jind,India,29.74N,75.69E
1992-08-01,30.449,0.187,Jind,India,29.74N,75.69E
1992-09-01,29.127,0.35100000000000003,Jind,India,29.74N,75.69E
1992-10-01,25.384,0.295,Jind,India,29.74N,75.69E
1992-11-01,19.687,0.317,Jind,India,29.74N,75.69E
1992-12-01,15.617,0.82,Jind,India,29.74N,75.69E
1993-01-01,13.193,0.34600000000000003,Jind,India,29.74N,75.69E
1993-02-01,18.12,0.307,Jind,India,29.74N,75.69E
1993-03-01,20.212,0.278,Jind,India,29.74N,75.69E
1993-04-01,28.096999999999998,0.21600000000000003,Jind,India,29.74N,75.69E
1993-05-01,34.452,0.418,Jind,India,29.74N,75.69E
1993-06-01,34.673,0.502,Jind,India,29.74N,75.69E
1993-07-01,31.555,0.466,Jind,India,29.74N,75.69E
1993-08-01,32.513000000000005,0.828,Jind,India,29.74N,75.69E
1993-09-01,29.096,0.637,Jind,India,29.74N,75.69E
1993-10-01,25.726,0.5760000000000001,Jind,India,29.74N,75.69E
1993-11-01,20.785,0.759,Jind,India,29.74N,75.69E
1993-12-01,15.11,0.5479999999999999,Jind,India,29.74N,75.69E
1994-01-01,14.300999999999998,0.303,Jind,India,29.74N,75.69E
1994-02-01,16.034000000000002,0.34299999999999997,Jind,India,29.74N,75.69E
1994-03-01,23.633000000000003,0.272,Jind,India,29.74N,75.69E
1994-04-01,27.213,0.5379999999999999,Jind,India,29.74N,75.69E
1994-05-01,33.934,0.28,Jind,India,29.74N,75.69E
1994-06-01,35.51900000000001,0.502,Jind,India,29.74N,75.69E
1994-07-01,31.264,0.703,Jind,India,29.74N,75.69E
1994-08-01,30.459000000000003,0.396,Jind,India,29.74N,75.69E
1994-09-01,29.1,0.251,Jind,India,29.74N,75.69E
1994-10-01,25.217,0.505,Jind,India,29.74N,75.69E
1994-11-01,20.474,0.382,Jind,India,29.74N,75.69E
1994-12-01,15.21,0.36700000000000005,Jind,India,29.74N,75.69E
1995-01-01,12.604,0.271,Jind,India,29.74N,75.69E
1995-02-01,16.387,0.314,Jind,India,29.74N,75.69E
1995-03-01,20.901,0.217,Jind,India,29.74N,75.69E
1995-04-01,27.166,0.23199999999999998,Jind,India,29.74N,75.69E
1995-05-01,34.272,0.314,Jind,India,29.74N,75.69E
1995-06-01,36.412000000000006,0.268,Jind,India,29.74N,75.69E
1995-07-01,32.381,0.3,Jind,India,29.74N,75.69E
1995-08-01,29.801,0.8290000000000001,Jind,India,29.74N,75.69E
1995-09-01,30.033,0.5670000000000001,Jind,India,29.74N,75.69E
1995-10-01,26.684,0.25,Jind,India,29.74N,75.69E
1995-11-01,19.949,0.23399999999999999,Jind,India,29.74N,75.69E
1995-12-01,15.136,0.63,Jind,India,29.74N,75.69E
1996-01-01,13.257,0.379,Jind,India,29.74N,75.69E
1996-02-01,16.848000000000006,0.251,Jind,India,29.74N,75.69E
1996-03-01,22.75,0.337,Jind,India,29.74N,75.69E
1996-04-01,28.664,0.29100000000000004,Jind,India,29.74N,75.69E
1996-05-01,32.672,0.233,Jind,India,29.74N,75.69E
1996-06-01,32.919000000000004,0.528,Jind,India,29.74N,75.69E
1996-07-01,32.285000000000004,0.254,Jind,India,29.74N,75.69E
1996-08-01,30.105,0.226,Jind,India,29.74N,75.69E
1996-09-01,29.518,0.23399999999999999,Jind,India,29.74N,75.69E
1996-10-01,25.321,0.335,Jind,India,29.74N,75.69E
1996-11-01,19.159000000000002,0.172,Jind,India,29.74N,75.69E
1996-12-01,13.976,0.413,Jind,India,29.74N,75.69E
1997-01-01,12.685,0.451,Jind,India,29.74N,75.69E
1997-02-01,16.062,0.242,Jind,India,29.74N,75.69E
1997-03-01,21.591,0.33,Jind,India,29.74N,75.69E
1997-04-01,26.505000000000006,0.374,Jind,India,29.74N,75.69E
1997-05-01,31.072,0.599,Jind,India,29.74N,75.69E
1997-06-01,32.88,0.28600000000000003,Jind,India,29.74N,75.69E
1997-07-01,32.513000000000005,0.43,Jind,India,29.74N,75.69E
1997-08-01,30.360000000000007,0.595,Jind,India,29.74N,75.69E
1997-09-01,30.365,0.342,Jind,India,29.74N,75.69E
1997-10-01,23.054000000000002,0.8,Jind,India,29.74N,75.69E
1997-11-01,18.788,0.539,Jind,India,29.74N,75.69E
1997-12-01,12.498,0.826,Jind,India,29.74N,75.69E
1998-01-01,13.008,0.435,Jind,India,29.74N,75.69E
1998-02-01,16.766000000000002,0.24100000000000002,Jind,India,29.74N,75.69E
1998-03-01,20.502,0.28,Jind,India,29.74N,75.69E
1998-04-01,28.916999999999998,0.332,Jind,India,29.74N,75.69E
1998-05-01,34.709,0.43799999999999994,Jind,India,29.74N,75.69E
1998-06-01,34.633,0.7070000000000001,Jind,India,29.74N,75.69E
1998-07-01,32.230000000000004,0.184,Jind,India,29.74N,75.69E
1998-08-01,31.73,0.517,Jind,India,29.74N,75.69E
1998-09-01,29.9,0.439,Jind,India,29.74N,75.69E
1998-10-01,26.043000000000003,0.327,Jind,India,29.74N,75.69E
1998-11-01,20.165,0.371,Jind,India,29.74N,75.69E
1998-12-01,14.037999999999998,0.532,Jind,India,29.74N,75.69E
1999-01-01,12.739,0.505,Jind,India,29.74N,75.69E
1999-02-01,17.269000000000002,0.28,Jind,India,29.74N,75.69E
1999-03-01,22.996,0.29100000000000004,Jind,India,29.74N,75.69E
1999-04-01,30.644,0.33799999999999997,Jind,India,29.74N,75.69E
1999-05-01,34.107,0.29100000000000004,Jind,India,29.74N,75.69E
1999-06-01,33.98500000000001,0.256,Jind,India,29.74N,75.69E
1999-07-01,32.829,0.527,Jind,India,29.74N,75.69E
1999-08-01,31.677000000000003,0.519,Jind,India,29.74N,75.69E
1999-09-01,30.73,0.327,Jind,India,29.74N,75.69E
1999-10-01,26.575,0.248,Jind,India,29.74N,75.69E
1999-11-01,20.819000000000003,0.507,Jind,India,29.74N,75.69E
1999-12-01,14.852,0.384,Jind,India,29.74N,75.69E
2000-01-01,13.295,0.763,Jind,India,29.74N,75.69E
2000-02-01,14.917000000000002,0.26,Jind,India,29.74N,75.69E
2000-03-01,21.53,0.337,Jind,India,29.74N,75.69E
2000-04-01,30.331999999999997,0.617,Jind,India,29.74N,75.69E
2000-05-01,34.779,0.846,Jind,India,29.74N,75.69E
2000-06-01,33.571999999999996,0.342,Jind,India,29.74N,75.69E
2000-07-01,31.644,0.33399999999999996,Jind,India,29.74N,75.69E
2000-08-01,31.508000000000006,0.55,Jind,India,29.74N,75.69E
2000-09-01,30.226000000000006,0.556,Jind,India,29.74N,75.69E
2000-10-01,27.235,0.41200000000000003,Jind,India,29.74N,75.69E
2000-11-01,20.793000000000003,0.322,Jind,India,29.74N,75.69E
2000-12-01,15.347000000000001,0.513,Jind,India,29.74N,75.69E
2001-01-01,12.485,0.609,Jind,India,29.74N,75.69E
2001-02-01,17.422,0.39399999999999996,Jind,India,29.74N,75.69E
2001-03-01,22.705,0.474,Jind,India,29.74N,75.69E
2001-04-01,28.098000000000003,0.722,Jind,India,29.74N,75.69E
2001-05-01,33.576,0.38799999999999996,Jind,India,29.74N,75.69E
2001-06-01,32.125,0.665,Jind,India,29.74N,75.69E
2001-07-01,31.644,0.39299999999999996,Jind,India,29.74N,75.69E
2001-08-01,31.416999999999998,0.179,Jind,India,29.74N,75.69E
2001-09-01,30.654000000000003,0.52,Jind,India,29.74N,75.69E
2001-10-01,26.881,0.23800000000000002,Jind,India,29.74N,75.69E
2001-11-01,20.402,0.268,Jind,India,29.74N,75.69E
2001-12-01,15.177,0.295,Jind,India,29.74N,75.69E
2002-01-01,13.200999999999999,0.32799999999999996,Jind,India,29.74N,75.69E
2002-02-01,16.324,0.259,Jind,India,29.74N,75.69E
2002-03-01,23.263,0.27,Jind,India,29.74N,75.69E
2002-04-01,30.026,0.33899999999999997,Jind,India,29.74N,75.69E
2002-05-01,34.995999999999995,0.606,Jind,India,29.74N,75.69E
2002-06-01,34.812000000000005,0.381,Jind,India,29.74N,75.69E
2002-07-01,34.532000000000004,0.892,Jind,India,29.74N,75.69E
2002-08-01,31.971999999999998,0.405,Jind,India,29.74N,75.69E
2002-09-01,28.889000000000006,0.614,Jind,India,29.74N,75.69E
2002-10-01,26.686,0.23600000000000002,Jind,India,29.74N,75.69E
2002-11-01,20.438,0.29,Jind,India,29.74N,75.69E
2002-12-01,15.52,0.34299999999999997,Jind,India,29.74N,75.69E
2003-01-01,11.507,1.584,Jind,India,29.74N,75.69E
2003-02-01,16.663,0.203,Jind,India,29.74N,75.69E
2003-03-01,22.086,0.43,Jind,India,29.74N,75.69E
2003-04-01,29.644,0.6579999999999999,Jind,India,29.74N,75.69E
2003-05-01,33.242,0.428,Jind,India,29.74N,75.69E
2003-06-01,35.556999999999995,0.535,Jind,India,29.74N,75.69E
2003-07-01,31.178,0.736,Jind,India,29.74N,75.69E
2003-08-01,30.939,0.375,Jind,India,29.74N,75.69E
2003-09-01,29.930999999999997,0.387,Jind,India,29.74N,75.69E
2003-10-01,25.491999999999997,0.353,Jind,India,29.74N,75.69E
2003-11-01,18.973,0.365,Jind,India,29.74N,75.69E
2003-12-01,14.255,0.312,Jind,India,29.74N,75.69E
2004-01-01,12.957,0.271,Jind,India,29.74N,75.69E
2004-02-01,17.774,0.426,Jind,India,29.74N,75.69E
2004-03-01,25.325,0.321,Jind,India,29.74N,75.69E
2004-04-01,30.816000000000006,0.5579999999999999,Jind,India,29.74N,75.69E
2004-05-01,33.474000000000004,0.348,Jind,India,29.74N,75.69E
2004-06-01,32.982000000000006,0.413,Jind,India,29.74N,75.69E
2004-07-01,33.534,1.058,Jind,India,29.74N,75.69E
2004-08-01,30.737,0.534,Jind,India,29.74N,75.69E
2004-09-01,30.726000000000006,0.39399999999999996,Jind,India,29.74N,75.69E
2004-10-01,24.669,0.301,Jind,India,29.74N,75.69E
2004-11-01,20.250999999999998,0.397,Jind,India,29.74N,75.69E
2004-12-01,15.318,0.33,Jind,India,29.74N,75.69E
2005-01-01,12.853,0.488,Jind,India,29.74N,75.69E
2005-02-01,15.86,0.233,Jind,India,29.74N,75.69E
2005-03-01,22.752,0.299,Jind,India,29.74N,75.69E
2005-04-01,28.305999999999997,0.43799999999999994,Jind,India,29.74N,75.69E
2005-05-01,32.424,0.684,Jind,India,29.74N,75.69E
2005-06-01,35.30000000000001,0.431,Jind,India,29.74N,75.69E
2005-07-01,31.445999999999998,0.34,Jind,India,29.74N,75.69E
2005-08-01,32.228,0.868,Jind,India,29.74N,75.69E
2005-09-01,29.677000000000003,0.355,Jind,India,29.74N,75.69E
2005-10-01,25.987,0.489,Jind,India,29.74N,75.69E
2005-11-01,19.896,0.315,Jind,India,29.74N,75.69E
2005-12-01,14.014000000000001,0.503,Jind,India,29.74N,75.69E
2006-01-01,14.008,0.17800000000000002,Jind,India,29.74N,75.69E
2006-02-01,20.686,0.828,Jind,India,29.74N,75.69E
2006-03-01,21.976999999999997,0.222,Jind,India,29.74N,75.69E
2006-04-01,28.759,1.043,Jind,India,29.74N,75.69E
2006-05-01,34.495999999999995,0.451,Jind,India,29.74N,75.69E
2006-06-01,33.244,0.48200000000000004,Jind,India,29.74N,75.69E
2006-07-01,32.483000000000004,0.214,Jind,India,29.74N,75.69E
2006-08-01,31.311999999999998,0.45399999999999996,Jind,India,29.74N,75.69E
2006-09-01,29.968000000000004,0.204,Jind,India,29.74N,75.69E
2006-10-01,26.756,0.344,Jind,India,29.74N,75.69E
2006-11-01,20.619,0.44299999999999995,Jind,India,29.74N,75.69E
2006-12-01,14.742,0.35700000000000004,Jind,India,29.74N,75.69E
2007-01-01,13.526,0.213,Jind,India,29.74N,75.69E
2007-02-01,17.000999999999998,0.301,Jind,India,29.74N,75.69E
2007-03-01,21.685,0.295,Jind,India,29.74N,75.69E
2007-04-01,30.849,0.846,Jind,India,29.74N,75.69E
2007-05-01,33.822,0.635,Jind,India,29.74N,75.69E
2007-06-01,34.287000000000006,0.349,Jind,India,29.74N,75.69E
2007-07-01,32.485,0.457,Jind,India,29.74N,75.69E
2007-08-01,31.826999999999998,0.474,Jind,India,29.74N,75.69E
2007-09-01,30.112,0.294,Jind,India,29.74N,75.69E
2007-10-01,26.019000000000002,0.27699999999999997,Jind,India,29.74N,75.69E
2007-11-01,20.609,0.358,Jind,India,29.74N,75.69E
2007-12-01,14.359000000000002,0.37799999999999995,Jind,India,29.74N,75.69E
2008-01-01,12.635,0.501,Jind,India,29.74N,75.69E
2008-02-01,15.536,0.33799999999999997,Jind,India,29.74N,75.69E
2008-03-01,24.904,0.369,Jind,India,29.74N,75.69E
2008-04-01,28.726,1.147,Jind,India,29.74N,75.69E
2008-05-01,32.119,0.379,Jind,India,29.74N,75.69E
2008-06-01,31.936000000000003,0.429,Jind,India,29.74N,75.69E
2008-07-01,32.126,0.366,Jind,India,29.74N,75.69E
2008-08-01,30.438,0.273,Jind,India,29.74N,75.69E
2008-09-01,29.573,0.316,Jind,India,29.74N,75.69E
2008-10-01,27.291999999999998,1.1740000000000002,Jind,India,29.74N,75.69E
2008-11-01,20.593000000000004,1.17,Jind,India,29.74N,75.69E
2008-12-01,16.012,0.198,Jind,India,29.74N,75.69E
2009-01-01,14.633,0.18899999999999997,Jind,India,29.74N,75.69E
2009-02-01,18.152,0.39899999999999997,Jind,India,29.74N,75.69E
2009-03-01,23.287,0.33899999999999997,Jind,India,29.74N,75.69E
2009-04-01,29.131999999999998,0.523,Jind,India,29.74N,75.69E
2009-05-01,33.794999999999995,0.46299999999999997,Jind,India,29.74N,75.69E
2009-06-01,35.385999999999996,0.395,Jind,India,29.74N,75.69E
2009-07-01,32.715,0.16399999999999998,Jind,India,29.74N,75.69E
2009-08-01,32.211,0.518,Jind,India,29.74N,75.69E
2009-09-01,30.076,0.285,Jind,India,29.74N,75.69E
2009-10-01,26.086,0.436,Jind,India,29.74N,75.69E
2009-11-01,19.484,0.361,Jind,India,29.74N,75.69E
2009-12-01,15.152000000000001,0.34600000000000003,Jind,India,29.74N,75.69E
2010-01-01,12.318,0.466,Jind,India,29.74N,75.69E
2010-02-01,18.012999999999998,0.506,Jind,India,29.74N,75.69E
2010-03-01,26.027,0.581,Jind,India,29.74N,75.69E
2010-04-01,31.899,0.5820000000000001,Jind,India,29.74N,75.69E
2010-05-01,35.363,0.57,Jind,India,29.74N,75.69E
2010-06-01,34.624,0.6729999999999999,Jind,India,29.74N,75.69E
2010-07-01,32.02,0.368,Jind,India,29.74N,75.69E
2010-08-01,30.83,0.588,Jind,India,29.74N,75.69E
2010-09-01,29.061,0.466,Jind,India,29.74N,75.69E
2010-10-01,26.846999999999998,0.763,Jind,India,29.74N,75.69E
2010-11-01,20.348,0.171,Jind,India,29.74N,75.69E
2010-12-01,13.622,0.508,Jind,India,29.74N,75.69E
2011-01-01,11.725999999999999,0.327,Jind,India,29.74N,75.69E
2011-02-01,16.85,0.20199999999999999,Jind,India,29.74N,75.69E
2011-03-01,22.762,0.486,Jind,India,29.74N,75.69E
2011-04-01,27.703000000000003,0.419,Jind,India,29.74N,75.69E
2011-05-01,34.209,0.376,Jind,India,29.74N,75.69E
2011-06-01,33.596000000000004,0.738,Jind,India,29.74N,75.69E
2011-07-01,31.994,0.46799999999999997,Jind,India,29.74N,75.69E
2011-08-01,30.678,0.48200000000000004,Jind,India,29.74N,75.69E
2011-09-01,29.35,0.341,Jind,India,29.74N,75.69E
2011-10-01,26.076,0.376,Jind,India,29.74N,75.69E
2011-11-01,21.406999999999996,0.35200000000000004,Jind,India,29.74N,75.69E
2011-12-01,14.5,0.512,Jind,India,29.74N,75.69E
2012-01-01,12.397,0.44299999999999995,Jind,India,29.74N,75.69E
2012-02-01,15.401000000000002,0.358,Jind,India,29.74N,75.69E
2012-03-01,22.311,0.444,Jind,India,29.74N,75.69E
2012-04-01,28.046,0.43700000000000006,Jind,India,29.74N,75.69E
2012-05-01,33.869,0.42100000000000004,Jind,India,29.74N,75.69E
2012-06-01,36.228,0.318,Jind,India,29.74N,75.69E
2012-07-01,33.55,0.753,Jind,India,29.74N,75.69E
2012-08-01,30.811999999999998,0.679,Jind,India,29.74N,75.69E
2012-09-01,29.918000000000006,0.5429999999999999,Jind,India,29.74N,75.69E
2012-10-01,25.57,0.623,Jind,India,29.74N,75.69E
2012-11-01,20.123,0.765,Jind,India,29.74N,75.69E
2012-12-01,14.807,0.7140000000000001,Jind,India,29.74N,75.69E
2013-01-01,12.57,0.599,Jind,India,29.74N,75.69E
2013-02-01,16.621000000000002,0.807,Jind,India,29.74N,75.69E
2013-03-01,22.656,0.8029999999999999,Jind,India,29.74N,75.69E
2013-04-01,28.578000000000003,0.672,Jind,India,29.74N,75.69E
2013-05-01,34.422,0.659,Jind,India,29.74N,75.69E
2013-06-01,34.119,0.631,Jind,India,29.74N,75.69E
2013-07-01,32.37,0.759,Jind,India,29.74N,75.69E
2013-08-01,30.708,0.701,Jind,India,29.74N,75.69E
2013-09-01,,,Jind,India,29.74N,75.69E
1841-01-01,2.609,2.766,Jingdezhen,China,29.74N,116.31E
1841-02-01,4.2139999999999995,1.976,Jingdezhen,China,29.74N,116.31E
1841-03-01,8.088000000000001,2.033,Jingdezhen,China,29.74N,116.31E
1841-04-01,14.357000000000001,2.113,Jingdezhen,China,29.74N,116.31E
1841-05-01,19.788,1.358,Jingdezhen,China,29.74N,116.31E
1841-06-01,23.173,3.069,Jingdezhen,China,29.74N,116.31E
1841-07-01,27.449,2.106,Jingdezhen,China,29.74N,116.31E
1841-08-01,26.641,2.0709999999999997,Jingdezhen,China,29.74N,116.31E
1841-09-01,21.861,1.6030000000000002,Jingdezhen,China,29.74N,116.31E
1841-10-01,16.639,1.735,Jingdezhen,China,29.74N,116.31E
1841-11-01,11.083,1.8330000000000002,Jingdezhen,China,29.74N,116.31E
1841-12-01,5.664,1.73,Jingdezhen,China,29.74N,116.31E
1842-01-01,3.634,1.953,Jingdezhen,China,29.74N,116.31E
1842-02-01,5.155,1.8159999999999998,Jingdezhen,China,29.74N,116.31E
1842-03-01,10.564,2.127,Jingdezhen,China,29.74N,116.31E
1842-04-01,15.537,1.861,Jingdezhen,China,29.74N,116.31E
1842-05-01,19.645,1.425,Jingdezhen,China,29.74N,116.31E
1842-06-01,23.877,1.419,Jingdezhen,China,29.74N,116.31E
1842-07-01,26.229,1.589,Jingdezhen,China,29.74N,116.31E
1842-08-01,26.474,1.703,Jingdezhen,China,29.74N,116.31E
1842-09-01,22.182,1.4869999999999999,Jingdezhen,China,29.74N,116.31E
1842-10-01,15.927,2.081,Jingdezhen,China,29.74N,116.31E
1842-11-01,10.792,1.7269999999999999,Jingdezhen,China,29.74N,116.31E
1842-12-01,7.167999999999999,1.819,Jingdezhen,China,29.74N,116.31E
