,23.428,1.442,Udupi,India,13.66N,75.14E
1885-11-01,24.031,0.66,Udupi,India,13.66N,75.14E
1885-12-01,23.761999999999997,1.021,Udupi,India,13.66N,75.14E
1886-01-01,23.586,0.723,Udupi,India,13.66N,75.14E
1886-02-01,25.52,0.8059999999999999,Udupi,India,13.66N,75.14E
1886-03-01,27.781,0.5710000000000001,Udupi,India,13.66N,75.14E
1886-04-01,28.993000000000002,0.81,Udupi,India,13.66N,75.14E
1886-05-01,27.499,0.726,Udupi,India,13.66N,75.14E
1886-06-01,24.461,0.8190000000000001,Udupi,India,13.66N,75.14E
1886-07-01,22.951,0.555,Udupi,India,13.66N,75.14E
1886-08-01,23.119,0.36,Udupi,India,13.66N,75.14E
1886-09-01,24.086,0.701,Udupi,India,13.66N,75.14E
1886-10-01,24.275,0.938,Udupi,India,13.66N,75.14E
1886-11-01,24.117,1.162,Udupi,India,13.66N,75.14E
1886-12-01,23.349,1.34,Udupi,India,13.66N,75.14E
1887-01-01,23.575,1.0,Udupi,India,13.66N,75.14E
1887-02-01,25.005000000000006,1.023,Udupi,India,13.66N,75.14E
1887-03-01,27.534,0.718,Udupi,India,13.66N,75.14E
1887-04-01,28.206999999999997,0.598,Udupi,India,13.66N,75.14E
1887-05-01,27.079,0.469,Udupi,India,13.66N,75.14E
1887-06-01,23.534000000000002,0.299,Udupi,India,13.66N,75.14E
1887-07-01,22.781,0.626,Udupi,India,13.66N,75.14E
1887-08-01,23.191999999999997,0.431,Udupi,India,13.66N,75.14E
1887-09-01,23.479,0.6409999999999999,Udupi,India,13.66N,75.14E
1887-10-01,23.934,0.509,Udupi,India,13.66N,75.14E
1887-11-01,24.199,0.757,Udupi,India,13.66N,75.14E
1887-12-01,23.519,0.721,Udupi,India,13.66N,75.14E
1888-01-01,23.525,1.082,Udupi,India,13.66N,75.14E
1888-02-01,25.336,0.9520000000000001,Udupi,India,13.66N,75.14E
1888-03-01,27.836,1.088,Udupi,India,13.66N,75.14E
1888-04-01,28.696,1.033,Udupi,India,13.66N,75.14E
1888-05-01,27.006999999999998,0.545,Udupi,India,13.66N,75.14E
1888-06-01,24.277,0.8759999999999999,Udupi,India,13.66N,75.14E
1888-07-01,23.522,0.833,Udupi,India,13.66N,75.14E
1888-08-01,23.49,0.56,Udupi,India,13.66N,75.14E
