113,0.8390000000000001,Kuytun,China,44.20N,84.97E
1957-11-01,-4.407,0.214,Kuytun,China,44.20N,84.97E
1957-12-01,-11.52,0.6,Kuytun,China,44.20N,84.97E
1958-01-01,-19.485000000000007,1.739,Kuytun,China,44.20N,84.97E
1958-02-01,-13.102999999999998,0.805,Kuytun,China,44.20N,84.97E
1958-03-01,-2.432,0.529,Kuytun,China,44.20N,84.97E
1958-04-01,7.066,0.748,Kuytun,China,44.20N,84.97E
1958-05-01,12.032,0.40399999999999997,Kuytun,China,44.20N,84.97E
1958-06-01,16.422,0.625,Kuytun,China,44.20N,84.97E
1958-07-01,19.934,0.486,Kuytun,China,44.20N,84.97E
1958-08-01,18.507,0.843,Kuytun,China,44.20N,84.97E
1958-09-01,12.638,0.524,Kuytun,China,44.20N,84.97E
1958-10-01,4.532,0.335,Kuytun,China,44.20N,84.97E
1958-11-01,-5.5760000000000005,0.858,Kuytun,China,44.20N,84.97E
1958-12-01,-12.640999999999998,0.797,Kuytun,China,44.20N,84.97E
1959-01-01,-19.9,1.037,Kuytun,China,44.20N,84.97E
1959-02-01,-15.706,0.514,Kuytun,China,44.20N,84.97E
1959-03-01,-6.855,0.5760000000000001,Kuytun,China,44.20N,84.97E
1959-04-01,8.794,0.5,Kuytun,China,44.20N,84.97E
1959-05-01,11.832,0.40399999999999997,Kuytun,China,44.20N,84.97E
1959-06-01,18.684,0.945,Kuytun,China,44.20N,84.97E
1959-07-01,19.688,0.371,Kuytun,China,44.20N,84.97E
1959-08-01,19.063,0.706,Kuytun,China,44.20N,84.97E
1959-09-01,16.575,1.193,Kuytun,China,44.20N,84.97E
1959-10-01,5.855,0.7140000000000001,Kuytun,China,44.20N,84.97E
1959-11-01,-7.848,1.0659999999999998,Kuytun,China,44.20N,84.97E
1959-12-01,-19.137999999999998,2.206,Kuytun,China,44.20N,84.97E
1960-01-01,-21.1,1.012,Kuytun,China,44.20N,84.97E
1960-02-01,-14.405,1.219,Kuytun,China,44.20N,84.97E
1960-03-01,-7.580999999999999,1.172,Kuytun,China,44.20N,84.97E
1960-04-01,5.311,0.39,Kuytun,China,44.20N,84.97E
1960-05-01,11.039000000000001,0.5589999999999999,Kuytun,China,44.20N,84.97E
1960-06-01,17.465000000000003,0.525,Kuytun,China,44.20N,84.97E
1960-07-01,19.499,0.37200000000000005,Kuytun,China,44.20N,84.97E
1960-08-01,18.991,0.426,Kuytun,China,44.20N,84.97E
1960-09-01,13.561,0.47,Kuytun,China,44.20N,84.97E
1960-10-01,3.5210000000000004,0.53,Kuytun,China,44.20N,84.97E
1960-11-01,-8.033999999999999,1.3019999999999998,Kuytun,China,44.20N,84.97E
1960-12-01,-14.687,1.359,Kuytun,China,44.20N,84.97E
1961-01-01,-20.663,1.518,Kuytun,China,44.20N,84.97E
1961-02-01,-14.902000000000001,1.235,Kuytun,China,44.20N,84.97E
1961-03-01,-2.575,0.609,Kuytun,China,44.20N,84.97E
1961-04-01,10.359000000000002,0.48700000000000004,Kuytun,China,44.20N,84.97E
1961-05-01,15.242,0.45399999999999996,Kuytun,China,44.20N,84.97E
1961-06-01,18.663,0.508,Kuytun,China,44.20N,84.97E
1961-07-01,20.304,0.473,Kuytun,China,44.20N,84.97E
1961-08-01,18.484,0.256,Kuytun,China,44.20N,84.97E
1961-09-01,13.562,0.259,Kuytun,China,44.20N,84.97E
1961-10-01,1.661,0.21600000000000003,Kuytun,China,44.20N,84.97E
1961-11-01,-4.907,0.307,Kuytun,China,44.20N,84.97E
1961-12-01,-15.078,1.3980000000000001,Kuytun,China,44.20N,84.97E
1962-01-01,-21.339,0.8909999999999999,Kuytun,China,44.20N,84.97E
1962-02-01,-16.028,1.288,Kuytun,China,44.20N,84.97E
1962-03-01,-1.3630000000000002,0.447,Kuytun,China,44.20N,84.97E
1962-04-01,7.157,0.9179999999999999,Kuytun,China,44.20N,84.97E
1962-05-01,16.337,0.627,Kuytun,China,44.20N,84.97E
1962-06-01,19.092,0.5660000000000001,Kuytun,China,44.20N,84.97E
1962-07-01,21.412000000000006,0.593,Kuytun,China,44.20N,84.97E
1962-08-01,20.27,0.627,Kuytun,China,44.20N,84.97E
1962-09-01,14.128,0.389,Kuytun,China,44.20N,84.97E
1962-10-01,5.299,0.401,Kuytun,China,44.20N,84.97E
1962-11-01,-7.2139999999999995,0.8220000000000001,Kuytun,China,44.20N,84.97E
1962-12-01,-15.218,0.812,Kuytun,China,44.20N,84.97E
1963-01-01,-17.343000000000004,0.8440000000000001,Kuytun,China,44.20N,84.97E
1963-02-01,-10.363,1.226,Kuytun,China,44.20N,84.97E
1963-03-01,1.851,1.128,Kuytun,China,44.20N,84.97E
1963-04-01,4.598,0.626,Kuytun,China,44.20N,84.97E
1963-05-01,14.209000000000001,0.406,Kuytun,China,44.20N,84.97E
1963-06-01,18.757,0.315,Kuytun,China,44.20N,84.97E
1963-07-01,20.861,0.524,Kuytun,China,44.20N,84.97E
1963-08-01,18.904,0.643,Kuytun,China,44.20N,84.97E
1963-09-01,12.409,0.342,Kuytun,China,44.20N,84.97E
1963-10-01,5.54,0.285,Kuytun,China,44.20N,84.97E
1963-11-01,-2.843,0.48,Kuytun,China,44.20N,84.97E
1963-12-01,-14.033,0.623,Kuytun,China,44.20N,84.97E
1964-01-01,-19.898000000000003,1.197,Kuytun,China,44.20N,84.97E
1964-02-01,-20.859,1.69,Kuytun,China,44.20N,84.97E
1964-03-01,-4.456,0.998,Kuytun,China,44.20N,84.97E
1964-04-01,6.852,0.446,Kuytun,China,44.20N,84.97E
1964-05-01,13.394,0.251,Kuytun,China,44.20N,84.97E
1964-06-01,18.723000000000006,0.381,Kuytun,China,44.20N,84.97E
