36,0.5920000000000001,Junagadh,India,21.70N,70.10E
1939-06-01,30.535999999999998,0.49,Junagadh,India,21.70N,70.10E
1939-07-01,28.46,0.526,Junagadh,India,21.70N,70.10E
1939-08-01,27.559,0.41200000000000003,Junagadh,India,21.70N,70.10E
1939-09-01,27.166,0.32,Junagadh,India,21.70N,70.10E
1939-10-01,27.381999999999998,0.8240000000000001,Junagadh,India,21.70N,70.10E
1939-11-01,25.269,0.513,Junagadh,India,21.70N,70.10E
1939-12-01,21.961,0.46299999999999997,Junagadh,India,21.70N,70.10E
1940-01-01,21.285999999999998,0.726,Junagadh,India,21.70N,70.10E
1940-02-01,22.925,0.28,Junagadh,India,21.70N,70.10E
1940-03-01,24.468000000000004,0.435,Junagadh,India,21.70N,70.10E
1940-04-01,27.774,0.456,Junagadh,India,21.70N,70.10E
1940-05-01,30.386,0.478,Junagadh,India,21.70N,70.10E
1940-06-01,30.448,0.22399999999999998,Junagadh,India,21.70N,70.10E
1940-07-01,28.754,0.249,Junagadh,India,21.70N,70.10E
1940-08-01,27.572,0.312,Junagadh,India,21.70N,70.10E
1940-09-01,27.208,0.48,Junagadh,India,21.70N,70.10E
1940-10-01,27.822000000000006,0.8440000000000001,Junagadh,India,21.70N,70.10E
1940-11-01,25.680999999999997,0.457,Junagadh,India,21.70N,70.10E
1940-12-01,20.779,0.371,Junagadh,India,21.70N,70.10E
1941-01-01,20.028,0.583,Junagadh,India,21.70N,70.10E
1941-02-01,23.399,0.3,Junagadh,India,21.70N,70.10E
1941-03-01,26.669,0.431,Junagadh,India,21.70N,70.10E
1941-04-01,29.311999999999998,0.599,Junagadh,India,21.70N,70.10E
1941-05-01,30.753,0.685,Junagadh,India,21.70N,70.10E
1941-06-01,31.075000000000006,0.16,Junagadh,India,21.70N,70.10E
1941-07-01,28.18,0.441,Junagadh,India,21.70N,70.10E
1941-08-01,28.213,0.368,Junagadh,India,21.70N,70.10E
1941-09-01,27.993,0.214,Junagadh,India,21.70N,70.10E
1941-10-01,28.525,0.8740000000000001,Junagadh,India,21.70N,70.10E
1941-11-01,25.087,0.21899999999999997,Junagadh,India,21.70N,70.10E
1941-12-01,21.815,0.444,Junagadh,India,21.70N,70.10E
1942-01-01,19.719,0.395,Junagadh,India,21.70N,70.10E
1942-02-01,22.686,0.192,Junagadh,India,21.70N,70.10E
1942-03-01,26.511999999999997,0.335,Junagadh,India,21.70N,70.10E
1942-04-01,29.381,0.45899999999999996,Junagadh,India,21.70N,70.10E
1942-05-01,30.636,0.289,Junagadh,India,21.70N,70.10E
1942-06-01,31.139000000000006,0.466,Junagadh,India,21.70N,70.10E
1942-07-01,28.857000000000006,0.46,Junagadh,India,21.70N,70.10E
1942-08-01,27.416,0.33,Junagadh,India,21.70N,70.10E
1942-09-01,27.521,0.326,Junagadh,India,21.70N,70.10E
1942-10-01,27.205,0.762,Junagadh,India,21.70N,70.10E
1942-11-01,24.32,0.28300000000000003,Junagadh,India,21.70N,70.10E
1942-12-01,20.02,0.322,Junagadh,India,21.70N,70.10E
1943-01-01,19.315,0.42100000000000004,Junagadh,India,21.70N,70.10E
1943-02-01,22.699,0.332,Junagadh,India,21.70N,70.10E
1943-03-01,26.574,0.275,Junagadh,India,21.70N,70.10E
1943-04-01,28.773000000000003,0.474,Junagadh,India,21.70N,70.10E
1943-05-01,31.146,0.315,Junagadh,India,21.70N,70.10E
1943-06-01,30.613000000000003,0.495,Junagadh,India,21.70N,70.10E
1943-07-01,28.247,0.754,Junagadh,India,21.70N,70.10E
1943-08-01,27.161,0.71,Junagadh,India,21.70N,70.10E
1943-09-01,26.964,0.33799999999999997,Junagadh,India,21.70N,70.10E
