1.937,0.584,Ilhéus,Brazil,15.27S,39.17W
1937-10-01,24.188000000000002,0.418,Ilhéus,Brazil,15.27S,39.17W
1937-11-01,24.895,0.873,Ilhéus,Brazil,15.27S,39.17W
1937-12-01,24.973000000000003,0.698,Ilhéus,Brazil,15.27S,39.17W
1938-01-01,26.181,0.509,Ilhéus,Brazil,15.27S,39.17W
1938-02-01,26.369,0.787,Ilhéus,Brazil,15.27S,39.17W
1938-03-01,25.845,0.51,Ilhéus,Brazil,15.27S,39.17W
1938-04-01,25.028,0.983,Ilhéus,Brazil,15.27S,39.17W
1938-05-01,23.874000000000002,1.436,Ilhéus,Brazil,15.27S,39.17W
1938-06-01,22.081999999999997,0.449,Ilhéus,Brazil,15.27S,39.17W
1938-07-01,21.148000000000003,0.867,Ilhéus,Brazil,15.27S,39.17W
1938-08-01,21.789,0.501,Ilhéus,Brazil,15.27S,39.17W
1938-09-01,22.836,0.428,Ilhéus,Brazil,15.27S,39.17W
1938-10-01,24.17,0.895,Ilhéus,Brazil,15.27S,39.17W
1938-11-01,24.686999999999998,0.8029999999999999,Ilhéus,Brazil,15.27S,39.17W
1938-12-01,25.193,1.091,Ilhéus,Brazil,15.27S,39.17W
1939-01-01,25.753,0.469,Ilhéus,Brazil,15.27S,39.17W
1939-02-01,25.528000000000002,1.037,Ilhéus,Brazil,15.27S,39.17W
1939-03-01,26.116999999999997,0.925,Ilhéus,Brazil,15.27S,39.17W
1939-04-01,25.069000000000003,0.7040000000000001,Ilhéus,Brazil,15.27S,39.17W
1939-05-01,24.269,0.455,Ilhéus,Brazil,15.27S,39.17W
1939-06-01,23.072,1.598,Ilhéus,Brazil,15.27S,39.17W
1939-07-01,21.375,0.759,Ilhéus,Brazil,15.27S,39.17W
1939-08-01,21.873,0.41700000000000004,Ilhéus,Brazil,15.27S,39.17W
1939-09-01,22.855,0.772,Ilhéus,Brazil,15.27S,39.17W
1939-10-01,23.402,0.523,Ilhéus,Brazil,15.27S,39.17W
1939-11-01,25.33,0.764,Ilhéus,Brazil,15.27S,39.17W
1939-12-01,25.775,0.557,Ilhéus,Brazil,15.27S,39.17W
1940-01-01,25.829,0.526,Ilhéus,Brazil,15.27S,39.17W
1940-02-01,25.999000000000002,0.857,Ilhéus,Brazil,15.27S,39.17W
1940-03-01,25.191,0.8759999999999999,Ilhéus,Brazil,15.27S,39.17W
1940-04-01,24.944000000000003,0.498,Ilhéus,Brazil,15.27S,39.17W
1940-05-01,24.002,0.652,Ilhéus,Brazil,15.27S,39.17W
1940-06-01,22.22,0.46799999999999997,Ilhéus,Brazil,15.27S,39.17W
1940-07-01,21.678,0.502,Ilhéus,Brazil,15.27S,39.17W
1940-08-01,22.048000000000002,0.562,Ilhéus,Brazil,15.27S,39.17W
1940-09-01,22.4,0.9520000000000001,Ilhéus,Brazil,15.27S,39.17W
1940-10-01,23.966,0.833,Ilhéus,Brazil,15.27S,39.17W
1940-11-01,24.236,0.9,Ilhéus,Brazil,15.27S,39.17W
1940-12-01,25.84,1.557,Ilhéus,Brazil,15.27S,39.17W
1941-01-01,26.217,1.641,Ilhéus,Brazil,15.27S,39.17W
1941-02-01,26.659000000000002,0.882,Ilhéus,Brazil,15.27S,39.17W
1941-03-01,25.42,0.882,Ilhéus,Brazil,15.27S,39.17W
1941-04-01,25.048,1.339,Ilhéus,Brazil,15.27S,39.17W
1941-05-01,23.84,0.88,Ilhéus,Brazil,15.27S,39.17W
1941-06-01,21.865,1.0590000000000002,Ilhéus,Brazil,15.27S,39.17W
1941-07-01,21.608,0.43,Ilhéus,Brazil,15.27S,39.17W
1941-08-01,22.284000000000002,0.8809999999999999,Ilhéus,Brazil,15.27S,39.17W
1941-09-01,23.059,1.922,Ilhéus,Brazil,15.27S,39.17W
1941-10-01,23.997,0.6679999999999999,Ilhéus,Brazil,15.27S,39.17W
1941-11-01,25.28,1.472,Ilhéus,Brazil,15.27S,39.17W
1941-12-01,25.321,0.513,Ilhéus,Brazil,15.27S,39.17W
1942-01-01,26.239,0.426,Ilhéus,Brazil,15.27S,39.17W
1942-02-01,26.028000000000002,0.639,Ilhéus,Brazil,15.27S,39.17W
1942-03-01,25.943,0.698,Ilhéus,Brazil,15.27S,39.17W
1942-04-01,24.732,1.5230000000000001,Ilhéus,Brazil,15.27S,39.17W
1942-05-01,24.039,0.396,Ilhéus,Brazil,15.27S,39.17W
1942-06-01,22.605999999999998,0.475,Ilhéus,Brazil,15.27S,39.17W
1942-07-01,21.025,0.5379999999999999,Ilhéus,Brazil,15.27S,39.17W
1942-08-01,21.214000000000002,0.6890000000000001,Ilhéus,Brazil,15.27S,39.17W
1942-09-01,23.134,0.726,Ilhéus,Brazil,15.27S,39.17W
1942-10-01,23.789,0.518,Ilhéus,Brazil,15.27S,39.17W
1942-11-01,24.465999999999998,1.2429999999999999,Ilhéus,Brazil,15.27S,39.17W
1942-12-01,24.666,0.504,Ilhéus,Brazil,15.27S,39.17W
1943-01-01,25.457,0.648,Ilhéus,Brazil,15.27S,39.17W
1943-02-01,25.545,0.483,Ilhéus,Brazil,15.27S,39.17W
1943-03-01,25.299,1.587,Ilhéus,Brazil,15.27S,39.17W
1943-04-01,23.748,0.812,Ilhéus,Brazil,15.27S,39.17W
1943-05-01,22.629,2.736,Ilhéus,Brazil,15.27S,39.17W
1943-06-01,22.085,1.912,Ilhéus,Brazil,15.27S,39.17W
1943-07-01,20.77,1.34,Ilhéus,Brazil,15.27S,39.17W
1943-08-01,20.971,0.556,Ilhéus,Brazil,15.27S,39.17W
1943-09-01,21.945,0.8009999999999999,Ilhéus,Brazil,15.27S,39.17W
1943-10-01,23.448,0.574,Ilhéus,Brazil,15.27S,39.17W
1943-11-01,24.311999999999998,1.0759999999999998,Ilhéus,Brazil,15.27S,39.17W
1943-12-01,24.441,0.8490000000000001,Ilhéus,Brazil,15.27S,39.17W
1944-01-01,25.001,0.9359999999999999,Ilhéus,Brazil,15.27S,39.17W
1944-02-01,25.52,0.41600000000000004,Ilhéus,Brazil,15.27S,39.17W
1944-03-01,26.167,0.375,Ilhéus,Brazil,15.27S,39.17W
1944-04-01,24.168000000000003,0.575,Ilhéus,Brazil,15.27S,39.17W
1944-05-01,22.576,0.8170000000000001,Ilhéus,Brazil,15.27S,39.17W
1944-06-01,22.072,0.47600000000000003,Ilhéus,Brazil,15.27S,39.17W
1944-07-01,20.750999999999998,0.48200000000000004,Ilhéus,Brazil,15.27S,39.17W
1944-08-01,20.988000000000003,1.419,Ilhéus,Brazil,15.27S,39.17W
1944-09-01,22.384,0.623,Ilhéus,Brazil,15.27S,39.17W
1944-10-01,23.995,1.032,Ilhéus,Brazil,15.27S,39.17W
1944-11-01,24.592,0.435,Ilhéus,Brazil,15.27S,39.17W
1944-12-01,24.632,1.171,Ilhéus,Brazil,15.27S,39.17W
1945-01-01,25.482,0.467,Ilhéus,Brazil,15.27S,39.17W
1945-02-01,25.615,0.633,Ilhéus,Brazil,15.27S,39.17W
1945-03-01,25.947,0.41100000000000003,Ilhéus,Brazil,15.27S,39.17W
1945-04-01,24.531999999999996,0.408,Ilhéus,Brazil,15.27S,39.17W
1945-05-01,22.901999999999997,0.7509999999999999,Ilhéus,Brazil,15.27S,39.17W
1945-06-01,21.408,0.415,Ilhéus,Brazil,15.27S,39.17W
1945-07-01,20.9,0.75,Ilhéus,Brazil,15.27S,39.17W
1945-08-01,21.683000000000003,0.873,Ilhéus,Brazil,15.27S,39.17W
1945-09-01,21.948,0.578,Ilhéus,Brazil,15.27S,39.17W
1945-10-01,23.228,1.122,Ilhéus,Brazil,15.27S,39.17W
1945-11-01,24.642,0.7090000000000001,Ilhéus,Brazil,15.27S,39.17W
1945-12-01,24.834,0.57,Ilhéus,Brazil,15.27S,39.17W
1946-01-01,25.828000000000003,0.624,Ilhéus,Brazil,15.27S,39.17W
1946-02-01,26.493000000000002,0.373,Ilhéus,Brazil,15.27S,39.17W
1946-03-01,25.901999999999997,0.457,Ilhéus,Brazil,15.27S,39.17W
1946-04-01,24.465,0.9470000000000001,Ilhéus,Brazil,15.27S,39.17W
1946-05-01,23.741,0.836,Ilhéus,Brazil,15.27S,39.17W
1946-06-01,22.68,0.396,Ilhéus,Brazil,15.27S,39.17W
1946-07-01,22.088,0.40299999999999997,Ilhéus,Brazil,15.27S,39.17W
1946-08-01,21.985,0.7340000000000001,Ilhéus,Brazil,15.27S,39.17W
1946-09-01,23.083000000000002,0.381,Ilhéus,Brazil,15.27S,39.17W
1946-10-01,24.356,0.409,Ilhéus,Brazil,15.27S,39.17W
1946-11-01,24.698,0.721,Ilhéus,Brazil,15.27S,39.17W
1946-12-01,25.164,0.42,Ilhéus,Brazil,15.27S,39.17W
1947-01-01,26.202,1.0290000000000001,Ilhéus,Brazil,15.27S,39.17W
1947-02-01,26.276,0.701,Ilhéus,Brazil,15.27S,39.17W
1947-03-01,25.569000000000003,1.263,Ilhéus,Brazil,15.27S,39.17W
1947-04-01,24.438000000000002,0.418,Ilhéus,Brazil,15.27S,39.17W
1947-05-01,23.840999999999998,0.41100000000000003,Ilhéus,Brazil,15.27S,39.17W
1947-06-01,22.348000000000003,0.384,Ilhéus,Brazil,15.27S,39.17W
1947-07-01,21.55,0.632,Ilhéus,Brazil,15.27S,39.17W
1947-08-01,22.012,0.439,Ilhéus,Brazil,15.27S,39.17W
1947-09-01,22.926,0.47700000000000004,Ilhéus,Brazil,15.27S,39.17W
1947-10-01,23.421,0.6970000000000001,Ilhéus,Brazil,15.27S,39.17W
1947-11-01,23.215,1.9169999999999998,Ilhéus,Brazil,15.27S,39.17W
1947-12-01,24.868000000000002,0.789,Ilhéus,Brazil,15.27S,39.17W
1948-01-01,25.8,0.9159999999999999,Ilhéus,Brazil,15.27S,39.17W
1948-02-01,26.014,0.42700000000000005,Ilhéus,Brazil,15.27S,39.17W
1948-03-01,25.343000000000004,0.551,Ilhéus,Brazil,15.27S,39.17W
1948-04-01,24.416,0.89,Ilhéus,Brazil,15.27S,39.17W
1948-05-01,23.359,0.396,Ilhéus,Brazil,15.27S,39.17W
1948-06-01,22.198,0.4,Ilhéus,Brazil,15.27S,39.17W
1948-07-01,21.844,0.612,Ilhéus,Brazil,15.27S,39.17W
1948-08-01,21.622,0.41700000000000004,Ilhéus,Brazil,15.27S,39.17W
1948-09-01,22.513,0.523,Ilhéus,Brazil,15.27S,39.17W
1948-10-01,23.553,0.41700000000000004,Ilhéus,Brazil,15.27S,39.17W
1948-11-01,24.693,0.41700000000000004,Ilhéus,Brazil,15.27S,39.17W
1948-12-01,24.538,0.608,Ilhéus,Brazil,15.27S,39.17W
1949-01-01,25.764,0.544,Ilhéus,Brazil,15.27S,39.17W
1949-02-01,25.233,0.439,Ilhéus,Brazil,15.27S,39.17W
1949-03-01,26.191999999999997,0.541,Ilhéus,Brazil,15.27S,39.17W
1949-04-01,24.433000000000003,0.32799999999999996,Ilhéus,Brazil,15.27S,39.17W
1949-05-01,23.057,0.605,Ilhéus,Brazil,15.27S,39.17W
1949-06-01,22.476,0.449,Ilhéus,Brazil,15.27S,39.17W
1949-07-01,20.761000000000006,0.8909999999999999,Ilhéus,Brazil,15.27S,39.17W
1949-08-01,21.213,0.322,Ilhéus,Brazil,15.27S,39.17W
1949-09-01,21.856,0.57,Ilhéus,Brazil,15.27S,39.17W
1949-10-01,23.105,0.581,Ilhéus,Brazil,15.27S,39.17W
1949-11-01,24.276999999999997,0.611,Ilhéus,Brazil,15.27S,39.17W
1949-12-01,25.25,0.7070000000000001,Ilhéus,Brazil,15.27S,39.17W
1950-01-01,26.002,0.359,Ilhéus,Brazil,15.27S,39.17W
1950-02-01,25.772,0.312,Ilhéus,Brazil,15.27S,39.17W
1950-03-01,25.204,0.51,Ilhéus,Brazil,15.27S,39.17W
1950-04-01,24.153,0.45,Ilhéus,Brazil,15.27S,39.17W
1950-05-01,22.939,0.507,Ilhéus,Brazil,15.27S,39.17W
1950-06-01,21.975,0.7090000000000001,Ilhéus,Brazil,15.27S,39.17W
1950-07-01,21.017,0.495,Ilhéus,Brazil,15.27S,39.17W
1950-08-01,21.482,0.358,Ilhéus,Brazil,15.27S,39.17W
1950-09-01,22.705,0.446,Ilhéus,Brazil,15.27S,39.17W
1950-10-01,23.516,0.483,Ilhéus,Brazil,15.27S,39.17W
1950-11-01,24.691,0.7859999999999999,Ilhéus,Brazil,15.27S,39.17W
1950-12-01,25.046,0.292,Ilhéus,Brazil,15.27S,39.17W
1951-01-01,25.588,0.49700000000000005,Ilhéus,Brazil,15.27S,39.17W
1951-02-01,25.949,0.465,Ilhéus,Brazil,15.27S,39.17W
1951-03-01,26.111,0.564,Ilhéus,Brazil,15.27S,39.17W
1951-04-01,24.358,0.29100000000000004,Ilhéus,Brazil,15.27S,39.17W
1951-05-01,23.261999999999997,0.534,Ilhéus,Brazil,15.27S,39.17W
1951-06-01,21.88,0.507,Ilhéus,Brazil,15.27S,39.17W
1951-07-01,20.912000000000006,0.503,Ilhéus,Brazil,15.27S,39.17W
1951-08-01,21.131,0.46,Ilhéus,Brazil,15.27S,39.17W
1951-09-01,22.391,0.513,Ilhéus,Brazil,15.27S,39.17W
1951-10-01,23.883000000000003,0.41100000000000003,Ilhéus,Brazil,15.27S,39.17W
1951-11-01,24.824,0.502,Ilhéus,Brazil,15.27S,39.17W
1951-12-01,24.96,0.35100000000000003,Ilhéus,Brazil,15.27S,39.17W
1952-01-01,26.288,0.9,Ilhéus,Brazil,15.27S,39.17W
