.9830000000000005,0.507,Puerto Montt,Chile,40.99S,72.43W
1965-06-01,7.0440000000000005,0.511,Puerto Montt,Chile,40.99S,72.43W
1965-07-01,3.458,0.485,Puerto Montt,Chile,40.99S,72.43W
1965-08-01,4.4639999999999995,0.306,Puerto Montt,Chile,40.99S,72.43W
1965-09-01,5.477,0.299,Puerto Montt,Chile,40.99S,72.43W
1965-10-01,7.638,0.447,Puerto Montt,Chile,40.99S,72.43W
1965-11-01,10.870999999999999,0.782,Puerto Montt,Chile,40.99S,72.43W
1965-12-01,10.779000000000002,0.517,Puerto Montt,Chile,40.99S,72.43W
1966-01-01,13.542,0.364,Puerto Montt,Chile,40.99S,72.43W
1966-02-01,11.538,0.439,Puerto Montt,Chile,40.99S,72.43W
1966-03-01,11.552999999999999,0.364,Puerto Montt,Chile,40.99S,72.43W
1966-04-01,9.379,0.235,Puerto Montt,Chile,40.99S,72.43W
1966-05-01,7.617000000000001,0.39899999999999997,Puerto Montt,Chile,40.99S,72.43W
1966-06-01,5.131,0.335,Puerto Montt,Chile,40.99S,72.43W
1966-07-01,3.867,0.37799999999999995,Puerto Montt,Chile,40.99S,72.43W
1966-08-01,4.4719999999999995,0.32899999999999996,Puerto Montt,Chile,40.99S,72.43W
1966-09-01,5.454,0.289,Puerto Montt,Chile,40.99S,72.43W
1966-10-01,6.822,0.395,Puerto Montt,Chile,40.99S,72.43W
1966-11-01,10.982999999999999,0.3,Puerto Montt,Chile,40.99S,72.43W
1966-12-01,11.081,0.589,Puerto Montt,Chile,40.99S,72.43W
1967-01-01,13.343,0.19899999999999998,Puerto Montt,Chile,40.99S,72.43W
1967-02-01,12.634,0.325,Puerto Montt,Chile,40.99S,72.43W
1967-03-01,11.484000000000002,0.34299999999999997,Puerto Montt,Chile,40.99S,72.43W
1967-04-01,8.392000000000001,0.8959999999999999,Puerto Montt,Chile,40.99S,72.43W
1967-05-01,7.205,0.245,Puerto Montt,Chile,40.99S,72.43W
1967-06-01,2.4570000000000003,0.193,Puerto Montt,Chile,40.99S,72.43W
1967-07-01,3.502,0.355,Puerto Montt,Chile,40.99S,72.43W
