1997-11-01,29.238000000000003,0.402,Teresina,Brazil,5.63S,43.59W
1997-12-01,28.427,0.263,Teresina,Brazil,5.63S,43.59W
1998-01-01,26.741999999999997,0.415,Teresina,Brazil,5.63S,43.59W
1998-02-01,27.656,0.47100000000000003,Teresina,Brazil,5.63S,43.59W
1998-03-01,27.051,0.43,Teresina,Brazil,5.63S,43.59W
1998-04-01,27.859,0.294,Teresina,Brazil,5.63S,43.59W
1998-05-01,28.160999999999998,0.214,Teresina,Brazil,5.63S,43.59W
1998-06-01,27.888,0.24,Teresina,Brazil,5.63S,43.59W
1998-07-01,28.433000000000003,0.513,Teresina,Brazil,5.63S,43.59W
1998-08-01,29.396,0.452,Teresina,Brazil,5.63S,43.59W
1998-09-01,30.476,0.316,Teresina,Brazil,5.63S,43.59W
1998-10-01,30.239,0.522,Teresina,Brazil,5.63S,43.59W
1998-11-01,28.999,0.5870000000000001,Teresina,Brazil,5.63S,43.59W
1998-12-01,27.63,0.324,Teresina,Brazil,5.63S,43.59W
1999-01-01,26.535,0.32,Teresina,Brazil,5.63S,43.59W
1999-02-01,26.396,0.6659999999999999,Teresina,Brazil,5.63S,43.59W
1999-03-01,25.814,0.222,Teresina,Brazil,5.63S,43.59W
1999-04-01,26.197,0.285,Teresina,Brazil,5.63S,43.59W
1999-05-01,26.004,0.228,Teresina,Brazil,5.63S,43.59W
1999-06-01,26.583,0.184,Teresina,Brazil,5.63S,43.59W
1999-07-01,26.763,0.431,Teresina,Brazil,5.63S,43.59W
1999-08-01,28.215999999999998,0.24600000000000002,Teresina,Brazil,5.63S,43.59W
1999-09-01,29.366,0.32899999999999996,Teresina,Brazil,5.63S,43.59W
1999-10-01,29.093000000000004,0.192,Teresina,Brazil,5.63S,43.59W
1999-11-01,28.355999999999998,0.344,Teresina,Brazil,5.63S,43.59W
1999-12-01,26.929,0.445,Teresina,Brazil,5.63S,43.59W
2000-01-01,26.525,0.725,Teresina,Brazil,5.63S,43.59W
2000-02-01,25.646,0.23600000000000002,Teresina,Brazil,5.63S,43.59W
2000-03-01,26.375999999999998,0.818,Teresina,Brazil,5.63S,43.59W
2000-04-01,26.031,0.11699999999999999,Teresina,Brazil,5.63S,43.59W
2000-05-01,26.658,0.6459999999999999,Teresina,Brazil,5.63S,43.59W
2000-06-01,26.267,1.055,Teresina,Brazil,5.63S,43.59W
2000-07-01,26.595,0.627,Teresina,Brazil,5.63S,43.59W
2000-08-01,27.7,0.366,Teresina,Brazil,5.63S,43.59W
2000-09-01,28.409000000000002,0.21600000000000003,Teresina,Brazil,5.63S,43.59W
2000-10-01,28.925,0.16699999999999998,Teresina,Brazil,5.63S,43.59W
2000-11-01,28.612,0.423,Teresina,Brazil,5.63S,43.59W
2000-12-01,27.52,0.632,Teresina,Brazil,5.63S,43.59W
2001-01-01,26.066999999999997,0.239,Teresina,Brazil,5.63S,43.59W
2001-02-01,25.764000000000006,0.33299999999999996,Teresina,Brazil,5.63S,43.59W
2001-03-01,26.199,0.174,Teresina,Brazil,5.63S,43.59W
2001-04-01,26.201,0.152,Teresina,Brazil,5.63S,43.59W
2001-05-01,27.021,0.19899999999999998,Teresina,Brazil,5.63S,43.59W
2001-06-01,26.829,1.082,Teresina,Brazil,5.63S,43.59W
2001-07-01,26.967,0.41700000000000004,Teresina,Brazil,5.63S,43.59W
2001-08-01,27.709,0.521,Teresina,Brazil,5.63S,43.59W
2001-09-01,29.075,0.326,Teresina,Brazil,5.63S,43.59W
2001-10-01,29.266,0.33299999999999996,Teresina,Brazil,5.63S,43.59W
2001-11-01,28.699,0.28600000000000003,Teresina,Brazil,5.63S,43.59W
2001-12-01,28.248,0.23399999999999999,Teresina,Brazil,5.63S,43.59W
2002-01-01,25.845,0.414,Teresina,Brazil,5.63S,43.59W
2002-02-01,27.040000000000006,0.377,Teresina,Brazil,5.63S,43.59W
2002-03-01,26.491,0.38799999999999996,Teresina,Brazil,5.63S,43.59W
2002-04-01,26.5,0.28300000000000003,Teresina,Brazil,5.63S,43.59W
2002-05-01,27.065,0.2,Teresina,Brazil,5.63S,43.59W
2002-06-01,26.816,0.248,Teresina,Brazil,5.63S,43.59W
2002-07-01,27.401999999999997,0.217,Teresina,Brazil,5.63S,43.59W
2002-08-01,28.375,0.261,Teresina,Brazil,5.63S,43.59W
2002-09-01,29.092,0.23600000000000002,Teresina,Brazil,5.63S,43.59W
2002-10-01,29.586,0.299,Teresina,Brazil,5.63S,43.59W
2002-11-01,29.309,0.478,Teresina,Brazil,5.63S,43.59W
2002-12-01,27.848000000000003,0.248,Teresina,Brazil,5.63S,43.59W
2003-01-01,27.449,0.215,Teresina,Brazil,5.63S,43.59W
2003-02-01,26.006,0.353,Teresina,Brazil,5.63S,43.59W
2003-03-01,26.204,0.147,Teresina,Brazil,5.63S,43.59W
2003-04-01,26.59,0.191,Teresina,Brazil,5.63S,43.59W
2003-05-01,26.826999999999998,0.205,Teresina,Brazil,5.63S,43.59W
2003-06-01,26.504,0.327,Teresina,Brazil,5.63S,43.59W
2003-07-01,26.741999999999997,0.342,Teresina,Brazil,5.63S,43.59W
2003-08-01,28.103,0.345,Teresina,Brazil,5.63S,43.59W
2003-09-01,29.253,0.39399999999999996,Teresina,Brazil,5.63S,43.59W
2003-10-01,29.58,0.475,Teresina,Brazil,5.63S,43.59W
2003-11-01,28.607000000000006,0.48,Teresina,Brazil,5.63S,43.59W
2003-12-01,28.078000000000003,0.33299999999999996,Teresina,Brazil,5.63S,43.59W
2004-01-01,26.368000000000002,0.414,Teresina,Brazil,5.63S,43.59W
2004-02-01,25.993,0.304,Teresina,Brazil,5.63S,43.59W
2004-03-01,26.636999999999997,0.28,Teresina,Brazil,5.63S,43.59W
2004-04-01,26.456,0.263,Teresina,Brazil,5.63S,43.59W
2004-05-01,26.973000000000006,0.23,Teresina,Brazil,5.63S,43.59W
2004-06-01,26.34,0.21100000000000002,Teresina,Brazil,5.63S,43.59W
2004-07-01,26.631,0.27,Teresina,Brazil,5.63S,43.59W
2004-08-01,28.145,0.205,Teresina,Brazil,5.63S,43.59W
2004-09-01,29.203000000000003,0.293,Teresina,Brazil,5.63S,43.59W
2004-10-01,29.193,0.32,Teresina,Brazil,5.63S,43.59W
2004-11-01,29.156999999999996,0.37799999999999995,Teresina,Brazil,5.63S,43.59W
2004-12-01,28.118,0.34600000000000003,Teresina,Brazil,5.63S,43.59W
2005-01-01,27.528000000000002,0.32899999999999996,Teresina,Brazil,5.63S,43.59W
2005-02-01,27.011000000000006,0.24100000000000002,Teresina,Brazil,5.63S,43.59W
2005-03-01,26.835,0.434,Teresina,Brazil,5.63S,43.59W
2005-04-01,27.029,0.228,Teresina,Brazil,5.63S,43.59W
2005-05-01,26.718000000000004,0.301,Teresina,Brazil,5.63S,43.59W
2005-06-01,26.965,0.365,Teresina,Brazil,5.63S,43.59W
2005-07-01,26.985,0.297,Teresina,Brazil,5.63S,43.59W
2005-08-01,28.355,0.264,Teresina,Brazil,5.63S,43.59W
2005-09-01,29.311999999999998,0.152,Teresina,Brazil,5.63S,43.59W
2005-10-01,29.885,0.242,Teresina,Brazil,5.63S,43.59W
2005-11-01,29.584000000000003,0.29600000000000004,Teresina,Brazil,5.63S,43.59W
2005-12-01,27.436,0.268,Teresina,Brazil,5.63S,43.59W
2006-01-01,27.183000000000003,0.643,Teresina,Brazil,5.63S,43.59W
2006-02-01,26.434,0.275,Teresina,Brazil,5.63S,43.59W
2006-03-01,26.539,0.26,Teresina,Brazil,5.63S,43.59W
2006-04-01,26.105,0.485,Teresina,Brazil,5.63S,43.59W
2006-05-01,26.416999999999998,0.47,Teresina,Brazil,5.63S,43.59W
2006-06-01,26.176,0.295,Teresina,Brazil,5.63S,43.59W
2006-07-01,26.58,0.18899999999999997,Teresina,Brazil,5.63S,43.59W
2006-08-01,27.706,0.355,Teresina,Brazil,5.63S,43.59W
2006-09-01,29.059,0.22,Teresina,Brazil,5.63S,43.59W
2006-10-01,29.132,0.373,Teresina,Brazil,5.63S,43.59W
2006-11-01,28.39,0.35700000000000004,Teresina,Brazil,5.63S,43.59W
2006-12-01,27.879,0.205,Teresina,Brazil,5.63S,43.59W
2007-01-01,28.014,0.39799999999999996,Teresina,Brazil,5.63S,43.59W
2007-02-01,25.910999999999998,0.40700000000000003,Teresina,Brazil,5.63S,43.59W
2007-03-01,26.35,0.263,Teresina,Brazil,5.63S,43.59W
2007-04-01,26.404,0.293,Teresina,Brazil,5.63S,43.59W
2007-05-01,27.148000000000003,0.314,Teresina,Brazil,5.63S,43.59W
2007-06-01,26.89,0.313,Teresina,Brazil,5.63S,43.59W
2007-07-01,27.31,0.27,Teresina,Brazil,5.63S,43.59W
2007-08-01,28.228,0.7120000000000001,Teresina,Brazil,5.63S,43.59W
2007-09-01,29.601999999999997,0.6809999999999999,Teresina,Brazil,5.63S,43.59W
2007-10-01,29.78,0.531,Teresina,Brazil,5.63S,43.59W
2007-11-01,29.533,0.33299999999999996,Teresina,Brazil,5.63S,43.59W
