8000000000003,0.444,Mariara,Venezuela,10.45N,67.91W
1843-08-01,24.681,1.974,Marivan,Iran,36.17N,45.75E
1843-09-01,19.825,1.226,Marivan,Iran,36.17N,45.75E
1843-10-01,14.356,1.901,Marivan,Iran,36.17N,45.75E
1843-11-01,7.4220000000000015,1.391,Marivan,Iran,36.17N,45.75E
1843-12-01,0.9359999999999996,2.825,Marivan,Iran,36.17N,45.75E
1844-01-01,0.09600000000000004,1.8769999999999998,Marivan,Iran,36.17N,45.75E
1844-02-01,3.136,2.491,Marivan,Iran,36.17N,45.75E
1844-03-01,6.534,2.184,Marivan,Iran,36.17N,45.75E
1844-04-01,8.828000000000003,1.75,Marivan,Iran,36.17N,45.75E
1844-05-01,15.309000000000001,1.371,Marivan,Iran,36.17N,45.75E
1844-06-01,20.693,1.585,Marivan,Iran,36.17N,45.75E
1844-07-01,26.239,1.422,Marivan,Iran,36.17N,45.75E
1844-08-01,25.422,2.253,Marivan,Iran,36.17N,45.75E
1844-09-01,20.081,1.291,Marivan,Iran,36.17N,45.75E
1844-10-01,13.499,1.327,Marivan,Iran,36.17N,45.75E
1844-11-01,6.855,1.276,Marivan,Iran,36.17N,45.75E
1844-12-01,-1.1270000000000002,1.845,Marivan,Iran,36.17N,45.75E
1845-01-01,-3.145,3.247,Marivan,Iran,36.17N,45.75E
1845-02-01,0.637,2.79,Marivan,Iran,36.17N,45.75E
1845-03-01,6.936,1.555,Marivan,Iran,36.17N,45.75E
1845-04-01,11.324000000000002,1.436,Marivan,Iran,36.17N,45.75E
1845-05-01,16.897000000000002,1.595,Marivan,Iran,36.17N,45.75E
1845-06-01,21.456999999999997,1.4180000000000001,Marivan,Iran,36.17N,45.75E
1845-07-01,25.846,1.3090000000000002,Marivan,Iran,36.17N,45.75E
1845-08-01,25.519000000000002,1.499,Marivan,Iran,36.17N,45.75E
1845-09-01,19.457,1.4509999999999998,Marivan,Iran,36.17N,45.75E
1845-10-01,14.214,1.431,Marivan,Iran,36.17N,45.75E
1845-11-01,6.727,1.7069999999999999,Marivan,Iran,36.17N,45.75E
1845-12-01,1.3499999999999996,2.639,Marivan,Iran,36.17N,45.75E
1846-01-01,0.40399999999999997,2.43,Marivan,Iran,36.17N,45.75E
1846-02-01,2.519,2.106,Marivan,Iran,36.17N,45.75E
1846-03-01,5.996,1.91,Marivan,Iran,36.17N,45.75E
1846-04-01,10.687999999999999,2.043,Marivan,Iran,36.17N,45.75E
1846-05-01,16.127,2.115,Marivan,Iran,36.17N,45.75E
1846-06-01,21.131999999999998,1.761,Marivan,Iran,36.17N,45.75E
1846-07-01,26.093000000000004,1.7380000000000002,Marivan,Iran,36.17N,45.75E
1846-08-01,25.787,1.537,Marivan,Iran,36.17N,45.75E
1846-09-01,21.189,1.696,Marivan,Iran,36.17N,45.75E
1846-10-01,14.601,1.9880000000000002,Marivan,Iran,36.17N,45.75E
1846-11-01,5.9,1.757,Marivan,Iran,36.17N,45.75E
1846-12-01,4.351,1.922,Marivan,Iran,36.17N,45.75E
1847-01-01,-1.519,5.1160000000000005,Marivan,Iran,36.17N,45.75E
1847-02-01,3.048,2.306,Marivan,Iran,36.17N,45.75E
1847-03-01,4.6629999999999985,2.27,Marivan,Iran,36.17N,45.75E
1847-04-01,11.302,1.7519999999999998,Marivan,Iran,36.17N,45.75E
1847-05-01,15.549000000000001,1.505,Marivan,Iran,36.17N,45.75E
1847-06-01,22.041999999999998,1.849,Marivan,Iran,36.17N,45.75E
1847-07-01,27.212,1.604,Marivan,Iran,36.17N,45.75E
1847-08-01,25.423000000000002,1.588,Marivan,Iran,36.17N,45.75E
1847-09-01,22.087,1.683,Marivan,Iran,36.17N,45.75E
1847-10-01,14.19,1.649,Marivan,Iran,36.17N,45.75E
1847-11-01,7.761000000000001,1.794,Marivan,Iran,36.17N,45.75E
1847-12-01,-1.9330000000000005,1.944,Marivan,Iran,36.17N,45.75E
1848-01-01,-2.665,2.377,Marivan,Iran,36.17N,45.75E
1848-02-01,0.0950000000000002,1.755,Marivan,Iran,36.17N,45.75E
1848-03-01,5.6770000000000005,1.4569999999999999,Marivan,Iran,36.17N,45.75E
1848-04-01,10.857999999999999,1.607,Marivan,Iran,36.17N,45.75E
1848-05-01,16.336,1.5959999999999999,Marivan,Iran,36.17N,45.75E
1848-06-01,22.451999999999998,1.712,Marivan,Iran,36.17N,45.75E
1848-07-01,26.368,1.986,Marivan,Iran,36.17N,45.75E
1848-08-01,25.913,1.4380000000000002,Marivan,Iran,36.17N,45.75E
1848-09-01,20.104,1.3119999999999998,Marivan,Iran,36.17N,45.75E
1848-10-01,14.7,1.185,Marivan,Iran,36.17N,45.75E
1848-11-01,8.84,1.6780000000000002,Marivan,Iran,36.17N,45.75E
1848-12-01,-0.43000000000000016,1.891,Marivan,Iran,36.17N,45.75E
1849-01-01,-1.099,2.3369999999999997,Marivan,Iran,36.17N,45.75E
1849-02-01,1.0790000000000002,1.756,Marivan,Iran,36.17N,45.75E
1849-03-01,5.1469999999999985,2.006,Marivan,Iran,36.17N,45.75E
1849-04-01,10.950999999999999,1.8530000000000002,Marivan,Iran,36.17N,45.75E
1849-05-01,16.506999999999998,1.251,Marivan,Iran,36.17N,45.75E
1849-06-01,21.565,1.609,Marivan,Iran,36.17N,45.75E
1849-07-01,25.775,1.222,Marivan,Iran,36.17N,45.75E
1849-08-01,25.586,1.335,Marivan,Iran,36.17N,45.75E
1849-09-01,20.483,1.482,Marivan,Iran,36.17N,45.75E
1849-10-01,14.924000000000001,1.3119999999999998,Marivan,Iran,36.17N,45.75E
1849-11-01,7.917000000000002,1.916,Marivan,Iran,36.17N,45.75E
1849-12-01,2.285,1.771,Marivan,Iran,36.17N,45.75E
1850-01-01,-1.286,2.041,Marivan,Iran,36.17N,45.75E
1850-02-01,0.8360000000000001,1.629,Marivan,Iran,36.17N,45.75E
1850-03-01,5.154,2.77,Marivan,Iran,36.17N,45.75E
1850-04-01,9.302,1.599,Marivan,Iran,36.17N,45.75E
1850-05-01,14.524000000000001,1.284,Marivan,Iran,36.17N,45.75E
1850-06-01,20.881,1.2790000000000001,Marivan,Iran,36.17N,45.75E
1850-07-01,26.287,1.23,Marivan,Iran,36.17N,45.75E
1850-08-01,25.253,1.7009999999999998,Marivan,Iran,36.17N,45.75E
1850-09-01,20.351,1.34,Marivan,Iran,36.17N,45.75E
1850-10-01,14.366,1.395,Marivan,Iran,36.17N,45.75E
1850-11-01,7.552,2.093,Marivan,Iran,36.17N,45.75E
1850-12-01,0.6959999999999997,1.44,Marivan,Iran,36.17N,45.75E
1851-01-01,-1.217,1.64,Marivan,Iran,36.17N,45.75E
1851-02-01,1.0140000000000002,1.5030000000000001,Marivan,Iran,36.17N,45.75E
1851-03-01,5.8119999999999985,1.6480000000000001,Marivan,Iran,36.17N,45.75E
1851-04-01,10.69,1.7619999999999998,Marivan,Iran,36.17N,45.75E
1851-05-01,19.667,1.8730000000000002,Marivan,Iran,36.17N,45.75E
1851-06-01,22.595,1.262,Marivan,Iran,36.17N,45.75E
1851-07-01,26.113000000000003,1.7209999999999999,Marivan,Iran,36.17N,45.75E
1851-08-01,26.614,1.6540000000000001,Marivan,Iran,36.17N,45.75E
1851-09-01,21.482,1.301,Marivan,Iran,36.17N,45.75E
1851-10-01,14.290999999999999,1.913,Marivan,Iran,36.17N,45.75E
1851-11-01,8.147,2.9539999999999997,Marivan,Iran,36.17N,45.75E
1851-12-01,1.11,3.417,Marivan,Iran,36.17N,45.75E
1852-01-01,-1.288,2.5789999999999997,Marivan,Iran,36.17N,45.75E
1852-02-01,1.0510000000000002,1.8559999999999999,Marivan,Iran,36.17N,45.75E
1852-03-01,4.847,2.14,Marivan,Iran,36.17N,45.75E
1852-04-01,10.304,1.754,Marivan,Iran,36.17N,45.75E
1852-05-01,16.044,1.171,Marivan,Iran,36.17N,45.75E
1852-06-01,21.939,1.507,Marivan,Iran,36.17N,45.75E
1852-07-01,25.793000000000003,1.4280000000000002,Marivan,Iran,36.17N,45.75E
1852-08-01,25.472,1.192,Marivan,Iran,36.17N,45.75E
1852-09-01,20.651999999999997,1.229,Marivan,Iran,36.17N,45.75E
1852-10-01,15.884,1.439,Marivan,Iran,36.17N,45.75E
1852-11-01,8.453000000000001,1.653,Marivan,Iran,36.17N,45.75E
1852-12-01,2.299,1.839,Marivan,Iran,36.17N,45.75E
1853-01-01,-0.628,1.733,Marivan,Iran,36.17N,45.75E
1853-02-01,1.218,1.919,Marivan,Iran,36.17N,45.75E
1853-03-01,7.013,1.78,Marivan,Iran,36.17N,45.75E
1853-04-01,11.212,1.4609999999999999,Marivan,Iran,36.17N,45.75E
1853-05-01,16.782999999999998,1.371,Marivan,Iran,36.17N,45.75E
1853-06-01,22.147,1.2890000000000001,Marivan,Iran,36.17N,45.75E
1853-07-01,25.925,0.992,Marivan,Iran,36.17N,45.75E
1853-08-01,26.512,1.157,Marivan,Iran,36.17N,45.75E
1853-09-01,20.497,1.24,Marivan,Iran,36.17N,45.75E
1853-10-01,15.368,1.42,Marivan,Iran,36.17N,45.75E
1853-11-01,7.082000000000002,2.093,Marivan,Iran,36.17N,45.75E
1853-12-01,1.4429999999999998,1.675,Marivan,Iran,36.17N,45.75E
1854-01-01,-0.9590000000000001,2.016,Marivan,Iran,36.17N,45.75E
1854-02-01,0.4510000000000001,1.776,Marivan,Iran,36.17N,45.75E
1854-03-01,3.719,1.716,Marivan,Iran,36.17N,45.75E
1854-04-01,7.876000000000001,1.3359999999999999,Marivan,Iran,36.17N,45.75E
1854-05-01,16.137999999999998,1.225,Marivan,Iran,36.17N,45.75E
1854-06-01,20.814,1.6540000000000001,Marivan,Iran,36.17N,45.75E
1854-07-01,24.813,1.462,Marivan,Iran,36.17N,45.75E
1854-08-01,24.33,1.4780000000000002,Marivan,Iran,36.17N,45.75E
1854-09-01,19.78,1.295,Marivan,Iran,36.17N,45.75E
1854-10-01,16.070999999999998,1.396,Marivan,Iran,36.17N,45.75E
1854-11-01,8.887,1.705,Marivan,Iran,36.17N,45.75E
1854-12-01,3.531,2.484,Marivan,Iran,36.17N,45.75E
1855-01-01,-1.115,2.43,Marivan,Iran,36.17N,45.75E
1855-02-01,2.415,2.324,Marivan,Iran,36.17N,45.75E
1855-03-01,7.399999999999999,1.7930000000000001,Marivan,Iran,36.17N,45.75E
1855-04-01,11.311,1.521,Marivan,Iran,36.17N,45.75E
1855-05-01,17.436999999999998,1.3969999999999998,Marivan,Iran,36.17N,45.75E
1855-06-01,22.607000000000006,1.46,Marivan,Iran,36.17N,45.75E
1855-07-01,25.894,1.13,Marivan,Iran,36.17N,45.75E
1855-08-01,25.793000000000003,1.254,Marivan,Iran,36.17N,45.75E
1855-09-01,18.796,1.157,Marivan,Iran,36.17N,45.75E
1855-10-01,14.28,1.321,Marivan,Iran,36.17N,45.75E
1855-11-01,6.885000000000002,1.3219999999999998,Marivan,Iran,36.17N,45.75E
1855-12-01,1.5229999999999997,2.228,Marivan,Iran,36.17N,45.75E
1856-01-01,-1.044,1.8330000000000002,Marivan,Iran,36.17N,45.75E
1856-02-01,0.8960000000000001,1.6269999999999998,Marivan,Iran,36.17N,45.75E
1856-03-01,3.3519999999999994,1.875,Marivan,Iran,36.17N,45.75E
1856-04-01,9.158,1.335,Marivan,Iran,36.17N,45.75E
1856-05-01,16.48,1.6480000000000001,Marivan,Iran,36.17N,45.75E
1856-06-01,22.608,1.722,Marivan,Iran,36.17N,45.75E
1856-07-01,25.862,1.3359999999999999,Marivan,Iran,36.17N,45.75E
1856-08-01,25.934,1.29,Marivan,Iran,36.17N,45.75E
1856-09-01,21.037,1.515,Marivan,Iran,36.17N,45.75E
1856-10-01,13.050999999999998,1.139,Marivan,Iran,36.17N,45.75E
1856-11-01,7.025,1.354,Marivan,Iran,36.17N,45.75E
1856-12-01,2.807,2.248,Marivan,Iran,36.17N,45.75E
1857-01-01,1.0779999999999998,2.399,Marivan,Iran,36.17N,45.75E
1857-02-01,-1.1129999999999998,2.0580000000000003,Marivan,Iran,36.17N,45.75E
1857-03-01,4.036999999999999,1.621,Marivan,Iran,36.17N,45.75E
1857-04-01,9.965,1.228,Marivan,Iran,36.17N,45.75E
1857-05-01,16.192,1.383,Marivan,Iran,36.17N,45.75E
1857-06-01,21.296000000000006,1.35,Marivan,Iran,36.17N,45.75E
1857-07-01,25.186999999999998,0.991,Marivan,Iran,36.17N,45.75E
1857-08-01,24.826,1.611,Marivan,Iran,36.17N,45.75E
1857-09-01,20.202,1.682,Marivan,Iran,36.17N,45.75E
1857-10-01,13.467,1.41,Marivan,Iran,36.17N,45.75E
1857-11-01,6.4639999999999995,1.3419999999999999,Marivan,Iran,36.17N,45.75E
1857-12-01,0.18799999999999967,1.3940000000000001,Marivan,Iran,36.17N,45.75E
1858-01-01,-2.825,2.986,Marivan,Iran,36.17N,45.75E
1858-02-01,-0.5539999999999999,1.4040000000000001,Marivan,Iran,36.17N,45.75E
1858-03-01,5.525,1.801,Marivan,Iran,36.17N,45.75E
1858-04-01,10.415999999999999,1.419,Marivan,Iran,36.17N,45.75E
1858-05-01,16.358999999999998,1.587,Marivan,Iran,36.17N,45.75E
1858-06-01,22.828000000000007,1.462,Marivan,Iran,36.17N,45.75E
1858-07-01,26.601,1.506,Marivan,Iran,36.17N,45.75E
1858-08-01,25.425,1.339,Marivan,Iran,36.17N,45.75E
1858-09-01,19.593,1.561,Marivan,Iran,36.17N,45.75E
1858-10-01,14.922,1.7280000000000002,Marivan,Iran,36.17N,45.75E
1858-11-01,10.06,1.547,Marivan,Iran,36.17N,45.75E
1858-12-01,1.7449999999999997,1.818,Marivan,Iran,36.17N,45.75E
1859-01-01,-2.884,1.544,Marivan,Iran,36.17N,45.75E
1859-02-01,-0.4439999999999997,2.602,Marivan,Iran,36.17N,45.75E
1859-03-01,6.018,1.413,Marivan,Iran,36.17N,45.75E
1859-04-01,11.761,1.595,Marivan,Iran,36.17N,45.75E
1859-05-01,17.456,1.1540000000000001,Marivan,Iran,36.17N,45.75E
1859-06-01,22.212000000000003,1.969,Marivan,Iran,36.17N,45.75E
1859-07-01,25.701999999999998,1.2919999999999998,Marivan,Iran,36.17N,45.75E
1859-08-01,26.047,1.382,Marivan,Iran,36.17N,45.75E
1859-09-01,22.803,1.016,Marivan,Iran,36.17N,45.75E
1859-10-01,15.033,1.3730000000000002,Marivan,Iran,36.17N,45.75E
1859-11-01,7.574000000000002,1.788,Marivan,Iran,36.17N,45.75E
1859-12-01,1.927,3.0639999999999996,Marivan,Iran,36.17N,45.75E
1860-01-01,-0.8240000000000001,1.652,Marivan,Iran,36.17N,45.75E
1860-02-01,0.9200000000000002,1.421,Marivan,Iran,36.17N,45.75E
1860-03-01,2.903,1.6019999999999999,Marivan,Iran,36.17N,45.75E
1860-04-01,11.159,1.496,Marivan,Iran,36.17N,45.75E
1860-05-01,16.516,1.19,Marivan,Iran,36.17N,45.75E
1860-06-01,23.406999999999996,1.104,Marivan,Iran,36.17N,45.75E
1860-07-01,27.171999999999997,1.123,Marivan,Iran,36.17N,45.75E
1860-08-01,26.199,1.234,Marivan,Iran,36.17N,45.75E
1860-09-01,21.788,1.5319999999999998,Marivan,Iran,36.17N,45.75E
1860-10-01,14.784,1.145,Marivan,Iran,36.17N,45.75E
1860-11-01,7.752000000000002,1.931,Marivan,Iran,36.17N,45.75E
1860-12-01,1.3929999999999998,1.744,Marivan,Iran,36.17N,45.75E
1861-01-01,-2.894,1.6469999999999998,Marivan,Iran,36.17N,45.75E
1861-02-01,-1.454,1.402,Marivan,Iran,36.17N,45.75E
1861-03-01,5.382000000000001,1.2,Marivan,Iran,36.17N,45.75E
1861-04-01,9.485,1.158,Marivan,Iran,36.17N,45.75E
1861-05-01,14.598,1.092,Marivan,Iran,36.17N,45.75E
1861-06-01,21.019,1.484,Marivan,Iran,36.17N,45.75E
1861-07-01,26.198,1.351,Marivan,Iran,36.17N,45.75E
1861-08-01,24.706,0.816,Marivan,Iran,36.17N,45.75E
1861-09-01,19.884,1.077,Marivan,Iran,36.17N,45.75E
1861-10-01,13.124,1.225,Marivan,Iran,36.17N,45.75E
1861-11-01,8.818999999999999,1.354,Marivan,Iran,36.17N,45.75E
1861-12-01,0.9049999999999998,1.756,Marivan,Iran,36.17N,45.75E
1862-01-01,-2.335,1.3940000000000001,Marivan,Iran,36.17N,45.75E
1862-02-01,-0.772,1.304,Marivan,Iran,36.17N,45.75E
1862-03-01,5.771,1.207,Marivan,Iran,36.17N,45.75E
1862-04-01,10.760000000000002,1.055,Marivan,Iran,36.17N,45.75E
1862-05-01,16.461,1.382,Marivan,Iran,36.17N,45.75E
1862-06-01,23.178,1.199,Marivan,Iran,36.17N,45.75E
1862-07-01,26.22,1.17,Marivan,Iran,36.17N,45.75E
1862-08-01,24.354,1.003,Marivan,Iran,36.17N,45.75E
1862-09-01,18.787,1.444,Marivan,Iran,36.17N,45.75E
1862-10-01,11.27,0.941,Marivan,Iran,36.17N,45.75E
1862-11-01,5.936000000000001,1.824,Marivan,Iran,36.17N,45.75E
1862-12-01,-1.286,2.325,Marivan,Iran,36.17N,45.75E
1863-01-01,-2.568,1.7819999999999998,Marivan,Iran,36.17N,45.75E
1863-02-01,-0.8840000000000001,2.6069999999999998,Marivan,Iran,36.17N,45.75E
1863-03-01,5.891,1.082,Marivan,Iran,36.17N,45.75E
1863-04-01,9.506,1.59,Marivan,Iran,36.17N,45.75E
1863-05-01,16.662,1.71,Marivan,Iran,36.17N,45.75E
1863-06-01,21.836,1.305,Marivan,Iran,36.17N,45.75E
1863-07-01,26.197,1.355,Marivan,Iran,36.17N,45.75E
1863-08-01,24.468000000000004,1.043,Marivan,Iran,36.17N,45.75E
1863-09-01,20.54,1.5130000000000001,Marivan,Iran,36.17N,45.75E
1863-10-01,13.738,1.129,Marivan,Iran,36.17N,45.75E
1863-11-01,7.304000000000001,1.23,Marivan,Iran,36.17N,45.75E
1863-12-01,0.8149999999999997,1.633,Marivan,Iran,36.17N,45.75E
1864-01-01,-3.975,1.771,Marivan,Iran,36.17N,45.75E
1864-02-01,-1.159,1.733,Marivan,Iran,36.17N,45.75E
1864-03-01,6.252999999999999,1.334,Marivan,Iran,36.17N,45.75E
1864-04-01,11.520999999999999,1.1640000000000001,Marivan,Iran,36.17N,45.75E
1864-05-01,15.813,0.995,Marivan,Iran,36.17N,45.75E
1864-06-01,22.794,1.567,Marivan,Iran,36.17N,45.75E
1864-07-01,25.151999999999997,0.978,Marivan,Iran,36.17N,45.75E
1864-08-01,25.325,1.2990000000000002,Marivan,Iran,36.17N,45.75E
1864-09-01,21.41,1.472,Marivan,Iran,36.17N,45.75E
1864-10-01,15.292,0.9520000000000001,Marivan,Iran,36.17N,45.75E
1864-11-01,8.620000000000001,1.3980000000000001,Marivan,Iran,36.17N,45.75E
1864-12-01,0.8059999999999998,1.547,Marivan,Iran,36.17N,45.75E
1865-01-01,1.1270000000000002,1.5530000000000002,Marivan,Iran,36.17N,45.75E
1865-02-01,2.343,1.4580000000000002,Marivan,Iran,36.17N,45.75E
1865-03-01,6.4270000000000005,1.092,Marivan,Iran,36.17N,45.75E
1865-04-01,9.533,1.327,Marivan,Iran,36.17N,45.75E
1865-05-01,15.413999999999998,1.587,Marivan,Iran,36.17N,45.75E
1865-06-01,21.743,1.3130000000000002,Marivan,Iran,36.17N,45.75E
1865-07-01,25.928,1.095,Marivan,Iran,36.17N,45.75E
1865-08-01,25.724,1.036,Marivan,Iran,36.17N,45.75E
1865-09-01,20.117,1.2790000000000001,Marivan,Iran,36.17N,45.75E
1865-10-01,16.011,1.1159999999999999,Marivan,Iran,36.17N,45.75E
1865-11-01,8.488000000000001,1.4140000000000001,Marivan,Iran,36.17N,45.75E
1865-12-01,-0.746,1.607,Marivan,Iran,36.17N,45.75E
1866-01-01,-1.3330000000000002,1.254,Marivan,Iran,36.17N,45.75E
1866-02-01,1.2480000000000002,1.676,Marivan,Iran,36.17N,45.75E
1866-03-01,5.856,1.29,Marivan,Iran,36.17N,45.75E
1866-04-01,9.777999999999999,1.492,Marivan,Iran,36.17N,45.75E
1866-05-01,16.323,1.294,Marivan,Iran,36.17N,45.75E
1866-06-01,21.469,0.843,Marivan,Iran,36.17N,45.75E
1866-07-01,26.171,1.215,Marivan,Iran,36.17N,45.75E
1866-08-01,26.545,1.0390000000000001,Marivan,Iran,36.17N,45.75E
1866-09-01,20.675,0.862,Marivan,Iran,36.17N,45.75E
1866-10-01,13.534,1.182,Marivan,Iran,36.17N,45.75E
1866-11-01,6.7139999999999995,1.125,Marivan,Iran,36.17N,45.75E
1866-12-01,1.986,1.396,Marivan,Iran,36.17N,45.75E
1867-01-01,-0.605,2.262,Marivan,Iran,36.17N,45.75E
1867-02-01,0.3320000000000001,1.25,Marivan,Iran,36.17N,45.75E
1867-03-01,5.8660000000000005,1.3030000000000002,Marivan,Iran,36.17N,45.75E
1867-04-01,10.904000000000002,1.254,Marivan,Iran,36.17N,45.75E
1867-05-01,16.875999999999998,1.082,Marivan,Iran,36.17N,45.75E
1867-06-01,21.381999999999998,1.113,Marivan,Iran,36.17N,45.75E
1867-07-01,25.348000000000003,1.349,Marivan,Iran,36.17N,45.75E
1867-08-01,24.92,1.1640000000000001,Marivan,Iran,36.17N,45.75E
1867-09-01,20.008,1.304,Marivan,Iran,36.17N,45.75E
1867-10-01,14.435,0.978,Marivan,Iran,36.17N,45.75E
1867-11-01,8.609,1.974,Marivan,Iran,36.17N,45.75E
1867-12-01,2.704,2.0,Marivan,Iran,36.17N,45.75E
1868-01-01,0.117,1.368,Marivan,Iran,36.17N,45.75E
1868-02-01,-1.0249999999999997,1.959,Marivan,Iran,36.17N,45.75E
1868-03-01,5.722,1.3230000000000002,Marivan,Iran,36.17N,45.75E
1868-04-01,9.804,2.11,Marivan,Iran,36.17N,45.75E
1868-05-01,15.945,1.217,Marivan,Iran,36.17N,45.75E
1868-06-01,21.559,1.06,Marivan,Iran,36.17N,45.75E
1868-07-01,25.945,1.195,Marivan,Iran,36.17N,45.75E
1868-08-01,25.252,0.976,Marivan,Iran,36.17N,45.75E
1868-09-01,21.163,0.993,Marivan,Iran,36.17N,45.75E
1868-10-01,17.169,1.474,Marivan,Iran,36.17N,45.75E
1868-11-01,8.511000000000001,1.599,Marivan,Iran,36.17N,45.75E
1868-12-01,1.6549999999999998,1.3119999999999998,Marivan,Iran,36.17N,45.75E
1869-01-01,-1.3849999999999998,2.104,Marivan,Iran,36.17N,45.75E
1869-02-01,0.942,1.5959999999999999,Marivan,Iran,36.17N,45.75E
1869-03-01,6.416,1.805,Marivan,Iran,36.17N,45.75E
1869-04-01,9.888,1.8319999999999999,Marivan,Iran,36.17N,45.75E
1869-05-01,17.229,1.3559999999999999,Marivan,Iran,36.17N,45.75E
1869-06-01,23.453000000000007,1.12,Marivan,Iran,36.17N,45.75E
1869-07-01,25.552,1.229,Marivan,Iran,36.17N,45.75E
1869-08-01,26.818,1.34,Marivan,Iran,36.17N,45.75E
1869-09-01,20.956999999999997,0.982,Marivan,Iran,36.17N,45.75E
1869-10-01,15.152999999999999,1.376,Marivan,Iran,36.17N,45.75E
1869-11-01,8.33,0.9940000000000001,Marivan,Iran,36.17N,45.75E
1869-12-01,1.6359999999999997,1.412,Marivan,Iran,36.17N,45.75E
1870-01-01,0.42,1.545,Marivan,Iran,36.17N,45.75E
1870-02-01,0.4720000000000002,1.6569999999999998,Marivan,Iran,36.17N,45.75E
1870-03-01,7.366999999999999,1.41,Marivan,Iran,36.17N,45.75E
1870-04-01,8.787,1.7180000000000002,Marivan,Iran,36.17N,45.75E
1870-05-01,17.7,1.216,Marivan,Iran,36.17N,45.75E
1870-06-01,20.869,1.319,Marivan,Iran,36.17N,45.75E
1870-07-01,24.968000000000004,1.079,Marivan,Iran,36.17N,45.75E
1870-08-01,26.108,1.415,Marivan,Iran,36.17N,45.75E
1870-09-01,21.357,0.847,Marivan,Iran,36.17N,45.75E
1870-10-01,13.327,1.287,Marivan,Iran,36.17N,45.75E
1870-11-01,8.596,2.0980000000000003,Marivan,Iran,36.17N,45.75E
1870-12-01,2.945,1.5730000000000002,Marivan,Iran,36.17N,45.75E
1871-01-01,-0.454,1.5290000000000001,Marivan,Iran,36.17N,45.75E
1871-02-01,0.425,1.6130000000000002,Marivan,Iran,36.17N,45.75E
1871-03-01,4.751,1.8330000000000002,Marivan,Iran,36.17N,45.75E
1871-04-01,11.414,1.307,Marivan,Iran,36.17N,45.75E
1871-05-01,16.913,1.386,Marivan,Iran,36.17N,45.75E
1871-06-01,21.49,1.265,Marivan,Iran,36.17N,45.75E
1871-07-01,25.666999999999998,1.78,Marivan,Iran,36.17N,45.75E
1871-08-01,25.895,1.506,Marivan,Iran,36.17N,45.75E
1871-09-01,20.247,0.868,Marivan,Iran,36.17N,45.75E
1871-10-01,13.950999999999999,2.024,Marivan,Iran,36.17N,45.75E
1871-11-01,7.510000000000002,2.182,Marivan,Iran,36.17N,45.75E
1871-12-01,2.299,1.3330000000000002,Marivan,Iran,36.17N,45.75E
1872-01-01,-0.665,2.204,Marivan,Iran,36.17N,45.75E
1872-02-01,-0.7179999999999997,1.6880000000000002,Marivan,Iran,36.17N,45.75E
1872-03-01,6.555,1.505,Marivan,Iran,36.17N,45.75E
1872-04-01,12.644,1.854,Marivan,Iran,36.17N,45.75E
1872-05-01,17.182000000000002,1.127,Marivan,Iran,36.17N,45.75E
1872-06-01,21.496,1.297,Marivan,Iran,36.17N,45.75E
1872-07-01,26.105,1.922,Marivan,Iran,36.17N,45.75E
1872-08-01,26.29,1.245,Marivan,Iran,36.17N,45.75E
1872-09-01,22.068,1.016,Marivan,Iran,36.17N,45.75E
1872-10-01,14.841,0.892,Marivan,Iran,36.17N,45.75E
1872-11-01,9.236,1.476,Marivan,Iran,36.17N,45.75E
1872-12-01,2.654,2.114,Marivan,Iran,36.17N,45.75E
1873-01-01,1.0619999999999998,1.829,Marivan,Iran,36.17N,45.75E
1873-02-01,1.911,1.516,Marivan,Iran,36.17N,45.75E
1873-03-01,6.409,1.239,Marivan,Iran,36.17N,45.75E
1873-04-01,12.08,1.5659999999999998,Marivan,Iran,36.17N,45.75E
1873-05-01,18.234,1.258,Marivan,Iran,36.17N,45.75E
1873-06-01,21.589,0.95,Marivan,Iran,36.17N,45.75E
1873-07-01,25.578000000000003,0.941,Marivan,Iran,36.17N,45.75E
1873-08-01,25.539,0.787,Marivan,Iran,36.17N,45.75E
1873-09-01,21.001,1.3159999999999998,Marivan,Iran,36.17N,45.75E
1873-10-01,15.4,1.122,Marivan,Iran,36.17N,45.75E
1873-11-01,8.271,0.9179999999999999,Marivan,Iran,36.17N,45.75E
1873-12-01,1.7299999999999998,1.474,Marivan,Iran,36.17N,45.75E
1874-01-01,-0.879,1.6130000000000002,Marivan,Iran,36.17N,45.75E
1874-02-01,0.2790000000000001,1.212,Marivan,Iran,36.17N,45.75E
1874-03-01,1.978,1.371,Marivan,Iran,36.17N,45.75E
1874-04-01,11.198,1.166,Marivan,Iran,36.17N,45.75E
1874-05-01,17.599999999999994,1.2009999999999998,Marivan,Iran,36.17N,45.75E
1874-06-01,21.389000000000006,1.2919999999999998,Marivan,Iran,36.17N,45.75E
1874-07-01,25.065,0.8320000000000001,Marivan,Iran,36.17N,45.75E
1874-08-01,25.676,1.6230000000000002,Marivan,Iran,36.17N,45.75E
1874-09-01,20.566,0.86,Marivan,Iran,36.17N,45.75E
1874-10-01,14.147,0.934,Marivan,Iran,36.17N,45.75E
1874-11-01,9.572,1.263,Marivan,Iran,36.17N,45.75E
1874-12-01,4.646,2.096,Marivan,Iran,36.17N,45.75E
1875-01-01,-1.247,1.6269999999999998,Marivan,Iran,36.17N,45.75E
