075000000000006,1.085,Pontianak,Indonesia,0.80S,110.09E
1897-01-01,26.231,1.178,Pontianak,Indonesia,0.80S,110.09E
1897-02-01,26.991999999999997,0.516,Pontianak,Indonesia,0.80S,110.09E
1897-03-01,26.551,0.6459999999999999,Pontianak,Indonesia,0.80S,110.09E
1897-04-01,26.138,0.541,Pontianak,Indonesia,0.80S,110.09E
1897-05-01,26.613000000000003,0.638,Pontianak,Indonesia,0.80S,110.09E
1897-06-01,26.875999999999998,0.596,Pontianak,Indonesia,0.80S,110.09E
1897-07-01,26.513,0.42700000000000005,Pontianak,Indonesia,0.80S,110.09E
1897-08-01,26.863000000000003,0.513,Pontianak,Indonesia,0.80S,110.09E
1897-09-01,26.259,0.397,Pontianak,Indonesia,0.80S,110.09E
1897-10-01,26.085,0.526,Pontianak,Indonesia,0.80S,110.09E
1897-11-01,25.862,0.695,Pontianak,Indonesia,0.80S,110.09E
1897-12-01,25.915,0.6559999999999999,Pontianak,Indonesia,0.80S,110.09E
1898-01-01,25.716,0.953,Pontianak,Indonesia,0.80S,110.09E
1898-02-01,25.831,0.513,Pontianak,Indonesia,0.80S,110.09E
1898-03-01,26.055,0.569,Pontianak,Indonesia,0.80S,110.09E
1898-04-01,25.899,0.643,Pontianak,Indonesia,0.80S,110.09E
1898-05-01,26.333,0.606,Pontianak,Indonesia,0.80S,110.09E
1898-06-01,26.616,0.4,Pontianak,Indonesia,0.80S,110.09E
1898-07-01,26.155,0.44,Pontianak,Indonesia,0.80S,110.09E
1898-08-01,26.709,0.511,Pontianak,Indonesia,0.80S,110.09E
1898-09-01,26.148000000000003,0.625,Pontianak,Indonesia,0.80S,110.09E
1898-10-01,25.944000000000003,0.515,Pontianak,Indonesia,0.80S,110.09E
1898-11-01,25.619,0.812,Pontianak,Indonesia,0.80S,110.09E
1898-12-01,25.457,1.129,Pontianak,Indonesia,0.80S,110.09E
1899-01-01,25.449,1.253,Pontianak,Indonesia,0.80S,110.09E
1899-02-01,25.706999999999997,0.797,Pontianak,Indonesia,0.80S,110.09E
1899-03-01,25.408,0.652,Pontianak,Indonesia,0.80S,110.09E
1899-04-01,25.552,0.609,Pontianak,Indonesia,0.80S,110.09E
1899-05-01,26.666999999999998,0.465,Pontianak,Indonesia,0.80S,110.09E
1899-06-01,25.944000000000003,0.523,Pontianak,Indonesia,0.80S,110.09E
1899-07-01,26.568,0.386,Pontianak,Indonesia,0.80S,110.09E
1899-08-01,26.531,0.621,Pontianak,Indonesia,0.80S,110.09E
1899-09-01,26.209000000000003,0.537,Pontianak,Indonesia,0.80S,110.09E
1899-10-01,25.978,0.397,Pontianak,Indonesia,0.80S,110.09E
1899-11-01,25.363000000000003,1.057,Pontianak,Indonesia,0.80S,110.09E
1899-12-01,25.311,0.5670000000000001,Pontianak,Indonesia,0.80S,110.09E
1900-01-01,26.119,0.762,Pontianak,Indonesia,0.80S,110.09E
1900-02-01,26.235,0.8340000000000001,Pontianak,Indonesia,0.80S,110.09E
