9999999999998,0.426,Amol,Iran,36.17N,51.71E
1925-06-01,22.8,1.6840000000000002,Amol,Iran,36.17N,51.71E
1925-07-01,25.415,1.91,Amol,Iran,36.17N,51.71E
1925-08-01,25.677,0.746,Amol,Iran,36.17N,51.71E
1925-09-01,21.876,0.826,Amol,Iran,36.17N,51.71E
1925-10-01,14.335,0.8170000000000001,Amol,Iran,36.17N,51.71E
1925-11-01,8.344999999999999,1.453,Amol,Iran,36.17N,51.71E
1925-12-01,6.779,0.35700000000000004,Amol,Iran,36.17N,51.71E
1926-01-01,2.7739999999999996,0.397,Amol,Iran,36.17N,51.71E
1926-02-01,2.807,1.1179999999999999,Amol,Iran,36.17N,51.71E
1926-03-01,7.174,0.657,Amol,Iran,36.17N,51.71E
1926-04-01,10.437000000000001,0.845,Amol,Iran,36.17N,51.71E
1926-05-01,18.326,0.7709999999999999,Amol,Iran,36.17N,51.71E
1926-06-01,21.235000000000007,0.83,Amol,Iran,36.17N,51.71E
1926-07-01,24.285999999999998,0.9109999999999999,Amol,Iran,36.17N,51.71E
1926-08-01,25.475,1.061,Amol,Iran,36.17N,51.71E
1926-09-01,20.032,1.376,Amol,Iran,36.17N,51.71E
1926-10-01,14.908,0.9790000000000001,Amol,Iran,36.17N,51.71E
1926-11-01,8.068999999999999,0.336,Amol,Iran,36.17N,51.71E
1926-12-01,5.0379999999999985,0.6859999999999999,Amol,Iran,36.17N,51.71E
1927-01-01,-0.4660000000000002,0.597,Amol,Iran,36.17N,51.71E
1927-02-01,1.605,0.737,Amol,Iran,36.17N,51.71E
1927-03-01,5.888,0.66,Amol,Iran,36.17N,51.71E
1927-04-01,10.822000000000001,0.853,Amol,Iran,36.17N,51.71E
1927-05-01,17.409000000000002,0.769,Amol,Iran,36.17N,51.71E
1927-06-01,22.9,0.406,Amol,Iran,36.17N,51.71E
1927-07-01,25.071,0.54,Amol,Iran,36.17N,51.71E
1927-08-01,24.935,0.35,Amol,Iran,36.17N,51.71E
1927-09-01,21.33,0.42200000000000004,Amol,Iran,36.17N,51.71E
1927-10-01,17.586,0.604,Amol,Iran,36.17N,51.71E
1927-11-01,9.649,0.693,Amol,Iran,36.17N,51.71E
1927-12-01,3.123,0.527,Amol,Iran,36.17N,51.71E
1928-01-01,0.010999999999999677,0.526,Amol,Iran,36.17N,51.71E
1928-02-01,2.139,0.54,Amol,Iran,36.17N,51.71E
1928-03-01,3.3429999999999995,0.603,Amol,Iran,36.17N,51.71E
1928-04-01,13.252,1.214,Amol,Iran,36.17N,51.71E
1928-05-01,17.019000000000002,0.386,Amol,Iran,36.17N,51.71E
1928-06-01,22.439,1.171,Amol,Iran,36.17N,51.71E
1928-07-01,23.769000000000002,0.32899999999999996,Amol,Iran,36.17N,51.71E
1928-08-01,22.377,0.741,Amol,Iran,36.17N,51.71E
1928-09-01,20.338,0.392,Amol,Iran,36.17N,51.71E
1928-10-01,14.175,0.852,Amol,Iran,36.17N,51.71E
1928-11-01,9.416,1.046,Amol,Iran,36.17N,51.71E
1928-12-01,3.786,0.423,Amol,Iran,36.17N,51.71E
1929-01-01,-0.1900000000000004,0.473,Amol,Iran,36.17N,51.71E
1929-02-01,1.0909999999999995,0.675,Amol,Iran,36.17N,51.71E
1929-03-01,5.318,1.693,Amol,Iran,36.17N,51.71E
1929-04-01,11.812000000000001,3.406,Amol,Iran,36.17N,51.71E
1929-05-01,18.422,0.56,Amol,Iran,36.17N,51.71E
1929-06-01,20.674000000000003,0.41200000000000003,Amol,Iran,36.17N,51.71E
1929-07-01,23.965999999999998,0.28600000000000003,Amol,Iran,36.17N,51.71E
1929-08-01,23.706,1.9080000000000001,Amol,Iran,36.17N,51.71E
1929-09-01,21.837,0.8370000000000001,Amol,Iran,36.17N,51.71E
1929-10-01,14.997,0.621,Amol,Iran,36.17N,51.71E
1929-11-01,8.943999999999997,0.46,Amol,Iran,36.17N,51.71E
1929-12-01,0.7769999999999997,0.8290000000000001,Amol,Iran,36.17N,51.71E
1930-01-01,-0.9620000000000002,0.773,Amol,Iran,36.17N,51.71E
1930-02-01,1.5419999999999998,0.9440000000000001,Amol,Iran,36.17N,51.71E
1930-03-01,6.446000000000001,0.9,Amol,Iran,36.17N,51.71E
1930-04-01,10.95,0.555,Amol,Iran,36.17N,51.71E
1930-05-01,17.218,0.40299999999999997,Amol,Iran,36.17N,51.71E
1930-06-01,21.212,0.57,Amol,Iran,36.17N,51.71E
1930-07-01,25.090999999999998,0.754,Amol,Iran,36.17N,51.71E
1930-08-01,24.749000000000002,2.1390000000000002,Amol,Iran,36.17N,51.71E
1930-09-01,19.855,0.309,Amol,Iran,36.17N,51.71E
1930-10-01,14.06,0.62,Amol,Iran,36.17N,51.71E
1930-11-01,9.983,1.043,Amol,Iran,36.17N,51.71E
1930-12-01,3.019,0.428,Amol,Iran,36.17N,51.71E
1931-01-01,1.093,1.063,Amol,Iran,36.17N,51.71E
1931-02-01,-0.7979999999999999,1.619,Amol,Iran,36.17N,51.71E
1931-03-01,7.16,0.29100000000000004,Amol,Iran,36.17N,51.71E
1931-04-01,10.675,1.847,Amol,Iran,36.17N,51.71E
1931-05-01,15.706,0.28300000000000003,Amol,Iran,36.17N,51.71E
1931-06-01,21.044,0.248,Amol,Iran,36.17N,51.71E
1931-07-01,26.088,0.265,Amol,Iran,36.17N,51.71E
1931-08-01,24.663,0.254,Amol,Iran,36.17N,51.71E
1931-09-01,21.985,0.39299999999999996,Amol,Iran,36.17N,51.71E
1931-10-01,14.295,0.40700000000000003,Amol,Iran,36.17N,51.71E
1931-11-01,7.5939999999999985,0.508,Amol,Iran,36.17N,51.71E
1931-12-01,1.6449999999999996,0.446,Amol,Iran,36.17N,51.71E
