942999999999998,1.422,Tilburg,Netherlands,52.24N,5.26E
1869-07-01,17.698999999999995,0.8009999999999999,Tilburg,Netherlands,52.24N,5.26E
1869-08-01,15.357,0.7440000000000001,Tilburg,Netherlands,52.24N,5.26E
1869-09-01,14.929,0.589,Tilburg,Netherlands,52.24N,5.26E
1869-10-01,8.706,0.7609999999999999,Tilburg,Netherlands,52.24N,5.26E
1869-11-01,4.968,0.413,Tilburg,Netherlands,52.24N,5.26E
1869-12-01,1.151,1.03,Tilburg,Netherlands,52.24N,5.26E
1870-01-01,1.683,1.033,Tilburg,Netherlands,52.24N,5.26E
1870-02-01,-1.144,1.329,Tilburg,Netherlands,52.24N,5.26E
1870-03-01,3.0970000000000004,0.767,Tilburg,Netherlands,52.24N,5.26E
1870-04-01,8.822000000000003,0.867,Tilburg,Netherlands,52.24N,5.26E
1870-05-01,11.94,0.6990000000000001,Tilburg,Netherlands,52.24N,5.26E
1870-06-01,14.966,0.835,Tilburg,Netherlands,52.24N,5.26E
1870-07-01,18.218,0.564,Tilburg,Netherlands,52.24N,5.26E
1870-08-01,15.962000000000002,0.301,Tilburg,Netherlands,52.24N,5.26E
1870-09-01,13.033,0.5710000000000001,Tilburg,Netherlands,52.24N,5.26E
1870-10-01,9.004999999999997,0.75,Tilburg,Netherlands,52.24N,5.26E
1870-11-01,5.038,1.3980000000000001,Tilburg,Netherlands,52.24N,5.26E
1870-12-01,-2.101,1.074,Tilburg,Netherlands,52.24N,5.26E
1871-01-01,-2.6410000000000005,1.137,Tilburg,Netherlands,52.24N,5.26E
1871-02-01,2.204,1.694,Tilburg,Netherlands,52.24N,5.26E
1871-03-01,6.372000000000001,1.099,Tilburg,Netherlands,52.24N,5.26E
1871-04-01,7.395,0.8809999999999999,Tilburg,Netherlands,52.24N,5.26E
1871-05-01,10.162,0.8440000000000001,Tilburg,Netherlands,52.24N,5.26E
1871-06-01,13.271999999999998,0.41200000000000003,Tilburg,Netherlands,52.24N,5.26E
1871-07-01,16.927,0.262,Tilburg,Netherlands,52.24N,5.26E
1871-08-01,18.041,0.589,Tilburg,Netherlands,52.24N,5.26E
1871-09-01,14.334000000000001,0.249,Tilburg,Netherlands,52.24N,5.26E
1871-10-01,7.893999999999999,0.598,Tilburg,Netherlands,52.24N,5.26E
1871-11-01,2.007,0.778,Tilburg,Netherlands,52.24N,5.26E
1871-12-01,-0.4649999999999999,0.893,Tilburg,Netherlands,52.24N,5.26E
1872-01-01,2.925,2.064,Tilburg,Netherlands,52.24N,5.26E
1872-02-01,4.7189999999999985,1.47,Tilburg,Netherlands,52.24N,5.26E
1872-03-01,6.2860000000000005,0.805,Tilburg,Netherlands,52.24N,5.26E
1872-04-01,9.033999999999999,1.511,Tilburg,Netherlands,52.24N,5.26E
1872-05-01,11.581,0.883,Tilburg,Netherlands,52.24N,5.26E
1872-06-01,15.627999999999998,0.8640000000000001,Tilburg,Netherlands,52.24N,5.26E
1872-07-01,18.892,0.682,Tilburg,Netherlands,52.24N,5.26E
1872-08-01,16.248,0.988,Tilburg,Netherlands,52.24N,5.26E
1872-09-01,14.333,0.498,Tilburg,Netherlands,52.24N,5.26E
1872-10-01,9.653,0.483,Tilburg,Netherlands,52.24N,5.26E
1872-11-01,7.074,0.754,Tilburg,Netherlands,52.24N,5.26E
1872-12-01,4.422,1.734,Tilburg,Netherlands,52.24N,5.26E
1873-01-01,4.072,1.217,Tilburg,Netherlands,52.24N,5.26E
1873-02-01,0.7309999999999999,1.1159999999999999,Tilburg,Netherlands,52.24N,5.26E
1873-03-01,5.6400000000000015,0.736,Tilburg,Netherlands,52.24N,5.26E
1873-04-01,7.356,1.209,Tilburg,Netherlands,52.24N,5.26E
1873-05-01,9.922,0.8740000000000001,Tilburg,Netherlands,52.24N,5.26E
1873-06-01,15.991,0.644,Tilburg,Netherlands,52.24N,5.26E
1873-07-01,18.391,0.758,Tilburg,Netherlands,52.24N,5.26E
1873-08-01,17.365000000000002,0.38799999999999996,Tilburg,Netherlands,52.24N,5.26E
1873-09-01,12.833,0.9259999999999999,Tilburg,Netherlands,52.24N,5.26E
1873-10-01,9.756,0.624,Tilburg,Netherlands,52.24N,5.26E
1873-11-01,5.746,0.301,Tilburg,Netherlands,52.24N,5.26E
1873-12-01,3.414,0.8170000000000001,Tilburg,Netherlands,52.24N,5.26E
1874-01-01,3.699,1.2930000000000001,Tilburg,Netherlands,52.24N,5.26E
1874-02-01,2.205,0.652,Tilburg,Netherlands,52.24N,5.26E
1874-03-01,5.379,1.114,Tilburg,Netherlands,52.24N,5.26E
1874-04-01,9.511,0.43200000000000005,Tilburg,Netherlands,52.24N,5.26E
1874-05-01,9.857999999999999,0.594,Tilburg,Netherlands,52.24N,5.26E
1874-06-01,15.086,0.937,Tilburg,Netherlands,52.24N,5.26E
